utt_id,ref,A_baseline_wer,B_no_rep_pen_wer,C_lenpen_pos1_wer,D_lenpen_neg05_wer,E_sampling_low_temp_wer,F_sampling_original_wer,G_greedy_wer,H_lenpen_pos2_wer,I_lenpen1_sample_wer,J_lenpen1_temp05_wer,K_sampling_temp15_wer,L_sampling_temp03_wer,M_lenpen1_temp03_wer,A_baseline_wwer,B_no_rep_pen_wwer,C_lenpen_pos1_wwer,D_lenpen_neg05_wwer,E_sampling_low_temp_wwer,F_sampling_original_wwer,G_greedy_wwer,H_lenpen_pos2_wwer,I_lenpen1_sample_wwer,J_lenpen1_temp05_wwer,K_sampling_temp15_wwer,L_sampling_temp03_wwer,M_lenpen1_temp03_wwer
3Sd87aIMr3k_15__19014265_00_000000_000090,now let's fill in the punnet square,100.0,100.0,100.0,100.0,100.0,100.0,100.0,128.6,100.0,100.0,100.0,100.0,100.0,106.7,106.7,106.7,106.7,106.7,106.7,106.7,93.3,106.7,106.7,106.7,106.7,106.7
48mil-jr-Pk_6__7aead1f5_00_000000_000073,for example wellness programs are very popular among employers,11.1,11.1,55.6,11.1,11.1,11.1,11.1,55.6,55.6,55.6,11.1,11.1,55.6,6.7,6.7,26.7,6.7,6.7,6.7,6.7,26.7,26.7,26.7,6.7,6.7,26.7
5RJU2GoOvoM_0__d181c4ad_00_000000_000086,you've got to get back up again because we all fall we all fail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
6j5IucNv9kc_8__7730cf1d_00_000000_000128,gadget mouse making company and they have this app on the app store you can pick up for free,100.0,100.0,100.0,100.0,100.0,100.0,94.7,1557.9,100.0,100.0,100.0,100.0,100.0,97.0,97.0,97.0,100.0,97.0,97.0,93.9,90.9,97.0,97.0,100.0,97.0,97.0
6k4CVRuJ9tg_2__3bf717e1_00_000000_000223,again before i get into that i just want to check in with people i know that a couple people well a few people will probably hear live so feel free to go and check them out and if you're interested in learning more about the,56.5,56.5,58.7,100.0,56.5,56.5,67.4,56.5,58.7,58.7,58.7,56.5,58.7,57.1,57.1,57.1,100.0,57.1,57.1,64.3,54.3,57.1,57.1,57.1,57.1,57.1
8HA9Q9Ityfg_0__7a8ea09b_00_000000_000073,own rail system for a few bucks,57.1,57.1,57.1,42.9,57.1,57.1,85.7,71.4,57.1,57.1,57.1,57.1,57.1,50.0,50.0,50.0,50.0,50.0,50.0,58.3,50.0,50.0,50.0,50.0,50.0,50.0
8fk-CwhmumA_18__17792c60_00_000000_000129,as our routing and switching workbooks so that's why it's taking so long,100.0,100.0,261.5,100.0,161.5,130.8,161.5,2046.2,238.5,261.5,100.0,153.8,323.1,100.0,100.0,90.5,100.0,100.0,95.2,85.7,90.5,147.6,90.5,95.2,95.2,90.5
8wCA1Phnc-I_0__20258a80_00_000000_000291,to have at least 10 of the active ingredient protodiocin which is one of the steroidal glycosides that is in tribulus,66.7,66.7,66.7,100.0,66.7,66.7,76.2,95.2,66.7,66.7,76.2,66.7,66.7,77.8,77.8,47.2,100.0,77.8,77.8,75.0,41.7,77.8,47.2,83.3,77.8,47.2
91tFHYm9qso_7__03173d80_00_000000_000146,so we started looking at the structure of coping and the structure of emotion and started really looking at,21.1,21.1,15.8,100.0,21.1,21.1,26.3,15.8,15.8,15.8,21.1,21.1,15.8,20.7,20.7,17.2,100.0,20.7,20.7,24.1,17.2,17.2,17.2,20.7,20.7,17.2
9KACXV-cW-4_0__724f88a1_00_000000_000072,now those predictions i think,100.0,100.0,120.0,100.0,100.0,100.0,140.0,4640.0,120.0,120.0,120.0,100.0,120.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9otzlTbuNO0_7__3db3b926_00_000000_000262,it will catalog what i'm doing here for delayed pressure urticaria today's appointment,46.2,46.2,46.2,46.2,46.2,46.2,107.7,123.1,46.2,46.2,46.2,46.2,46.2,66.7,66.7,66.7,66.7,66.7,66.7,100.0,85.2,66.7,66.7,66.7,66.7,66.7
9wJY59NWNz8_16__33190f6c_00_000000_000220,we all live in our yellow submarine,57.1,57.1,57.1,57.1,57.1,57.1,57.1,2557.1,57.1,57.1,57.1,57.1,57.1,50.0,50.0,50.0,50.0,50.0,50.0,50.0,60.0,50.0,50.0,50.0,50.0,50.0
AZTouP7hMjw_0__1479eaae_00_000000_000136,some limonene hash oil some d limonene hash oil,100.0,100.0,111.1,100.0,100.0,100.0,111.1,2877.8,122.2,111.1,100.0,100.0,111.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BVynmQr3cf8_0__0166130c_00_000000_000169,so i have two and a half of these size cups which is probably like the equivalent of,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1
Cc85FcXkFBs_0__54a4c098_00_000000_000269,the pacific the new flagship model won't be a high powered beast if you're looking for 20 nanometer manufacturing and high bandwidth memory then the tonga isn't for you,34.5,34.5,31.0,100.0,34.5,34.5,41.4,31.0,31.0,31.0,34.5,34.5,31.0,48.1,48.1,44.2,100.0,48.1,48.1,42.3,44.2,44.2,44.2,48.1,48.1,44.2
Cp1eBaFIRFw_1__e302e4f7_00_000000_000213,you could be using that way in here so that's basically my recipe i'm going to show you what we're going to do now,62.5,62.5,58.3,100.0,62.5,62.5,66.7,58.3,58.3,58.3,62.5,62.5,58.3,71.8,71.8,69.2,100.0,71.8,71.8,59.0,69.2,69.2,69.2,71.8,71.8,69.2
DBhaa45mAro_2__07d05c7a_00_000000_000359,hey it's me just doing the eush keeping up with what's going on in school so here's the latest taylor and rob over brittany over dennis and julia totes over,100.0,100.0,66.7,100.0,63.3,56.7,83.3,66.7,66.7,73.3,100.0,63.3,73.3,100.0,100.0,83.3,100.0,92.6,63.0,83.3,63.0,83.3,64.8,100.0,92.6,64.8
DBhaa45mAro_2__07d05c7a_01_000299_000408,and julia totes over well thank god,71.4,71.4,71.4,71.4,71.4,71.4,85.7,114.3,71.4,71.4,71.4,71.4,71.4,68.8,68.8,68.8,68.8,68.8,68.8,75.0,68.8,68.8,68.8,68.8,68.8,68.8
DUJbZV6oIds_0__55300c6c_00_000000_000287,second thing is a circular polarizer great for obviously exterior shooting but also good for getting rid of reflections sometimes in windows and things like that,53.8,53.8,53.8,100.0,53.8,23.1,34.6,34.6,53.8,53.8,34.6,53.8,53.8,39.0,39.0,39.0,100.0,39.0,19.5,24.4,24.4,39.0,39.0,24.4,39.0,39.0
DUJbZV6oIds_0__55300c6c_01_000239_000298,in windows and things like that,83.3,83.3,116.7,83.3,100.0,83.3,100.0,116.7,116.7,116.7,100.0,100.0,116.7,75.0,75.0,87.5,75.0,87.5,75.0,87.5,87.5,87.5,87.5,87.5,87.5,87.5
DYZKgzvPexU_0__ad4114ab_00_000000_000073,hey how's it going youtube i'm 5'6 and i'm here to,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,95.0,95.0,100.0,90.0,85.0,95.0,95.0,90.0,95.0,95.0,95.0,95.0
ECIwBVJ8cZQ_2__12e63349_00_000000_000122,will not have enough food for a healthy life,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3
EG9HNZm6qSs_1__6a00dc91_00_000000_000101,what you mean this the lapel mic i don't understand what's distracting about it,50.0,50.0,50.0,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,61.9,61.9,61.9,100.0,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9
F-2k62XeAvM_20__9237e7c5_00_000000_000191,but when we first started this series i wondered if we'd actually get through it you know all great ideas,5.0,5.0,5.0,100.0,5.0,5.0,15.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,10.0,100.0,10.0,10.0,13.3,10.0,10.0,10.0,10.0,10.0,10.0
FD9U2sgqJe8_16__9d9045c8_00_000000_000264,i'm not sure if you're aware of it but yes there has been a class action suit filed against apple for that very thing and yes technically speaking it wasn't a wine it was a beer,11.1,11.1,11.1,100.0,11.1,11.1,25.0,11.1,11.1,11.1,13.9,11.1,11.1,25.0,25.0,25.0,100.0,25.0,25.0,32.7,25.0,25.0,25.0,26.9,25.0,25.0
GwBfUzPCiaw_0__4d2b0fdb_00_000000_000164,where is the car wo ist das auto,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3
HhkhkWkzNP4_7__2527cbb1_00_000000_000256,we're excited about several innovations that will deliver increased nutritional benefits of the food that we eat as well and also that will help ensure,68.0,68.0,72.0,100.0,68.0,68.0,92.0,76.0,68.0,72.0,88.0,68.0,72.0,60.0,60.0,60.0,100.0,60.0,60.0,100.0,72.5,60.0,60.0,100.0,60.0,60.0
IQT8XQ9ODcY_11__d07f81fa_00_000000_000105,so you can update the spreadsheet from autocad,100.0,100.0,100.0,100.0,100.0,100.0,125.0,3037.5,100.0,100.0,112.5,100.0,100.0,91.7,91.7,91.7,91.7,91.7,91.7,91.7,2575.0,91.7,91.7,91.7,91.7,91.7
JJRxStrOiBI_7__24d99a07_00_000000_000151,for that you will use preter because that's what happened what people did,61.5,61.5,53.8,61.5,61.5,61.5,100.0,53.8,61.5,61.5,53.8,53.8,61.5,73.7,73.7,52.6,73.7,73.7,73.7,73.7,52.6,47.4,47.4,52.6,47.4,47.4
K0h33Ps7vz4_11__e66d3063_00_000000_000103,to this wave of artificial intelligence that is slowly taking place,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LGcjzM3BX-s_3__cc3e230e_00_000000_000154,they do however on again they do however hold the festival,127.3,118.2,127.3,100.0,127.3,127.3,100.0,2727.3,127.3,127.3,90.9,118.2,163.6,94.4,94.4,94.4,100.0,94.4,94.4,88.9,94.4,94.4,94.4,83.3,94.4,94.4
MO4hiiayz3w_9__e89a45de_00_000000_000139,it's not bad you know what because it's our culture it's our culture you have to,56.2,56.2,56.2,56.2,56.2,56.2,62.5,56.2,56.2,56.2,62.5,56.2,56.2,66.7,66.7,66.7,66.7,66.7,66.7,70.8,66.7,66.7,66.7,70.8,66.7,66.7
NGCTGBsuEg4_20__f35e3151_00_000000_000195,vi we said was zero so that goes away so vf is f delta t,100.0,100.0,86.7,100.0,73.3,100.0,93.3,106.7,86.7,86.7,100.0,73.3,86.7,62.5,62.5,62.5,100.0,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5
OxenfkPpJPY_0__0f9d64b8_00_000000_000221,if police reasonably believe that you have information that could assist them with the investigation of a serious offence then you have to give them your name and address,3.4,3.4,3.4,3.4,3.4,3.4,6.9,3.4,3.4,3.4,3.4,3.4,3.4,2.3,2.3,2.3,2.3,2.3,2.3,4.7,2.3,2.3,2.3,2.3,2.3,2.3
PSJRmPfOGYQ_13__b2afc3d9_00_000000_000122,i see twitter feeds all over the place right i see them in news stories i see them in,47.4,47.4,47.4,100.0,47.4,47.4,68.4,63.2,47.4,47.4,47.4,47.4,47.4,53.6,53.6,53.6,100.0,53.6,53.6,64.3,53.6,53.6,53.6,53.6,53.6,53.6
QvDw6m2kA6Q_0__a756b252_00_000000_000129,there are two types of teeth the first type is the anus,66.7,66.7,66.7,66.7,66.7,66.7,66.7,75.0,66.7,66.7,75.0,66.7,66.7,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9
QzYx9bYHxKo_3__373a7e56_00_000000_000091,this book ain't just narrated by one fool tellin us what's up with the dun,100.0,100.0,80.0,100.0,100.0,80.0,100.0,73.3,80.0,80.0,93.3,100.0,80.0,93.8,93.8,90.6,100.0,93.8,90.6,137.5,87.5,90.6,90.6,93.8,93.8,90.6
RsPPOL9XhcM_14__da966181_00_000000_000321,goes on to say frank sachs lead author on the report said he has no idea why people think coconut oil is healthy it's almost 100 fat he says,31.0,31.0,31.0,100.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,33.3,33.3,33.3,100.0,33.3,33.3,31.4,33.3,33.3,33.3,33.3,33.3,33.3
S0ID6pdAvvY_7__e2281119_00_000000_000214,with how to reverse it okay what are the handful of things i'm gonna show you some things that might help you here in just a minute,59.3,59.3,63.0,100.0,55.6,59.3,74.1,77.8,63.0,63.0,66.7,66.7,59.3,93.5,93.5,95.7,100.0,91.3,93.5,73.9,95.7,95.7,95.7,100.0,100.0,93.5
S8aXVz799Dc_7__0af934d2_00_000000_000204,another useful expression i'm afraid there's been a mistake or i'm afraid there's been a mistake,43.8,43.8,56.2,100.0,43.8,43.8,68.8,50.0,37.5,37.5,62.5,43.8,37.5,117.9,117.9,132.1,100.0,67.9,117.9,50.0,125.0,110.7,60.7,110.7,67.9,60.7
SQONLdb1gow_3__82d6e002_00_000000_000088,in the case of exercise it's not just a matter of working or not working,26.7,26.7,40.0,26.7,26.7,26.7,33.3,40.0,40.0,40.0,26.7,26.7,40.0,27.3,27.3,45.5,27.3,27.3,27.3,36.4,45.5,45.5,45.5,27.3,27.3,45.5
SmTednDfdxA_8__7fc8688e_00_000000_000090,and so what are the arguments that the individual mandate,20.0,20.0,20.0,20.0,20.0,20.0,30.0,20.0,20.0,20.0,20.0,20.0,20.0,14.3,14.3,14.3,14.3,14.3,14.3,21.4,14.3,14.3,14.3,14.3,14.3,14.3
TgdqxHIF-Ec_1__b8b5e460_00_000000_000108,but i have to understand in my head what that looks like in 3d as i'm drawing it,50.0,50.0,50.0,100.0,50.0,50.0,50.0,44.4,50.0,50.0,50.0,50.0,50.0,44.0,44.0,44.0,100.0,44.0,44.0,44.0,40.0,44.0,44.0,44.0,44.0,44.0
TuUiNhbMzjY_8__8b4a8fec_00_000000_000091,one really nice thing about this is,71.4,71.4,71.4,71.4,71.4,71.4,57.1,71.4,71.4,71.4,71.4,71.4,71.4,84.6,84.6,84.6,84.6,84.6,84.6,76.9,76.9,84.6,84.6,84.6,84.6,84.6
VI-3EHJ-2pI_1__e8f492eb_00_000000_000090,do is either sit or stand the baby up on a chair,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5
VMWNq9cCXU4_12__451829a4_00_000000_000185,cartoon characters the blue and the red those things change all the time on influenza which is why we have to re evaluate,47.8,47.8,47.8,100.0,47.8,43.5,39.1,52.2,47.8,52.2,43.5,47.8,47.8,51.5,51.5,51.5,100.0,48.5,48.5,45.5,48.5,51.5,51.5,48.5,48.5,48.5
VxZ2o9MPtFA_24__390f4eae_00_000000_000278,what we call business development training in other words they taught me how to sell they taught me a little bit about the product,25.0,25.0,25.0,25.0,25.0,25.0,4.2,16.7,25.0,25.0,25.0,25.0,25.0,27.8,27.8,27.8,27.8,27.8,27.8,2.8,19.4,27.8,27.8,27.8,27.8,27.8
WNDj1BAKi0A_0__49b21410_00_000000_000194,we will give up some of our individual choice for the sake of the community decision,18.8,18.8,18.8,18.8,18.8,18.8,25.0,18.8,18.8,18.8,18.8,18.8,18.8,22.7,22.7,22.7,22.7,22.7,22.7,27.3,22.7,22.7,22.7,22.7,22.7,22.7
WRtKKFMhJVM_4__91456207_00_000000_000355,would give you are the 16 but the lines are straight so either lens correction was used or it's just really freaking straight or cropped or whatever but it looks great with the stands the crowd the lights look awesome,100.0,100.0,97.5,100.0,97.5,95.0,92.5,97.5,100.0,97.5,97.5,95.0,92.5,100.0,100.0,92.1,100.0,92.1,96.8,115.9,92.1,95.2,92.1,93.7,93.7,92.1
WyPi-INqRjc_7__cf000cbf_00_000000_000357,the concepts will be explained from two perspectives using real life experiences reflecting my living in mexico as well as visits to other spanish and french speaking countries,21.4,21.4,21.4,21.4,21.4,21.4,28.6,21.4,21.4,21.4,21.4,21.4,21.4,16.4,16.4,16.4,16.4,16.4,16.4,23.6,16.4,16.4,16.4,16.4,16.4,16.4
ZcCviyMNsPo_9__78596d0d_00_000000_000141,but it's mostly cardiac muscle and as i said before that's the pump component of the heart,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3
aGULUaABMlc_0__59576e05_00_000000_000114,i felt like we could do this i felt like this is something we can overcome,31.2,31.2,31.2,31.2,31.2,31.2,50.0,31.2,31.2,31.2,31.2,31.2,31.2,30.0,30.0,30.0,30.0,30.0,30.0,50.0,30.0,30.0,30.0,30.0,30.0,30.0
ajEHR2Ajycw_14__39f3ce5a_00_000000_000106,mode or single player mode by the way this is also a,25.0,25.0,25.0,25.0,33.3,25.0,33.3,41.7,25.0,33.3,25.0,33.3,33.3,16.7,16.7,16.7,16.7,27.8,16.7,27.8,38.9,16.7,27.8,16.7,27.8,27.8
b1-EWr3WQhI_0__324a9544_00_000000_000075,and how we should be and how we have to,90.0,90.0,160.0,100.0,90.0,100.0,100.0,1850.0,380.0,160.0,90.0,90.0,920.0,90.9,90.9,100.0,100.0,90.9,163.6,200.0,2118.2,90.9,100.0,145.5,81.8,1727.3
bLjyV24KpeY_0__d0de0f63_00_000000_000110,what they are is 3d goggles they have two independent screens they're like 850 by,93.3,100.0,133.3,93.3,93.3,93.3,93.3,700.0,133.3,100.0,100.0,93.3,100.0,96.3,100.0,100.0,96.3,96.3,96.3,96.3,100.0,100.0,100.0,100.0,96.3,96.3
bR80JEaW4LY_0__51c8b7c5_00_000000_000074,before jumping into my scheme let me just tell you that for jeevan anand,42.9,42.9,42.9,100.0,42.9,42.9,42.9,42.9,42.9,42.9,42.9,42.9,42.9,56.0,56.0,56.0,100.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
eLS1vcpGVHQ_12__e9dd9adc_00_000000_000090,i surrendered good quite i surrendered to the low security,90.0,90.0,740.0,90.0,90.0,90.0,90.0,1730.0,230.0,400.0,100.0,100.0,480.0,131.2,131.2,112.5,131.2,131.2,93.8,93.8,112.5,93.8,93.8,93.8,93.8,543.8
gD8IlVJFk04_9__4f672fc5_00_000000_000150,connection within the cable to check that you've got continuity between both ends now of course on this length of,15.0,20.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,26.7,30.0,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7
h6yzdL1tN9U_9__16b0e01c_00_000000_000154,readers out there because they're everywhere and remember you want to network,108.3,108.3,325.0,108.3,108.3,125.0,100.0,991.7,208.3,225.0,158.3,108.3,308.3,95.0,95.0,95.0,95.0,95.0,95.0,95.0,85.0,100.0,95.0,95.0,100.0,90.0
iJxvSh6PbTc_4__12c45eac_00_000000_000193,area have been showing zygites addendum and even zygites to their class and discussing it,93.3,93.3,93.3,100.0,93.3,93.3,86.7,100.0,93.3,93.3,93.3,93.3,93.3,91.3,91.3,91.3,100.0,91.3,91.3,91.3,87.0,91.3,91.3,95.7,91.3,91.3
iRtsRJhrD5Y_8__dd680175_00_000000_000233,i looked and i saw i was wrong i was lied to just as everyone else,37.5,37.5,37.5,37.5,37.5,37.5,43.8,37.5,37.5,37.5,37.5,37.5,37.5,36.4,36.4,36.4,36.4,36.4,36.4,40.9,36.4,36.4,36.4,36.4,36.4,36.4
jLBAUGvLuq8_0__fdcd8f16_00_000000_000183,look at this here's two dollars and a self addressed stamped envelope first things first the bender,88.2,88.2,82.4,100.0,88.2,88.2,88.2,94.1,111.8,82.4,82.4,88.2,88.2,74.3,74.3,77.1,100.0,74.3,74.3,77.1,65.7,85.7,77.1,82.9,74.3,65.7
kml5T4asOwQ_0__4192b704_00_000000_000106,and just scrolling down they have an option right here for fighting flights and more you can just turn,42.1,42.1,42.1,42.1,42.1,36.8,84.2,42.1,47.4,42.1,42.1,42.1,42.1,43.3,43.3,43.3,43.3,43.3,63.3,103.3,63.3,76.7,43.3,43.3,43.3,43.3
ktMebjnZiSE_3__ebdf1351_00_000000_000359,said that they realize now that consumers want a bigger smartphone when in the past they said that apple's not going to do a bigger smartphone well now it looks like they are so if those rumors are correct and apple actually is going to make two different sized versions of the iphone,28.3,28.3,28.3,100.0,28.3,28.3,37.7,26.4,28.3,28.3,28.3,28.3,28.3,32.2,32.2,32.2,100.0,32.2,32.2,28.7,32.2,32.2,32.2,32.2,32.2,32.2
ktMebjnZiSE_3__ebdf1351_01_000299_000404,is going to make two different sized versions of the iphone 6 either remember to resolution,87.5,87.5,87.5,81.2,87.5,87.5,81.2,93.8,93.8,87.5,68.8,87.5,87.5,76.7,76.7,76.7,86.7,76.7,76.7,76.7,86.7,76.7,76.7,66.7,76.7,76.7
l2Pykr8Fgw4_0__b212be6c_00_000000_000118,that the material we're using has the right rate and level of absorption,61.5,61.5,61.5,61.5,61.5,61.5,76.9,2153.8,61.5,61.5,61.5,61.5,61.5,52.4,52.4,52.4,52.4,52.4,52.4,66.7,38.1,52.4,52.4,52.4,52.4,52.4
lOuEis9L8os_1__e563fbd2_00_000000_000344,her brother and they're kinda half brothers and sisters and his dad didn't do anything about it and so absalom wants to avenge tamar's rape and maybe among other things,50.0,50.0,50.0,100.0,50.0,50.0,60.0,50.0,50.0,50.0,46.7,50.0,50.0,50.9,50.9,50.9,100.0,50.9,50.9,90.6,50.9,50.9,50.9,50.9,50.9,50.9
lSogkLa9OaA_11__82e9c9c2_00_000000_000101,we're angry we're happy we're sad we're mad we're delightful we're joyous,116.7,116.7,116.7,116.7,116.7,116.7,91.7,116.7,116.7,116.7,116.7,116.7,116.7,37.5,37.5,37.5,37.5,37.5,37.5,195.8,37.5,37.5,37.5,37.5,37.5,37.5
loMWvXEVDaI_0__0be15686_00_000000_000168,it includes almost everything we saw in the dslr kit but adds a couple of items for run and gun style booming,50.0,50.0,50.0,40.9,50.0,50.0,40.9,50.0,50.0,50.0,54.5,50.0,50.0,47.1,47.1,47.1,41.2,47.1,47.1,38.2,47.1,47.1,47.1,52.9,47.1,47.1
loebelfG9T4_10__76adce28_00_000000_000180,make yourself at home make yourself at home si ntase como en casa so repeat,73.3,93.3,73.3,100.0,93.3,100.0,93.3,73.3,113.3,73.3,60.0,93.3,73.3,75.0,136.1,75.0,100.0,136.1,108.3,83.3,75.0,169.4,75.0,69.4,136.1,75.0
loebelfG9T4_10__76adce28_01_000150_000212,so repeat make yourself at home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4183.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0
ly6KVdbhT7w_0__896e0d2a_00_000000_000140,phone where it actually works i think it's a problem with this phone i honestly don't know,58.8,58.8,58.8,58.8,58.8,58.8,47.1,64.7,58.8,58.8,64.7,58.8,58.8,66.7,66.7,66.7,66.7,66.7,66.7,51.9,74.1,66.7,66.7,74.1,66.7,66.7
msf0MSoEric_0__bda0c153_00_000000_000140,i think it was about four or five days ago they said they're going to get rid of their dly,10.0,10.0,10.0,10.0,10.0,10.0,15.0,10.0,10.0,10.0,10.0,10.0,10.0,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4
