utt_id,topic,wer_baseline,wer_topic,delta_wer,ref,hyp_baseline,hyp_topic
L2rxYUtuTSE_3__86539865_00_000000_000257,Other,63.6,63.6,0.0,that man from the intellectual point of view logos but then pathos you trust that man because you're feeling that the intention,be the intellectual product of your own but then by those you are sitting back because you are feeling that the teacher,being the intellectual product of your own but then by those you are sitting back because you are feeling that the injustice
-0dKADuskCI_6__0959cf94_00_000000_000128,Other,68.8,68.8,0.0,then we have the costal cartilages costal always refers to ribs so these are right here,that we have they cause our hormones to go haywire so these are my heroes,that we have they cause our hormones to go haywire so these are my heroes
xz7UP-Sgoko_4__5437f4cd_00_000000_000250,Education/Academic,90.5,90.5,0.0,that visit ended quite quickly and with awkwardness all around there's not much to do we went to the second school,that wasn't exactly what i had in mind with no work so i decided to do,that wasn't exactly what i had in mind with no work so i decided to do
cw0gLZHJOiE_7__b7618a8d_00_000000_000246,Entertainment,90.5,90.5,0.0,controller showchatcontroller like that wouldn't that be nice well we can't do that right now because we don't have a reference,all the things i should have done or not done that would have led to this outcome we won't have any reference,all the things i've shown you so far and then what's going to happen next well we're going to have a reference
igP8qs4tve8_6__9a6b56fa_00_000000_000246,Other,77.1,77.1,0.0,the answer is no i cannot just leave it there because hydrogen only wants to have one bond and now it has two if i make that bond i'm going to have to break it,like it's just no idea i just didn't even know there was such a word and now i do so if i play that part i'm becoming familiar with,it's just no idea i just didn't even know there was such a word and now i do so if i play that part i'm becoming familiar with
Ht6lHE7prro_34__d6e615b5_00_000000_000193,Other,84.6,84.6,0.0,the old and new testament together the 66 books are like a symphony with melody and with harmonies that just match up wonderfully there are also,the only two chromosomes that i use is the y chromosome and the mitochondrial dna because this magic wonder thing there are also,the only two chromosomes that i use is the y chromosome and the mitochondrial dna because this magic wonder thing there are also
uwMeYyFPK9M_0__9a23e3ab_00_000000_000200,Other,95.5,95.5,0.0,stage illusion this is a magic trick so don't be stupid and try it at home this is just a magic illusion,the story of how i got to where i am today it all started when i was,the speaker is discussing other
NzP4ZzCCTXU_0__725fc750_00_000000_000239,Other,51.0,51.0,0.0,but before we tell you more about the redmi 5 if you do love the fact that we bring to you guys the hottest leaks out there as soon as we can then toss a like and subscribe to our channel we will see you in the next video,if we can tell you more about dorothy mfi if you don't love the fact that we bring to you guys the honest needs out there as soon as we can then it costs,if we can tell you more about dorothy mfi if you don't love the fact that we bring to you guys the honest needs out there as soon as we can then it costs
czzae0bKoDA_6__cc4f9fe5_00_000000_000232,Other,100.0,100.0,0.0,but that can be useful if you want to have some if else check in your loop checking if you're near the end,the gap between some of the fastest growing economies in the world like china and india and the slowest declining economies,
6OvM5ZDA-TQ_0__b6c1e4a1_00_000000_000231,Other,93.9,93.9,0.0,i hear a lot of people always ask me does this cooler work on 1156 it's like but it says it's only for 1155 yes because 1155 and 1156 are exactly the same,if you're going to do a tour where you love 50 cities but you just don't have the time to visit them because if you visit five cities you can sell the same,you don't have to do one in love 50 states but you just sort of have to have the eyes because if you have the different states you can sell the same
dZKB1OF7C68_0__c8e09b42_00_000000_000230,Other,92.0,92.0,0.0,menu buttons being right here they're at the top which by the way i think the window thing blends in real nicely seamlessly almost with,billions of dollars of the time but by the way i think what you think of being a civil taxpayer is that we're just one thing,billions of dollars of the time but by the way i think what you think of being a civil taxpayer is that we're just one thing
thFhHAzyXos_19__4bb8a579_00_000000_000227,Education/Academic,74.1,74.1,0.0,i know you're studying with john parakos and core energetics and probably many of our viewers have not heard of core energetics what is the basis of,what you see is not parallelograms and quadrilaterals and cubes and pyramids of various sizes of cubes what is the basis of this,what you see is not parallelograms and quadrilaterals and cubes and pyramids of various sizes of cubes what is the basis of this
tL9yAuajqpk_3__691c14f2_00_000000_000219,Other,43.5,43.5,0.0,the thing is i just acquired this ammo last week so i don't really know the conditions under which it's been stored but,the highest score on the quiz last week so i don't really know the conditions under which this was measured but,the highest score on the quiz last week so i don't really know the conditions under which this was measured but
eQVm8RokoBA_9__46f56c24_00_000000_000216,Education/Academic,80.0,80.0,0.0,it looks like science has indeed discovered god and how would that be well if you take the trouble of going to the web and,incarcerated so high as it is over the last decade and now with that being what's the term of going to the rehab,in costa rica as an example just over the line and now with that being what is the job of going to the rainforest
kmfAM8kQrjU_0__d00b8585_00_000000_000214,Medical/Health,86.7,86.7,0.0,crop loss because it would burn up the crops it would cause eye disease because your pupils would open up and it would allow the uv rays to get in,cause these remarkable gaps it will cause gas to leak into the supernovae will open up and we can then serve the amazing,cause these remarkable gaps it will cause gas to leak into the supernovae will open up and we can then serve the amazing
cpt8IP19j3Y_2__12ebbc72_00_000000_000213,Other,95.0,95.0,0.0,so i just try to search in other ways like the text like his portrait in my qp i write,when i was 11 years old i was diagnosed with type 1 diabetes,the speaker is discussing other
oYEFNyrxBTw_0__1d7c31a6_00_000000_000169,DIY/Home,88.0,88.0,0.0,hey this is scott today we're going to take a first look at the build and design the tamron 70 200mm f2 8 g2 lens,and secretary clinton took a first look at the building instead of the same routine 72 hours after the bombing she toured it,and secretary clinton took a first look at the building instead of the same routine 72 hours after the bombing she toured it
qfVQR043fug_0__7997d748_00_000000_000167,Technology,81.0,81.0,0.0,you the list of windows that you have available to resume your screen session you type screen r and to exit,list of wind turbines available so this global transition could take 20 years and take,list of wind turbines available so this global transition could take 20 years and take
BNep55DrsK4_4__da490f84_00_000000_000169,Other,56.2,56.2,0.0,even in the west when people have not had that sometimes they've had a name ready,everything went down well people have not had that sometimes maria had the same rating,everything went down well people have not had that sometimes maria had the same rating
jm93IOsd-Sw_0__e9ef21d9_00_000000_000168,Other,72.4,72.4,0.0,i don't know europe or something like that if you have a full backpack out of spare batteries but i have no idea how to charge them but i,you know i mean i'm not really sad if i can't film many ways but i have no idea how to change the medium,you know i mean i'm not really sad if i can't film many ways but i have no idea how to change the medium
ZaB0enTYS5M_2__6376b421_00_000000_000202,Other,52.6,52.6,0.0,this thing lies as far as collectability here we have a 1985 teddy ruxpin in the box this one,this still lies as far as accountability we have an 1855 state constitution in the,this still lies as far as accountability we have an 1855 state constitution in the
n1ZyOwLb1Hg_0__09385031_00_000000_000198,Other,81.0,81.0,0.0,i think any industry can benefit but obviously we're focused on document intensive workflows and we've had most traction in those,i like to study it but obviously we've focused on the neanderthal remains of wall paintings and we have had most challenging leaders,i like to study it by the fact but obviously we've focused on the neanderthal kin of woolly mammoths because those
00MUdHQ7GGY_8__b1480c7a_00_000000_000194,Other,100.0,100.0,0.0,it doesn't have a carry strap but you can put it on your shoulder pretty easily or just carry it with your hand,this is david irving he's a holocaust denier and a computer hacker who broke into the nuremberg trials,the speaker is discussing other
iJxvSh6PbTc_4__12c45eac_00_000000_000193,Education/Academic,93.3,93.3,0.0,area have been showing zygites addendum and even zygites to their class and discussing it,i've been sharing the stage at the meetings for decades with alexandria and,i've been sharing the stage at the meetings for decades with alexandria and
PyKTYROSy2E_0__58f43672_00_000000_000158,Sports/Fitness,100.0,100.0,0.0,it's a game that i am already regretting thinking of it's time for tattoo roulette with one direction,the kennedy center for the performing arts in washington d,the speaker is discussing sports and fitness
ECdVhJ4Ci4Q_0__7d0a90f6_00_000000_000185,Technology,61.9,61.9,0.0,how you can use your customer database to earn more there are four powerful processes to save money and increase sales,in utah as a renewable energy source there are four powerful presences that save money and increase yields,in utah as a renewable energy source there are four powerful presences that save money and increase yields
p2o7BtIicZo_3__7fcfd99f_00_000000_000154,Other,95.5,95.5,0.0,so now since we're done with the unboxing i just wanted to look inside this pen because it said the charger was,now she has been found guilty on both charges in the united states and bail has been set at,now she has been found guilty on both charges in the united states and bail has been set at
skZRmykxvXM_0__b46beb98_00_000000_000185,Other,76.5,76.5,0.0,we've been married 21 years and we've had to de horn one another several times i guarantee,it's what my grandmother used to wear and we've actually worn one another several times standing here,it's what my grandmother used to wear and we've actually worn one another several times standing here
Ff6JVvAR5rE_0__76743473_00_000000_000182,Business/Finance,86.4,86.4,0.0,out this morning it's our commercial product and i've got a few slides i'll try to go through the slides pretty quickly,this morning i saw a sign on the motorway that said if you see a snake on the road do not,this morning i saw a sign on the motorway that said if you see a snake on the road do not
um1S2u022HA_8__142c5c81_00_000000_000149,Cooking/Food,81.2,81.2,0.0,devices idle connected to a un muted network or charger the job scheduler is one of my favourite features and i love it i'm happy with it and i will share it with you soon the job scheduler is one of my favourite features and i love it,to iraq connected to the al qaeda network all to charge the job changer is one of my,the iron connected to the gardening network also charged the job changer is one of my
4z4OjnhTJnw_7__65f8117e_00_000000_000179,Medical/Health,82.4,82.4,0.0,elements can i build a visit as a new patient or can i use the time element,me to say can i move this desk or can i,me to say can i move this desk or can i
QgMG5TO3ggI_0__5a5ec408_00_000000_000145,Other,90.0,90.0,0.0,some points here such that the intersection is not empty,right that's exactly the direction i'm heading,right that's exactly the direction i'm headed in
ej22vW61OXA_23__da7e7a2c_00_000000_000135,Other,94.7,94.7,0.0,last year was that there were some issues with the calibration especially on the darker end of an image,i'm just going to read you one of the captions so you can see what it's like,the speaker is discussing other
xpECzoXISUo_0__191cecea_00_000000_000166,Cooking/Food,100.0,100.0,0.0,theater production who have not acted they just attended okay,production you have that asset that exists nowhere else on the,production you have that asset that exists nowhere else on the
v6wOXUi6BKM_10__fd98a0c1_00_000000_000131,Other,72.7,72.7,0.0,probably not going to get hurt at all and the padding,this was to get called get called and the pattern here,this was to get called get called and the pattern here
lOuEis9L8os_9__7dfaa3d5_00_000000_000160,Technology,76.5,76.5,0.0,had polygamy and concubines does that mean god approved it the bible records a lot of things,i blurred the line between documentary and scripted movie but i was recalling a lot of things,i blurred the line between documentary and science fiction but i was recalling a lot of things
2Zq4eRvCN4A_1__1aab1422_00_000000_000155,Other,69.2,69.2,0.0,there's something i haven't bought in too much recently but refried pinto beans,something i don't laugh about too much recently but we define place as openings,something i don't laugh about too much recently but we define place as openings
nPqaAgQWXR0_17__8e8538c5_00_000000_000154,Other,100.0,100.0,0.0,beneficial regardless of whether you are performing or you're doing administration,that we're going to be able to,the speaker is discussing other
VStUf1GcIjw_0__4ed95076_00_000000_000150,Other,84.2,84.2,0.0,the same matter like i said imagine going around the figure and how long a distance do you run,us and yet imagine going around in fear that our closest friends,us and yet imagine going around in fear that our closest friends
gMfeYjJwmQ8_4__4c96e8b5_00_000000_000125,Other,84.2,84.2,0.0,tetra on the other hand is designed for higher volumes of radio traffic but over much smaller coverage areas,central atlantic as a sign of our environment right now you have any money for much smaller areas,central atlantic as a sign of our environment right now you have any money for much smaller areas
S82MTpbswhU_18__4e29185d_00_000000_000149,Other,100.0,100.0,0.0,use water or orange juice fresh squeezed orange juice you can also use,why go into the venture capital world when you could get all this,why go into the venture capital world when you could get all this
YGhdG8oV2G4_0__e4abd28c_00_000000_000147,Medical/Health,88.9,88.9,0.0,what the how much is my doctor making bastard,there raising my hand master right,there raising my hand master right
3nEH1LPIouE_0__83233320_01_000240_000358,Other,100.0,100.0,0.0,side four and that's part a let's go over the counts,and i enjoyed it so much that's why i decided to,the speaker is discussing other
FkpdUYslBT8_0__baab91f7_00_000000_000146,Other,72.7,72.7,0.0,it will be interesting it will be exciting it will be,would be literature it wouldn't be maths or science,would be literature it wouldn't be maths or science
PNBJCfcVJ9c_7__312f66aa_00_000000_000143,Other,100.0,100.0,0.0,me and he does that in whatever way and whatever realm,that didn't exactly in one effortless way and wouldn't ever wear my,that didn't exactly in one effortless way and wouldn't ever wear my
qPyiMlhz4Zk_12__8f2f1a8e_00_000000_000140,DIY/Home,80.0,80.0,0.0,that wanted to install deities in their sankhya tan vehicle,wanted to know and see and understand and to,wanted to show dealers and distributors and
ly6KVdbhT7w_0__896e0d2a_00_000000_000140,Technology,58.8,58.8,0.0,phone where it actually works i think it's a problem with this phone i honestly don't know,where it actually works i think it's appropriate to throw caution to the wind,where it actually works i think it's appropriate to throw caution to the wind
H8GcVkhms98_15__de0820a4_00_000000_000139,Sports/Fitness,61.5,61.5,0.0,that's because there's more genetic variation within a race than outside of it,that's because you personify the foundation when it raises then outside of it,that's because you personify the foundation when it raises then outside of it
y4Zd1bkFkYk_1__5634beb7_01_000299_000438,Other,60.0,60.0,0.0,but because of the nazi party it was very suppressed,killers want to hunt but because of the gatsby party it was very surprising,killers want to hunt but because of the gatsby party it was very surprising
zqs4j0uBfKw_0__452920cb_01_000299_000438,Other,100.0,100.0,0.0,ideas i have two words for you predator drones,if she was for it or against it,the speaker is discussing other
etmrn0kAvXg_0__1aaef65c_00_000000_000137,Other,90.0,90.0,0.0,got that choreographed by paul james and yanni toft anderson,that to promote genocide is a crime against humanity,that to promote genocide is a crime against humanity
YvNUKcDIsdU_1__ea24b1a9_00_000000_000137,Technology,100.0,100.0,0.0,you can also use our json web token decoder,because i think it's really cool,because technology is really cool
