utt_id,method,judgment,reason
VLZS8PvgCqM_0__6732db8a_00_000000_000267,hyp_mbr,N,empty_hypothesis
VP-uZT4yTtA_2__b82441fe_00_000000_000360,hyp_mbr,N,empty_hypothesis
WMtiH5LyOYI_2__0128c9e8_00_000000_000295,hyp_mbr,N,empty_hypothesis
WRtKKFMhJVM_4__91456207_00_000000_000355,hyp_mbr,N,empty_hypothesis
YEgNIBeuEJw_14__6c665b22_00_000000_000210,hyp_mbr,N,empty_hypothesis
ZEA2qyAQRaI_7__37b418b2_00_000000_000359,hyp_mbr,N,empty_hypothesis
ZPnyrxO3Aec_5__2f358782_00_000000_000311,hyp_mbr,N,empty_hypothesis
ZWaZxIj3FYQ_12__1f84c867_00_000000_000259,hyp_mbr,N,empty_hypothesis
ZleYsI-kfos_0__06f40c72_00_000000_000184,hyp_mbr,N,empty_hypothesis
a-ZYYIU-z9o_3__30865613_00_000000_000359,hyp_mbr,N,empty_hypothesis
aCS748u9shI_4__9281bc5f_00_000000_000248,hyp_mbr,N,empty_hypothesis
bSi58E25fpk_23__be846574_00_000000_000091,hyp_mbr,N,trivially_short
bVu6iqNRdKU_0__56f77672_00_000000_000356,hyp_mbr,N,empty_hypothesis
cCYfdQvJUBo_0__e2832e1b_00_000000_000359,hyp_mbr,N,empty_hypothesis
dGBWElpK59k_8__2d7b98d1_00_000000_000360,hyp_mbr,N,empty_hypothesis
eAaugFAzuk0_2__ae4980d0_00_000000_000256,hyp_mbr,N,empty_hypothesis
ettiTbBUrWg_0__d3f23066_00_000000_000176,hyp_mbr,N,empty_hypothesis
gwgzTsO46yc_9__85315e13_00_000000_000190,hyp_mbr,N,empty_hypothesis
kG-z1EJdlPE_16__2f3131a4_00_000000_000273,hyp_mbr,N,empty_hypothesis
n3bdLTNa9A8_2__ad35f419_00_000000_000348,hyp_mbr,N,empty_hypothesis
nMd8KAQjYL0_0__9ec54093_00_000000_000357,hyp_mbr,N,empty_hypothesis
ncSKWKJY5So_0__e040311f_00_000000_000321,hyp_mbr,N,empty_hypothesis
nthuNmIADDM_3__98e72aa3_00_000000_000293,hyp_mbr,N,empty_hypothesis
pOeJSxbFyto_7__ede5f642_00_000000_000360,hyp_mbr,N,empty_hypothesis
qWZO6wUUANs_0__6eb0799b_00_000000_000295,hyp_mbr,N,empty_hypothesis
tbxxAVSdySY_2__bae4902a_00_000000_000287,hyp_mbr,N,empty_hypothesis
tmIlxd6OYXo_8__a51ade0b_00_000000_000281,hyp_mbr,N,empty_hypothesis
v715OPK-SHc_0__c4db490a_00_000000_000355,hyp_mbr,N,empty_hypothesis
vVzXdLm-Eyg_0__4231e366_00_000000_000259,hyp_mbr,N,empty_hypothesis
xwk0nk4oEqE_16__1b06d7f7_00_000000_000325,hyp_mbr,N,empty_hypothesis
yN5TfRzs65A_13__20f7f746_00_000000_000303,hyp_mbr,N,empty_hypothesis
yfwd5PS4irs_0__e77b249f_00_000000_000312,hyp_mbr,N,empty_hypothesis
z0OrW-IRTQ0_9__e3177ca9_00_000000_000360,hyp_mbr,N,empty_hypothesis
1RkFwRhhcWQ_0__34eafb5a_00_000000_000196,hyp_vote_score,N,empty_hypothesis
3AJLNQJLZWA_0__435b07a3_00_000000_000312,hyp_vote_score,N,empty_hypothesis
3IuVw9zEpEE_0__e950d1d2_00_000000_000287,hyp_vote_score,N,empty_hypothesis
3KfgI8ATgtI_0__a3d2fe02_00_000000_000360,hyp_vote_score,N,empty_hypothesis
3cJtxPYktpQ_0__0dadea08_00_000000_000360,hyp_vote_score,N,empty_hypothesis
5I3phnxG7rQ_0__4d851196_00_000000_000359,hyp_vote_score,N,empty_hypothesis
81xbxD14ibc_18__90fa96a1_00_000000_000251,hyp_vote_score,N,empty_hypothesis
8fk-CwhmumA_18__17792c60_00_000000_000129,hyp_vote_score,N,empty_hypothesis
9HZ5C3XJpeY_3__49985ab7_00_000000_000247,hyp_vote_score,N,empty_hypothesis
C0mjh5eVeHU_0__426eee15_00_000000_000205,hyp_vote_score,N,empty_hypothesis
D4LexX9Nvbc_0__19c4d2b7_00_000000_000241,hyp_vote_score,N,empty_hypothesis
DBhaa45mAro_2__07d05c7a_00_000000_000359,hyp_vote_score,N,empty_hypothesis
DbJmA9BXsVY_2__e635b8e3_00_000000_000343,hyp_vote_score,N,empty_hypothesis
Dptwceev0lo_0__f43a3dce_00_000000_000327,hyp_vote_score,N,empty_hypothesis
EPFycdra-YU_3__018a8383_00_000000_000360,hyp_vote_score,N,empty_hypothesis
Ey8VuJK1WcI_0__2c25a4f1_00_000000_000241,hyp_vote_score,N,empty_hypothesis
FGI-xRRTQ00_0__7e09781a_00_000000_000359,hyp_vote_score,N,empty_hypothesis
GSYiIBVf1A4_0__c05da456_00_000000_000274,hyp_vote_score,N,empty_hypothesis
GwXx6-lIywY_0__1ba5bac3_00_000000_000329,hyp_vote_score,N,empty_hypothesis
Iy7D0OJ7Q-k_12__ba08dfc0_00_000000_000170,hyp_vote_score,N,empty_hypothesis
K2MyLHfohsg_11__bcc4b065_00_000000_000322,hyp_vote_score,N,empty_hypothesis
KHOr3HMQcXo_3__4fa0e96c_00_000000_000359,hyp_vote_score,N,empty_hypothesis
Lcn1G6pMnbU_0__0b22cefc_00_000000_000349,hyp_vote_score,N,empty_hypothesis
LmsHS4eXxGM_17__c4494b52_00_000000_000359,hyp_vote_score,N,empty_hypothesis
MtzD5SoF6PU_5__68edf11e_00_000000_000360,hyp_vote_score,N,empty_hypothesis
NbGh1qYWn0U_14__a4127a77_00_000000_000359,hyp_vote_score,N,empty_hypothesis
NtYXnNyYCVE_0__0e8662a1_00_000000_000360,hyp_vote_score,N,empty_hypothesis
OFhSh9XH2BE_5__b602cc92_00_000000_000350,hyp_vote_score,N,empty_hypothesis
OfVuYsKe01I_0__1f2be591_00_000000_000352,hyp_vote_score,N,empty_hypothesis
PNUbsGx13NI_15__90a2afe9_00_000000_000359,hyp_vote_score,N,empty_hypothesis
RTQGYPibdqA_2__2d36ae98_00_000000_000359,hyp_vote_score,N,empty_hypothesis
RwpRB1VkmTo_0__ddd55926_00_000000_000360,hyp_vote_score,N,empty_hypothesis
T5Qj5eLqZUM_8__a34f383b_00_000000_000328,hyp_vote_score,N,empty_hypothesis
UISaPg2kk7s_6__14b8a617_00_000000_000250,hyp_vote_score,N,empty_hypothesis
UXJ7Sdouf2A_4__59e92835_00_000000_000333,hyp_vote_score,N,empty_hypothesis
VLZS8PvgCqM_0__6732db8a_00_000000_000267,hyp_vote_score,N,empty_hypothesis
VP-uZT4yTtA_2__b82441fe_00_000000_000360,hyp_vote_score,N,empty_hypothesis
WMtiH5LyOYI_2__0128c9e8_00_000000_000295,hyp_vote_score,N,empty_hypothesis
WRtKKFMhJVM_4__91456207_00_000000_000355,hyp_vote_score,N,empty_hypothesis
YEgNIBeuEJw_14__6c665b22_00_000000_000210,hyp_vote_score,N,empty_hypothesis
ZEA2qyAQRaI_7__37b418b2_00_000000_000359,hyp_vote_score,N,empty_hypothesis
ZPnyrxO3Aec_5__2f358782_00_000000_000311,hyp_vote_score,N,empty_hypothesis
ZWaZxIj3FYQ_12__1f84c867_00_000000_000259,hyp_vote_score,N,empty_hypothesis
ZleYsI-kfos_0__06f40c72_00_000000_000184,hyp_vote_score,N,empty_hypothesis
a-ZYYIU-z9o_3__30865613_00_000000_000359,hyp_vote_score,N,empty_hypothesis
aCS748u9shI_4__9281bc5f_00_000000_000248,hyp_vote_score,N,empty_hypothesis
bSi58E25fpk_23__be846574_00_000000_000091,hyp_vote_score,N,trivially_short
bVu6iqNRdKU_0__56f77672_00_000000_000356,hyp_vote_score,N,empty_hypothesis
cCYfdQvJUBo_0__e2832e1b_00_000000_000359,hyp_vote_score,N,empty_hypothesis
dGBWElpK59k_8__2d7b98d1_00_000000_000360,hyp_vote_score,N,empty_hypothesis
eAaugFAzuk0_2__ae4980d0_00_000000_000256,hyp_vote_score,N,empty_hypothesis
ettiTbBUrWg_0__d3f23066_00_000000_000176,hyp_vote_score,N,empty_hypothesis
f3SWHMY48Fc_11__aab109e0_00_000000_000287,hyp_vote_score,N,empty_hypothesis
gwgzTsO46yc_9__85315e13_00_000000_000190,hyp_vote_score,N,empty_hypothesis
gxJjtUCqnlQ_14__8b2c6ee8_00_000000_000255,hyp_vote_score,N,empty_hypothesis
kG-z1EJdlPE_16__2f3131a4_00_000000_000273,hyp_vote_score,N,empty_hypothesis
n3bdLTNa9A8_2__ad35f419_00_000000_000348,hyp_vote_score,N,empty_hypothesis
nMd8KAQjYL0_0__9ec54093_00_000000_000357,hyp_vote_score,N,empty_hypothesis
ncSKWKJY5So_0__e040311f_00_000000_000321,hyp_vote_score,N,empty_hypothesis
nthuNmIADDM_3__98e72aa3_00_000000_000293,hyp_vote_score,N,empty_hypothesis
pOeJSxbFyto_7__ede5f642_00_000000_000360,hyp_vote_score,N,empty_hypothesis
qWZO6wUUANs_0__6eb0799b_00_000000_000295,hyp_vote_score,N,empty_hypothesis
tbxxAVSdySY_2__bae4902a_00_000000_000287,hyp_vote_score,N,empty_hypothesis
tmIlxd6OYXo_8__a51ade0b_00_000000_000281,hyp_vote_score,N,empty_hypothesis
v715OPK-SHc_0__c4db490a_00_000000_000355,hyp_vote_score,N,empty_hypothesis
vVzXdLm-Eyg_0__4231e366_00_000000_000259,hyp_vote_score,N,empty_hypothesis
xwk0nk4oEqE_16__1b06d7f7_00_000000_000325,hyp_vote_score,N,empty_hypothesis
yN5TfRzs65A_13__20f7f746_00_000000_000303,hyp_vote_score,N,empty_hypothesis
yfwd5PS4irs_0__e77b249f_00_000000_000312,hyp_vote_score,N,empty_hypothesis
z0OrW-IRTQ0_9__e3177ca9_00_000000_000360,hyp_vote_score,N,empty_hypothesis
zqs4j0uBfKw_0__452920cb_00_000000_000359,hyp_vote_score,N,empty_hypothesis
1RkFwRhhcWQ_0__34eafb5a_00_000000_000196,hyp_vote_conf,N,empty_hypothesis
3AJLNQJLZWA_0__435b07a3_00_000000_000312,hyp_vote_conf,N,empty_hypothesis
3IuVw9zEpEE_0__e950d1d2_00_000000_000287,hyp_vote_conf,N,empty_hypothesis
3KfgI8ATgtI_0__a3d2fe02_00_000000_000360,hyp_vote_conf,N,empty_hypothesis
3cJtxPYktpQ_0__0dadea08_00_000000_000360,hyp_vote_conf,N,empty_hypothesis
5I3phnxG7rQ_0__4d851196_00_000000_000359,hyp_vote_conf,N,empty_hypothesis
81xbxD14ibc_18__90fa96a1_00_000000_000251,hyp_vote_conf,N,empty_hypothesis
8fk-CwhmumA_18__17792c60_00_000000_000129,hyp_vote_conf,N,empty_hypothesis
9HZ5C3XJpeY_3__49985ab7_00_000000_000247,hyp_vote_conf,N,empty_hypothesis
A9O-Bd2uB5Q_0__937fb9c4_00_000000_000075,hyp_vote_conf,N,trivially_short
C0mjh5eVeHU_0__426eee15_00_000000_000205,hyp_vote_conf,N,empty_hypothesis
D4LexX9Nvbc_0__19c4d2b7_00_000000_000241,hyp_vote_conf,N,empty_hypothesis
DBhaa45mAro_2__07d05c7a_00_000000_000359,hyp_vote_conf,N,empty_hypothesis
DbJmA9BXsVY_2__e635b8e3_00_000000_000343,hyp_vote_conf,N,empty_hypothesis
Dptwceev0lo_0__f43a3dce_00_000000_000327,hyp_vote_conf,N,empty_hypothesis
EPFycdra-YU_3__018a8383_00_000000_000360,hyp_vote_conf,N,empty_hypothesis
Ey8VuJK1WcI_0__2c25a4f1_00_000000_000241,hyp_vote_conf,N,empty_hypothesis
FGI-xRRTQ00_0__7e09781a_00_000000_000359,hyp_vote_conf,N,empty_hypothesis
GSYiIBVf1A4_0__c05da456_00_000000_000274,hyp_vote_conf,N,empty_hypothesis
GwXx6-lIywY_0__1ba5bac3_00_000000_000329,hyp_vote_conf,N,empty_hypothesis
Iy7D0OJ7Q-k_12__ba08dfc0_00_000000_000170,hyp_vote_conf,N,empty_hypothesis
K2MyLHfohsg_11__bcc4b065_00_000000_000322,hyp_vote_conf,N,empty_hypothesis
KHOr3HMQcXo_3__4fa0e96c_00_000000_000359,hyp_vote_conf,N,empty_hypothesis
Lcn1G6pMnbU_0__0b22cefc_00_000000_000349,hyp_vote_conf,N,empty_hypothesis
LmsHS4eXxGM_17__c4494b52_00_000000_000359,hyp_vote_conf,N,empty_hypothesis
MtzD5SoF6PU_5__68edf11e_00_000000_000360,hyp_vote_conf,N,empty_hypothesis
NbGh1qYWn0U_14__a4127a77_00_000000_000359,hyp_vote_conf,N,empty_hypothesis
NtYXnNyYCVE_0__0e8662a1_00_000000_000360,hyp_vote_conf,N,empty_hypothesis
OFhSh9XH2BE_5__b602cc92_00_000000_000350,hyp_vote_conf,N,empty_hypothesis
OfVuYsKe01I_0__1f2be591_00_000000_000352,hyp_vote_conf,N,empty_hypothesis
PNUbsGx13NI_15__90a2afe9_00_000000_000359,hyp_vote_conf,N,empty_hypothesis
RTQGYPibdqA_2__2d36ae98_00_000000_000359,hyp_vote_conf,N,empty_hypothesis
RwpRB1VkmTo_0__ddd55926_00_000000_000360,hyp_vote_conf,N,empty_hypothesis
T5Qj5eLqZUM_8__a34f383b_00_000000_000328,hyp_vote_conf,N,empty_hypothesis
UISaPg2kk7s_6__14b8a617_00_000000_000250,hyp_vote_conf,N,empty_hypothesis
UXJ7Sdouf2A_4__59e92835_00_000000_000333,hyp_vote_conf,N,empty_hypothesis
VLZS8PvgCqM_0__6732db8a_00_000000_000267,hyp_vote_conf,N,empty_hypothesis
VP-uZT4yTtA_2__b82441fe_00_000000_000360,hyp_vote_conf,N,empty_hypothesis
WMtiH5LyOYI_2__0128c9e8_00_000000_000295,hyp_vote_conf,N,empty_hypothesis
WRtKKFMhJVM_4__91456207_00_000000_000355,hyp_vote_conf,N,empty_hypothesis
YEgNIBeuEJw_14__6c665b22_00_000000_000210,hyp_vote_conf,N,empty_hypothesis
ZEA2qyAQRaI_7__37b418b2_00_000000_000359,hyp_vote_conf,N,empty_hypothesis
ZPnyrxO3Aec_5__2f358782_00_000000_000311,hyp_vote_conf,N,empty_hypothesis
ZWaZxIj3FYQ_12__1f84c867_00_000000_000259,hyp_vote_conf,N,empty_hypothesis
ZleYsI-kfos_0__06f40c72_00_000000_000184,hyp_vote_conf,N,empty_hypothesis
a-ZYYIU-z9o_3__30865613_00_000000_000359,hyp_vote_conf,N,empty_hypothesis
aCS748u9shI_4__9281bc5f_00_000000_000248,hyp_vote_conf,N,empty_hypothesis
bSi58E25fpk_23__be846574_00_000000_000091,hyp_vote_conf,N,trivially_short
bVu6iqNRdKU_0__56f77672_00_000000_000356,hyp_vote_conf,N,empty_hypothesis
cCYfdQvJUBo_0__e2832e1b_00_000000_000359,hyp_vote_conf,N,empty_hypothesis
dGBWElpK59k_8__2d7b98d1_00_000000_000360,hyp_vote_conf,N,empty_hypothesis
eAaugFAzuk0_2__ae4980d0_00_000000_000256,hyp_vote_conf,N,empty_hypothesis
ettiTbBUrWg_0__d3f23066_00_000000_000176,hyp_vote_conf,N,empty_hypothesis
f3SWHMY48Fc_11__aab109e0_00_000000_000287,hyp_vote_conf,N,empty_hypothesis
gwgzTsO46yc_9__85315e13_00_000000_000190,hyp_vote_conf,N,empty_hypothesis
gxJjtUCqnlQ_14__8b2c6ee8_00_000000_000255,hyp_vote_conf,N,empty_hypothesis
kG-z1EJdlPE_16__2f3131a4_00_000000_000273,hyp_vote_conf,N,empty_hypothesis
n3bdLTNa9A8_2__ad35f419_00_000000_000348,hyp_vote_conf,N,empty_hypothesis
nMd8KAQjYL0_0__9ec54093_00_000000_000357,hyp_vote_conf,N,empty_hypothesis
ncSKWKJY5So_0__e040311f_00_000000_000321,hyp_vote_conf,N,empty_hypothesis
nthuNmIADDM_3__98e72aa3_00_000000_000293,hyp_vote_conf,N,empty_hypothesis
pOeJSxbFyto_7__ede5f642_00_000000_000360,hyp_vote_conf,N,empty_hypothesis
qWZO6wUUANs_0__6eb0799b_00_000000_000295,hyp_vote_conf,N,empty_hypothesis
tbxxAVSdySY_2__bae4902a_00_000000_000287,hyp_vote_conf,N,empty_hypothesis
tmIlxd6OYXo_8__a51ade0b_00_000000_000281,hyp_vote_conf,N,empty_hypothesis
v715OPK-SHc_0__c4db490a_00_000000_000355,hyp_vote_conf,N,empty_hypothesis
vVzXdLm-Eyg_0__4231e366_00_000000_000259,hyp_vote_conf,N,empty_hypothesis
xwk0nk4oEqE_16__1b06d7f7_00_000000_000325,hyp_vote_conf,N,empty_hypothesis
yN5TfRzs65A_13__20f7f746_00_000000_000303,hyp_vote_conf,N,empty_hypothesis
yfwd5PS4irs_0__e77b249f_00_000000_000312,hyp_vote_conf,N,empty_hypothesis
z0OrW-IRTQ0_9__e3177ca9_00_000000_000360,hyp_vote_conf,N,empty_hypothesis
zqs4j0uBfKw_0__452920cb_00_000000_000359,hyp_vote_conf,N,empty_hypothesis
