utt_id,method,ref,hyp,conf,wer_%,is_score,is_tier,verdict,preserved,lost,verdict_raw,source
-29kYQQ3Kos_11__652a02f9_00_000000_000073,hyp_vote_score,that are going to allow you to work with the team in a more,are going to allow you to work with a team and more,0.659,28.6,4.34,5,P,struct+key,detail,P:struct+key/-detail,judged
-29kYQQ3Kos_11__652a02f9_00_000000_000073,hyp_vote_conf,that are going to allow you to work with the team in a more,are going to allow you to work with a team and more,0.666,28.6,4.34,5,P,key+struct,detail,P:key+struct/-detail,judged
-3xW7Mihgjk_0__c4fdf51c_00_000000_000093,baseline,educational neuroscience if you want to learn more about it one way is,international courts and if you learn more about it in one way,0.7388050599644581,53.8,2.88,3,P,struct+sem,key,P:struct+sem/-key,judged
-3xW7Mihgjk_0__c4fdf51c_00_000000_000093,hyp_mbr,educational neuroscience if you want to learn more about it one way is,international and if you want to learn more about it in one way,0.655,30.8,2.88,3,P,struct,key,P:struct/-key,judged
-3xW7Mihgjk_0__c4fdf51c_00_000000_000093,hyp_vote_score,educational neuroscience if you want to learn more about it one way is,international and if you learn more about it in one way,0.693,46.2,2.88,3,P,sem,key,P:sem/-key,judged
-3xW7Mihgjk_0__c4fdf51c_00_000000_000093,hyp_vote_conf,educational neuroscience if you want to learn more about it one way is,international and if you learn more about it in one way,0.694,46.2,2.88,3,P,key+struct,detail,P:key+struct/-detail,judged
-7tusOdq-Aw_9__433c1e07_00_000000_000075,baseline,the 25 most important people to the growth of your business,the one that i'm most proud of is this one,0.4338031351566315,90.9,1.29,2,N,,,N,judged
-7tusOdq-Aw_9__433c1e07_00_000000_000075,hyp_mbr,the 25 most important people to the growth of your business,the one that i'm most proud of is this one,0.468,90.9,1.29,2,N,,,N,judged
-7tusOdq-Aw_9__433c1e07_00_000000_000075,hyp_vote_score,the 25 most important people to the growth of your business,the one that i'm most proud of is this one,0.504,90.9,1.29,2,N,,,N,judged
-7tusOdq-Aw_9__433c1e07_00_000000_000075,hyp_vote_conf,the 25 most important people to the growth of your business,the this that me tell proud of is point one,0.505,90.9,1.29,2,N,,,N,judged
-BuazAhs7uA_3__a4eb4ae6_00_000000_000101,baseline,and then we usually keep an eye on things and observe,that we used to keep it out of sight and out of,0.6530785486102104,90.9,1.7,2,P,struct,key,P:struct/-key,judged
-BuazAhs7uA_3__a4eb4ae6_00_000000_000101,hyp_mbr,and then we usually keep an eye on things and observe,that we used to keep it out of sight out of,0.595,90.9,1.7,2,N,,,N,judged
-BuazAhs7uA_3__a4eb4ae6_00_000000_000101,hyp_vote_score,and then we usually keep an eye on things and observe,that we used to keep it out of sight and out of,0.591,90.9,1.7,2,N,,,N,judged
-BuazAhs7uA_3__a4eb4ae6_00_000000_000101,hyp_vote_conf,and then we usually keep an eye on things and observe,that we used to keep it of sight out of,0.613,90.9,1.7,2,P,struct+sem,key,P:struct+sem/-key,judged
-CtCg8jQ2JE_16__18dd4b08_00_000000_000127,baseline,you know in the tropics where i live they wear out and they're 600 bucks a fucking piece,you know when the drops are where i live and they wear athleisure they don't remind me of fucking bears,0.6112781301140785,61.1,2.19,3,P,struct,key,P:struct/-key,judged
-CtCg8jQ2JE_16__18dd4b08_00_000000_000127,hyp_mbr,you know in the tropics where i live they wear out and they're 600 bucks a fucking piece,you know when the drops are where i live and they wear athleisure they don't remind me of fucking bees,0.56,61.1,2.19,3,P,struct,key,P:struct/-key,judged
-CtCg8jQ2JE_16__18dd4b08_00_000000_000127,hyp_vote_score,you know in the tropics where i live they wear out and they're 600 bucks a fucking piece,you know when the drops are where i live and they wear athleisure they don't remind me of fucking bees,0.641,61.1,2.19,3,N,,,N,judged
-CtCg8jQ2JE_16__18dd4b08_00_000000_000127,hyp_vote_conf,you know in the tropics where i live they wear out and they're 600 bucks a fucking piece,you know when the drops are where i live and they wear athleisure they don't remind me of fucking bees,0.64,61.1,2.19,3,P,struct,key,P:struct/-key,judged
-Hh2nX2Kx-E_12__35945ecb_00_000000_000138,baseline,more fabulous queens from around the globe first the lebanese comedian,more fabulous tweets from around the globe first lebanese community,0.8212843015789986,27.3,3.8,4,P,key+struct,detail,P:key+struct/-detail,judged
-Hh2nX2Kx-E_12__35945ecb_00_000000_000138,hyp_mbr,more fabulous queens from around the globe first the lebanese comedian,more fabulous tweets from around the globe first lebanese media,0.736,27.3,3.8,4,P,key+sem,detail,P:key+sem/-detail,judged
-Hh2nX2Kx-E_12__35945ecb_00_000000_000138,hyp_vote_score,more fabulous queens from around the globe first the lebanese comedian,more fabulous tweets from around the globe first lebanese media,0.682,27.3,3.8,4,P,key,detail,P:key/-detail,judged
-Hh2nX2Kx-E_12__35945ecb_00_000000_000138,hyp_vote_conf,more fabulous queens from around the globe first the lebanese comedian,more fabulous tweets from around the globe first lebanese media,0.687,27.3,3.8,4,P,key+struct,detail,P:key+struct/-detail,judged
-IB9YU0FmEs_0__8088e32d_00_000000_000090,baseline,examples so that you can practice along with me,couples sitting and practicing yoga with me,0.5737596079707146,77.8,1.62,2,P,phon+sem,detail,P:phon+sem/-detail,judged
-IB9YU0FmEs_0__8088e32d_00_000000_000090,hyp_mbr,examples so that you can practice along with me,couples sitting and practicing yoga with me,0.587,77.8,1.62,2,P,struct,key,P:struct/-key,judged
-IB9YU0FmEs_0__8088e32d_00_000000_000090,hyp_vote_score,examples so that you can practice along with me,couples sitting and practice yoga with me,0.577,66.7,1.62,2,P,sem,key,P:sem/-key,judged
-IB9YU0FmEs_0__8088e32d_00_000000_000090,hyp_vote_conf,examples so that you can practice along with me,couples sitting and practice yoga with me,0.574,66.7,1.62,2,N,,,N,judged
-IfFGbQZmVM_0__f5b650af_00_000000_000239,baseline,provide the housing so let's imagine the private sector has moved out no private investors and it was up to the government to provide this housing historically they haven't been great at doing that,the housing so it's matching the private sector to move that no profit investors and it was up to the government to provide this housing historically they haven't been great at doing it but even,0.845241094487054,29.4,4.24,5,Y,,,Y,judged
-IfFGbQZmVM_0__f5b650af_00_000000_000239,hyp_mbr,provide the housing so let's imagine the private sector has moved out no private investors and it was up to the government to provide this housing historically they haven't been great at doing that,the housing so it's matching the private sector to move that no profit investors and it was up to the government to provide this housing historically they haven't been great at doing it but even,0.737,29.4,4.24,5,Y,,,Y,judged
-IfFGbQZmVM_0__f5b650af_00_000000_000239,hyp_vote_score,provide the housing so let's imagine the private sector has moved out no private investors and it was up to the government to provide this housing historically they haven't been great at doing that,the housing so it's matching the private sector to move that no profit investors and it was up to the government to provide this housing historically they haven't been great at doing it but even,0.698,29.4,4.24,5,P,key+sem,detail,P:key+sem/-detail,judged
-IfFGbQZmVM_0__f5b650af_00_000000_000239,hyp_vote_conf,provide the housing so let's imagine the private sector has moved out no private investors and it was up to the government to provide this housing historically they haven't been great at doing that,the housing so it's matching the private sector to move that no profit investors and it was up to the government to provide this housing historically they haven't been great at doing it but even,0.7,29.4,4.24,5,P,key+struct,detail,P:key+struct/-detail,judged
-OZgSDreob0_9__ce9166dc_00_000000_000148,baseline,but that smiling is actually a universally correct expression of pleasure,but if you think about it it's actually two different things the,0.4375486249725024,100.0,1.47,2,N,,,N,judged
-OZgSDreob0_9__ce9166dc_00_000000_000148,hyp_mbr,but that smiling is actually a universally correct expression of pleasure,but if you think about it it's actually two different things the,0.484,100.0,1.47,2,N,,,N,judged
-OZgSDreob0_9__ce9166dc_00_000000_000148,hyp_vote_score,but that smiling is actually a universally correct expression of pleasure,but if you think about it it's actually two different things the,0.53,100.0,1.47,2,N,,,N,judged
-OZgSDreob0_9__ce9166dc_00_000000_000148,hyp_vote_conf,but that smiling is actually a universally correct expression of pleasure,if you think about it it's actually two different things the,0.533,100.0,1.47,2,N,,,N,judged
-POZpyVCN8k_9__c7b26ea8_00_000000_000085,baseline,today i'm talking with admiral mcrae,today i'm talking with animal migratory,0.6629457200566927,33.3,3.06,4,P,struct,key,P:struct/-key,judged
-POZpyVCN8k_9__c7b26ea8_00_000000_000085,hyp_mbr,today i'm talking with admiral mcrae,today i'm talking with animal migratory,0.64,33.3,3.06,4,P,struct,key,P:struct/-key,judged
-POZpyVCN8k_9__c7b26ea8_00_000000_000085,hyp_vote_score,today i'm talking with admiral mcrae,today i'm talking with animal migratory,0.6,33.3,3.06,4,P,struct,key,P:struct/-key,judged
-POZpyVCN8k_9__c7b26ea8_00_000000_000085,hyp_vote_conf,today i'm talking with admiral mcrae,today i'm talking with animal migratory,0.606,33.3,3.06,4,P,struct,key,P:struct/-key,judged
-Q5v9TPr-I0_0__389f7bc8_00_000000_000101,baseline,always pads were the pads that,always pants were the pants that,0.8366907487312952,33.3,3.43,4,P,key+sem,detail,P:key+sem/-detail,judged
-Q5v9TPr-I0_0__389f7bc8_00_000000_000101,hyp_mbr,always pads were the pads that,always pants were the pants that,0.746,33.3,3.43,4,P,struct,key,P:struct/-key,judged
-Q5v9TPr-I0_0__389f7bc8_00_000000_000101,hyp_vote_score,always pads were the pads that,always pants were the pants that,0.631,33.3,3.43,4,P,struct,key,P:struct/-key,judged
-Q5v9TPr-I0_0__389f7bc8_00_000000_000101,hyp_vote_conf,always pads were the pads that,always pants were the pants that,0.637,33.3,3.43,4,P,struct,key,P:struct/-key,judged
-Q5v9TPr-I0_18__f4d8e147_00_000000_000357,baseline,my period ended i'd say maybe a week ago so i'm coming to you with my opinion my experience with this line,period is not as they made me a week ago so i'm coming to you with my opinion my experience with this line,0.8985557685727659,31.8,4.37,5,P,key+struct,detail,P:key+struct/-detail,judged
-Q5v9TPr-I0_18__f4d8e147_00_000000_000357,hyp_mbr,my period ended i'd say maybe a week ago so i'm coming to you with my opinion my experience with this line,period is not as they made me a week ago so i'm coming to you with my opinion my experience with this line,0.787,31.8,4.37,5,Y,,,Y,judged
-Q5v9TPr-I0_18__f4d8e147_00_000000_000357,hyp_vote_score,my period ended i'd say maybe a week ago so i'm coming to you with my opinion my experience with this line,period is not as they made me a week ago so i'm coming to you with my opinion my experience with this line,0.704,31.8,4.37,5,P,key+struct,detail,P:key+struct/-detail,judged
-Q5v9TPr-I0_18__f4d8e147_00_000000_000357,hyp_vote_conf,my period ended i'd say maybe a week ago so i'm coming to you with my opinion my experience with this line,period is not as they made me a week ago so i'm coming to you with my opinion my experience with this line,0.706,31.8,4.37,5,P,key+struct,detail,P:key+struct/-detail,judged
-TDEPVnDiM8_10__3bbf3c2d_00_000000_000359,baseline,yes if you inscribe coach shane i'm guessing what you did was you took something something metal like maybe a knife or something,in his defense he described ghosting i'm guessing what you did was you learned something something better like maybe a knife or something and you,0.7277038922905922,43.5,2.89,3,P,key+struct,detail,P:key+struct/-detail,judged
-TDEPVnDiM8_10__3bbf3c2d_00_000000_000359,hyp_mbr,yes if you inscribe coach shane i'm guessing what you did was you took something something metal like maybe a knife or something,in his defense he described ghosting i'm guessing what you did was you learned something something better like maybe a knife or something and you,0.658,43.5,2.89,3,P,key+sem,detail,P:key+sem/-detail,judged
-TDEPVnDiM8_10__3bbf3c2d_00_000000_000359,hyp_vote_score,yes if you inscribe coach shane i'm guessing what you did was you took something something metal like maybe a knife or something,in his defense he described ghosting i'm guessing what you did was you cooked something something better like maybe a knife or something and you,0.651,43.5,2.89,3,P,key+struct,detail,P:key+struct/-detail,judged
-TDEPVnDiM8_10__3bbf3c2d_00_000000_000359,hyp_vote_conf,yes if you inscribe coach shane i'm guessing what you did was you took something something metal like maybe a knife or something,in give you he described gochujang i'm guessing what you did was you do something something better like maybe a knife or something and you,0.653,39.1,2.89,3,P,struct,key,P:struct/-key,judged
-TDEPVnDiM8_10__3bbf3c2d_01_000299_000441,baseline,like maybe a knife or something and on your forehead you wrote,maybe a knife or something and you cut your forehead and you're,0.7493114160994688,41.7,3.93,4,P,key+sem,detail,P:key+sem/-detail,judged
-TDEPVnDiM8_10__3bbf3c2d_01_000299_000441,hyp_mbr,like maybe a knife or something and on your forehead you wrote,maybe a knife or something and you cut your forehead in the road,0.659,50.0,3.93,4,P,key+sem,detail,P:key+sem/-detail,judged
-TDEPVnDiM8_10__3bbf3c2d_01_000299_000441,hyp_vote_score,like maybe a knife or something and on your forehead you wrote,maybe a knife or something and you cut your forehead and you're,0.65,41.7,3.93,4,Y,,,Y,judged
-TDEPVnDiM8_10__3bbf3c2d_01_000299_000441,hyp_vote_conf,like maybe a knife or something and on your forehead you wrote,maybe a knife or something and you cut your forehead and you're,0.65,41.7,3.93,4,P,key+struct,detail,P:key+struct/-detail,judged
-U9zjwIiUsc_0__7bcd098c_00_000000_000359,baseline,these areas likely from mid to late afternoon through the evening hours and maybe even into the overnight hours these storms probably going to be spotty here and there supercell rotating thunderstorms with big hail,terrorists lately from the midday afternoon through the evening hours or maybe even into the overnight hours these rumors are probably going to be spot on here and there chimpanzees are rotating there so i'm sure they'll,0.6571083407144289,51.4,3.28,4,P,struct+key,detail,P:struct+key/-detail,judged
-U9zjwIiUsc_0__7bcd098c_00_000000_000359,hyp_mbr,these areas likely from mid to late afternoon through the evening hours and maybe even into the overnight hours these storms probably going to be spotty here and there supercell rotating thunderstorms with big hail,terrorists lately from the midday afternoon through the evening hours or maybe even into the overnight hours these rumors are probably going to be spot on here and there chimpanzees are rotating there so i'm sure they'll,0.616,51.4,3.28,4,P,struct,key,P:struct/-key,judged
-U9zjwIiUsc_0__7bcd098c_00_000000_000359,hyp_vote_score,these areas likely from mid to late afternoon through the evening hours and maybe even into the overnight hours these storms probably going to be spotty here and there supercell rotating thunderstorms with big hail,terrorists lately from the midday afternoon through the evening hours or maybe even into the overnight hours these rumors are probably going to be spot on here and there chimpanzees are rotating there so i'm sure they'll,0.719,51.4,3.28,4,P,struct,key,P:struct/-key,judged
-U9zjwIiUsc_0__7bcd098c_00_000000_000359,hyp_vote_conf,these areas likely from mid to late afternoon through the evening hours and maybe even into the overnight hours these storms probably going to be spotty here and there supercell rotating thunderstorms with big hail,terrorists lately from the the afternoon through the evening hours or maybe even into the overnight hours these rumors are probably going to be spot on here and there chimpanzees are rotating there so i'm sure they'll,0.72,51.4,3.28,4,P,struct+key,detail,P:struct+key/-detail,judged
-U9zjwIiUsc_0__7bcd098c_01_000299_000360,baseline,rotating thunderstorms with big hail,ted turner's arms sold by hal,0.4335058604677518,120.0,0.75,1,N,,,N,judged
-U9zjwIiUsc_0__7bcd098c_01_000299_000360,hyp_mbr,rotating thunderstorms with big hail,ted turner's arms sold by hal,0.472,120.0,0.75,1,N,,,N,judged
-U9zjwIiUsc_0__7bcd098c_01_000299_000360,hyp_vote_score,rotating thunderstorms with big hail,ted turner's arms sold by hal,0.532,120.0,0.75,1,N,,,N,judged
-U9zjwIiUsc_0__7bcd098c_01_000299_000360,hyp_vote_conf,rotating thunderstorms with big hail,ted turner's arms sold by hal,0.534,120.0,0.75,1,N,,,N,judged
-VnLpiM14bo_11__5041e59b_00_000000_000194,baseline,something that worries a bit of stress the stress is okay too but after this fight brings in separation,doesn't want to be distressed it's distress that you can't use what we have to is want based separation,0.739135369952572,94.7,1.96,2,P,key,detail,P:key/-detail,judged
-VnLpiM14bo_11__5041e59b_00_000000_000194,hyp_mbr,something that worries a bit of stress the stress is okay too but after this fight brings in separation,doesn't want to be distressed it's distress that you can't use what we have to do is want to want basic separation,0.638,110.5,1.96,2,P,sem,key,P:sem/-key,judged
-VnLpiM14bo_11__5041e59b_00_000000_000194,hyp_vote_score,something that worries a bit of stress the stress is okay too but after this fight brings in separation,isn't why to be depressed it's depression that you can't use what we have to is want basic separation,0.646,94.7,1.96,2,P,sem,key,P:sem/-key,judged
-VnLpiM14bo_11__5041e59b_00_000000_000194,hyp_vote_conf,something that worries a bit of stress the stress is okay too but after this fight brings in separation,isn't want to be depressed it's depression that you can't use what we have to is want based separation,0.653,94.7,1.96,2,P,struct,key,P:struct/-key,judged
-WQZsfHcPDM_7__5210cac1_00_000000_000258,baseline,each bottle contains 1 billion cfus of probiotics and 2 tablespoons of apple cider vinegar only 80 calories per,each monitor has 1 million cfus of permafrost at two tablespoons per square foot only 80 gallons per,0.7300478054417504,57.9,2.66,3,P,struct,key,P:struct/-key,judged
-WQZsfHcPDM_7__5210cac1_00_000000_000258,hyp_mbr,each bottle contains 1 billion cfus of probiotics and 2 tablespoons of apple cider vinegar only 80 calories per,each monitor has 1 million cfus of permafrost and two tablespoons of apple juice only 80 gallons per,0.61,42.1,2.66,3,P,struct,num,P:struct/-num,judged
-WQZsfHcPDM_7__5210cac1_00_000000_000258,hyp_vote_score,each bottle contains 1 billion cfus of probiotics and 2 tablespoons of apple cider vinegar only 80 calories per,each monitor has 1 million cfus of permafrost and two tablespoons per square foot only 80 gallons per,0.646,52.6,2.66,3,P,struct,key,P:struct/-key,judged
-WQZsfHcPDM_7__5210cac1_00_000000_000258,hyp_vote_conf,each bottle contains 1 billion cfus of probiotics and 2 tablespoons of apple cider vinegar only 80 calories per,each monitor has 1 million cfus of permafrost and two tablespoons per square vinegar only 80 gallons per,0.648,47.4,2.66,3,P,key+struct,num,P:key+struct/-num,judged
-WqvFSuRYo0_12__41974034_00_000000_000122,baseline,of publishing a bad paper is not yet perceived as being such a big problem,cost of publishing a manuscript is not yet perceived as being such a big problem but,0.8635308649390936,26.7,3.84,4,P,key+sem,detail,P:key+sem/-detail,judged
-WqvFSuRYo0_12__41974034_00_000000_000122,hyp_mbr,of publishing a bad paper is not yet perceived as being such a big problem,cost of publishing a manuscript is not yet perceived as being such a big problem but,0.775,26.7,3.84,4,P,key+sem,detail,P:key+sem/-detail,judged
-WqvFSuRYo0_12__41974034_00_000000_000122,hyp_vote_score,of publishing a bad paper is not yet perceived as being such a big problem,cost of publishing a paper is not yet perceived as being such a big problem but,0.672,20.0,3.84,4,P,struct+key,detail,P:struct+key/-detail,judged
-WqvFSuRYo0_12__41974034_00_000000_000122,hyp_vote_conf,of publishing a bad paper is not yet perceived as being such a big problem,of publishing a paper is not yet perceived as being such a big problem but,0.683,13.3,3.84,4,P,key+struct,detail,P:key+struct/-detail,judged
-hxo-XRemCM_9__b16b9c69_00_000000_000271,baseline,no let's say i ask you to think about what you had for breakfast yesterday and if i were to say to you where do you sense it you'd probably sense it here to your left somewhere not everyone,now let's say i ask you to think about what you had for breakfast yesterday and if i were to say you ate a sandwich you probably said it you left it somewhere not everyone,0.8183836272784641,33.3,4.02,5,P,struct+key,detail,P:struct+key/-detail,judged
-hxo-XRemCM_9__b16b9c69_00_000000_000271,hyp_mbr,no let's say i ask you to think about what you had for breakfast yesterday and if i were to say to you where do you sense it you'd probably sense it here to your left somewhere not everyone,now let's say i ask you to think about what you had for breakfast yesterday and if i were to say you ate a sandwich you'd probably say it you left it somewhere not everyone,0.729,30.8,4.02,5,P,struct+key,detail,P:struct+key/-detail,judged
-hxo-XRemCM_9__b16b9c69_00_000000_000271,hyp_vote_score,no let's say i ask you to think about what you had for breakfast yesterday and if i were to say to you where do you sense it you'd probably sense it here to your left somewhere not everyone,now let's say i ask you to think about what you had for breakfast yesterday and if i were to say you ate a sandwich you'd probably say it you left it somewhere not everyone,0.71,30.8,4.02,5,P,struct+key,detail,P:struct+key/-detail,judged
-hxo-XRemCM_9__b16b9c69_00_000000_000271,hyp_vote_conf,no let's say i ask you to think about what you had for breakfast yesterday and if i were to say to you where do you sense it you'd probably sense it here to your left somewhere not everyone,now let's say i ask you to think about what you had for breakfast yesterday and if i were to say you ate a sandwich you probably say it you left it somewhere not everyone,0.711,33.3,4.02,5,P,key+struct,detail,P:key+struct/-detail,judged
-ioPqewVHYw_8__02580a1f_00_000000_000119,baseline,their oar was the same you know each was the same and he was in the middle and he didn't know whether to suicide left or right,ruled with an iron fist in a velvet glove my name is kim bowie and in the words of nikki giovanni,0.5134017167701608,96.3,1.08,2,N,,,N,judged
-ioPqewVHYw_8__02580a1f_00_000000_000119,hyp_mbr,their oar was the same you know each was the same and he was in the middle and he didn't know whether to suicide left or right,ruled with an iron fist in a velvet glove my name is kim bowie and in the words of nirvana,0.532,96.3,1.08,2,N,,,N,judged
-ioPqewVHYw_8__02580a1f_00_000000_000119,hyp_vote_score,their oar was the same you know each was the same and he was in the middle and he didn't know whether to suicide left or right,ruled with an iron fist in a velvet glove my name is kim phillips and in the words of nikki giovanni,0.537,96.3,1.08,2,N,,,N,judged
-ioPqewVHYw_8__02580a1f_00_000000_000119,hyp_vote_conf,their oar was the same you know each was the same and he was in the middle and he didn't know whether to suicide left or right,was with i iron fist to school that glove my name is kim and and in the words of to giovanni,0.547,88.9,1.08,2,N,,,N,judged
-jVtbjStyYg_0__f6b586f9_00_000000_000109,baseline,a chance that it might not be fantastic samsung sort of has a reputation of just taking a million ideas throwing them at you,it might take us 10 years to sort out these patents you just take a million ideas and throw them into the,0.6039432913742282,75.0,2.39,3,P,key,detail,P:key/-detail,judged
-jVtbjStyYg_0__f6b586f9_00_000000_000109,hyp_mbr,a chance that it might not be fantastic samsung sort of has a reputation of just taking a million ideas throwing them at you,it might take us 10 years to sort out these patents you just take a million ideas and throw them into the,0.562,75.0,2.39,3,P,struct,key,P:struct/-key,judged
-jVtbjStyYg_0__f6b586f9_00_000000_000109,hyp_vote_score,a chance that it might not be fantastic samsung sort of has a reputation of just taking a million ideas throwing them at you,it might take us 10 years to sort out these patents you just take a million ideas and throw them into the,0.694,75.0,2.39,3,P,key,detail,P:key/-detail,judged
-jVtbjStyYg_0__f6b586f9_00_000000_000109,hyp_vote_conf,a chance that it might not be fantastic samsung sort of has a reputation of just taking a million ideas throwing them at you,it might take us 10 years to sort out these patents just take a million ideas and throw them into,0.715,75.0,2.39,3,P,key+struct,detail,P:key+struct/-detail,judged
-kYY8puZHWQ_1__dc46ccee_00_000000_000075,baseline,i can redirect the power from the zones that are turned off,and recreate the power of those that are turned off,0.6833668112754822,50.0,2.99,3,P,key,detail,P:key/-detail,judged
-kYY8puZHWQ_1__dc46ccee_00_000000_000075,hyp_mbr,i can redirect the power from the zones that are turned off,and recreate the power of those that are turned off,0.628,50.0,2.99,3,P,key+sem,detail,P:key+sem/-detail,judged
-kYY8puZHWQ_1__dc46ccee_00_000000_000075,hyp_vote_score,i can redirect the power from the zones that are turned off,and recreate the power of those that are turned off,0.665,50.0,2.99,3,P,key,detail,P:key/-detail,judged
-kYY8puZHWQ_1__dc46ccee_00_000000_000075,hyp_vote_conf,i can redirect the power from the zones that are turned off,and recreate the power of those that turned off,0.69,58.3,2.99,3,P,key+sem,detail,P:key+sem/-detail,judged
-n1y0QwPq1I_1__d2eebee8_00_000000_000322,baseline,it's a picture of marilyn monroe if you have a suggestion for wallpaper leave it as a comment below and i may use it in next week's show so we're going to get started right with the news i'm sorry i don't have any comments to feature,picture of marilyn monroe if you have a suggestion for wallpaper leave it in the comments below and i'll make you 16 next week so we're going to start right with the news i'm sorry i don't have any comics to finish today,0.7536541039860526,36.2,4.0,5,P,key+sem,detail,P:key+sem/-detail,judged
-n1y0QwPq1I_1__d2eebee8_00_000000_000322,hyp_mbr,it's a picture of marilyn monroe if you have a suggestion for wallpaper leave it as a comment below and i may use it in next week's show so we're going to get started right with the news i'm sorry i don't have any comments to feature,picture of marilyn monroe if you have a suggestion for wallpaper leave it in the comments below and i'll make you 16 next week so we're going to start right with the news i'm sorry i don't have any comics to finish today,0.665,36.2,4.0,5,P,key+sem,detail,P:key+sem/-detail,judged
-n1y0QwPq1I_1__d2eebee8_00_000000_000322,hyp_vote_score,it's a picture of marilyn monroe if you have a suggestion for wallpaper leave it as a comment below and i may use it in next week's show so we're going to get started right with the news i'm sorry i don't have any comments to feature,picture of marilyn monroe if you have a suggestion for wallpaper leave it in the comments below and i'll make you 16 next week so we're going to start right with the news i'm sorry i don't have any comics to finish today,0.714,36.2,4.0,5,P,key+struct,detail,P:key+struct/-detail,judged
-n1y0QwPq1I_1__d2eebee8_00_000000_000322,hyp_vote_conf,it's a picture of marilyn monroe if you have a suggestion for wallpaper leave it as a comment below and i may use it in next week's show so we're going to get started right with the news i'm sorry i don't have any comments to feature,picture of marilyn monroe if you have a suggestion for wallpaper leave it in the comments below and i'll make you 16 next week so we're going to start right with the news i'm sorry i don't have any comics to finish over,0.714,36.2,4.0,5,P,key+struct,detail,P:key+struct/-detail,judged
-oaJP6OkT3E_10__b1c86d52_00_000000_000099,baseline,and in france my favorite drink was orangina,favorite song was oregon trail,0.5074708461761475,87.5,1.38,2,P,key+sem,detail,P:key+sem/-detail,judged
-oaJP6OkT3E_10__b1c86d52_00_000000_000099,hyp_mbr,and in france my favorite drink was orangina,favorite song was oregon trail,0.497,87.5,1.38,2,P,key+sem,detail,P:key+sem/-detail,judged
-oaJP6OkT3E_10__b1c86d52_00_000000_000099,hyp_vote_score,and in france my favorite drink was orangina,favorite song was oregon trail,0.616,87.5,1.38,2,P,sem,key,P:sem/-key,judged
-oaJP6OkT3E_10__b1c86d52_00_000000_000099,hyp_vote_conf,and in france my favorite drink was orangina,favorite song was oregon trail,0.615,87.5,1.38,2,P,struct,key,P:struct/-key,judged
-r0CnHLAm2k_0__70eb4d5d_00_000000_000093,baseline,there forever and i want it to be a five star review,forever and i wanted to be around for you,0.6211985862917371,58.3,1.88,2,P,key,detail,P:key/-detail,judged
-r0CnHLAm2k_0__70eb4d5d_00_000000_000093,hyp_mbr,there forever and i want it to be a five star review,forever and i wanted to be around for you,0.568,58.3,1.88,2,P,key,detail,P:key/-detail,judged
