utt_id,ref,hyp_baseline,conf_baseline,wer_baseline,verdict_baseline,hyp_hyp_mbr,conf_hyp_mbr,wer_hyp_mbr,verdict_hyp_mbr,hyp_hyp_vote_score,conf_hyp_vote_score,wer_hyp_vote_score,verdict_hyp_vote_score,hyp_hyp_vote_conf,conf_hyp_vote_conf,wer_hyp_vote_conf,verdict_hyp_vote_conf
-Q5v9TPr-I0_18__f4d8e147_00_000000_000357,my period ended i'd say maybe a week ago so i'm coming to you with my opinion my experience with this line,period is not as they made me a week ago so i'm coming to you with my opinion my experience with this line,0.8985557685727659,31.8,P,period is not as they made me a week ago so i'm coming to you with my opinion my experience with this line,0.787,31.8,P,period is not as they made me a week ago so i'm coming to you with my opinion my experience with this line,0.704,31.8,P,period is not as they made me a week ago so i'm coming to you with my opinion my experience with this line,0.706,31.8,P
-TDEPVnDiM8_10__3bbf3c2d_00_000000_000359,yes if you inscribe coach shane i'm guessing what you did was you took something something metal like maybe a knife or something,in his defense he described ghosting i'm guessing what you did was you learned something something better like maybe a knife or something and you,0.7277038922905922,43.5,P,in his defense he described ghosting i'm guessing what you did was you learned something something better like maybe a knife or something and you,0.658,43.5,P,in his defense he described ghosting i'm guessing what you did was you cooked something something better like maybe a knife or something and you,0.651,43.5,P,in give you he described gochujang i'm guessing what you did was you do something something better like maybe a knife or something and you,0.653,39.1,P
-TDEPVnDiM8_10__3bbf3c2d_01_000299_000441,like maybe a knife or something and on your forehead you wrote,maybe a knife or something and you cut your forehead and you're,0.7493114160994688,41.7,P,maybe a knife or something and you cut your forehead in the road,0.659,50.0,P,maybe a knife or something and you cut your forehead and you're,0.65,41.7,P,maybe a knife or something and you cut your forehead and you're,0.65,41.7,P
-U9zjwIiUsc_0__7bcd098c_00_000000_000359,these areas likely from mid to late afternoon through the evening hours and maybe even into the overnight hours these storms probably going to be spotty here and there supercell rotating thunderstorms with big hail,terrorists lately from the midday afternoon through the evening hours or maybe even into the overnight hours these rumors are probably going to be spot on here and there chimpanzees are rotating there so i'm sure they'll,0.6571083407144289,51.4,P,terrorists lately from the midday afternoon through the evening hours or maybe even into the overnight hours these rumors are probably going to be spot on here and there chimpanzees are rotating there so i'm sure they'll,0.616,51.4,P,terrorists lately from the midday afternoon through the evening hours or maybe even into the overnight hours these rumors are probably going to be spot on here and there chimpanzees are rotating there so i'm sure they'll,0.719,51.4,P,terrorists lately from the the afternoon through the evening hours or maybe even into the overnight hours these rumors are probably going to be spot on here and there chimpanzees are rotating there so i'm sure they'll,0.72,51.4,P
-U9zjwIiUsc_0__7bcd098c_01_000299_000360,rotating thunderstorms with big hail,ted turner's arms sold by hal,0.4335058604677518,120.0,N,ted turner's arms sold by hal,0.472,120.0,N,ted turner's arms sold by hal,0.532,120.0,N,ted turner's arms sold by hal,0.534,120.0,N
-VnLpiM14bo_11__5041e59b_00_000000_000194,something that worries a bit of stress the stress is okay too but after this fight brings in separation,doesn't want to be distressed it's distress that you can't use what we have to is want based separation,0.739135369952572,94.7,P,doesn't want to be distressed it's distress that you can't use what we have to do is want to want basic separation,0.638,110.5,P,isn't why to be depressed it's depression that you can't use what we have to is want basic separation,0.646,94.7,P,isn't want to be depressed it's depression that you can't use what we have to is want based separation,0.653,94.7,P
-WQZsfHcPDM_7__5210cac1_00_000000_000258,each bottle contains 1 billion cfus of probiotics and 2 tablespoons of apple cider vinegar only 80 calories per,each monitor has 1 million cfus of permafrost at two tablespoons per square foot only 80 gallons per,0.7300478054417504,57.9,P,each monitor has 1 million cfus of permafrost and two tablespoons of apple juice only 80 gallons per,0.61,42.1,P,each monitor has 1 million cfus of permafrost and two tablespoons per square foot only 80 gallons per,0.646,52.6,P,each monitor has 1 million cfus of permafrost and two tablespoons per square vinegar only 80 gallons per,0.648,47.4,P
-WqvFSuRYo0_12__41974034_00_000000_000122,of publishing a bad paper is not yet perceived as being such a big problem,cost of publishing a manuscript is not yet perceived as being such a big problem but,0.8635308649390936,26.7,P,cost of publishing a manuscript is not yet perceived as being such a big problem but,0.775,26.7,P,cost of publishing a paper is not yet perceived as being such a big problem but,0.672,20.0,Y,of publishing a paper is not yet perceived as being such a big problem but,0.683,13.3,Y
-hxo-XRemCM_9__b16b9c69_00_000000_000271,no let's say i ask you to think about what you had for breakfast yesterday and if i were to say to you where do you sense it you'd probably sense it here to your left somewhere not everyone,now let's say i ask you to think about what you had for breakfast yesterday and if i were to say you ate a sandwich you probably said it you left it somewhere not everyone,0.8183836272784641,33.3,P,now let's say i ask you to think about what you had for breakfast yesterday and if i were to say you ate a sandwich you'd probably say it you left it somewhere not everyone,0.729,30.8,P,now let's say i ask you to think about what you had for breakfast yesterday and if i were to say you ate a sandwich you'd probably say it you left it somewhere not everyone,0.71,30.8,P,now let's say i ask you to think about what you had for breakfast yesterday and if i were to say you ate a sandwich you probably say it you left it somewhere not everyone,0.711,33.3,P
-ioPqewVHYw_8__02580a1f_00_000000_000119,their oar was the same you know each was the same and he was in the middle and he didn't know whether to suicide left or right,ruled with an iron fist in a velvet glove my name is kim bowie and in the words of nikki giovanni,0.5134017167701608,96.3,N,ruled with an iron fist in a velvet glove my name is kim bowie and in the words of nirvana,0.532,96.3,N,ruled with an iron fist in a velvet glove my name is kim phillips and in the words of nikki giovanni,0.537,96.3,N,was with i iron fist to school that glove my name is kim and and in the words of to giovanni,0.547,88.9,N
-jVtbjStyYg_0__f6b586f9_00_000000_000109,a chance that it might not be fantastic samsung sort of has a reputation of just taking a million ideas throwing them at you,it might take us 10 years to sort out these patents you just take a million ideas and throw them into the,0.6039432913742282,75.0,P,it might take us 10 years to sort out these patents you just take a million ideas and throw them into the,0.562,75.0,P,it might take us 10 years to sort out these patents you just take a million ideas and throw them into the,0.694,75.0,P,it might take us 10 years to sort out these patents just take a million ideas and throw them into,0.715,75.0,P
-kYY8puZHWQ_1__dc46ccee_00_000000_000075,i can redirect the power from the zones that are turned off,and recreate the power of those that are turned off,0.6833668112754822,50.0,P,and recreate the power of those that are turned off,0.628,50.0,P,and recreate the power of those that are turned off,0.665,50.0,P,and recreate the power of those that turned off,0.69,58.3,P
-n1y0QwPq1I_1__d2eebee8_00_000000_000322,it's a picture of marilyn monroe if you have a suggestion for wallpaper leave it as a comment below and i may use it in next week's show so we're going to get started right with the news i'm sorry i don't have any comments to feature,picture of marilyn monroe if you have a suggestion for wallpaper leave it in the comments below and i'll make you 16 next week so we're going to start right with the news i'm sorry i don't have any comics to finish today,0.7536541039860526,36.2,P,picture of marilyn monroe if you have a suggestion for wallpaper leave it in the comments below and i'll make you 16 next week so we're going to start right with the news i'm sorry i don't have any comics to finish today,0.665,36.2,P,picture of marilyn monroe if you have a suggestion for wallpaper leave it in the comments below and i'll make you 16 next week so we're going to start right with the news i'm sorry i don't have any comics to finish today,0.714,36.2,P,picture of marilyn monroe if you have a suggestion for wallpaper leave it in the comments below and i'll make you 16 next week so we're going to start right with the news i'm sorry i don't have any comics to finish over,0.714,36.2,P
-oaJP6OkT3E_10__b1c86d52_00_000000_000099,and in france my favorite drink was orangina,favorite song was oregon trail,0.5074708461761475,87.5,P,favorite song was oregon trail,0.497,87.5,P,favorite song was oregon trail,0.616,87.5,P,favorite song was oregon trail,0.615,87.5,P
-r0CnHLAm2k_0__70eb4d5d_00_000000_000093,there forever and i want it to be a five star review,forever and i wanted to be around for you,0.6211985862917371,58.3,P,forever and i wanted to be around for you,0.568,58.3,P,forever and i wanted to be around for you,0.647,58.3,P,forever and i wanted to be around for you,0.647,58.3,P
-tf0uqDyoTw_17__b0aa8c5b_00_000000_000093,uniq all makes four,30 or by its floor the,0.3508645296096802,150.0,N,30 or by its floor the,0.431,150.0,N,30 or by its floor the,0.519,150.0,N,30 or by its floor,0.527,125.0,N
-uF--hO7H9E_3__002aea09_00_000000_000125,of the video the lego minifig uh we have,video a little bit of fun we have,0.7607451174408197,77.8,P,video a little bit of fun we have,0.714,77.8,P,video a little bit of fun we have,0.671,77.8,P,have a little bit of fun we have,0.673,77.8,P
-xA5xgAqj1I_1__ef5633d6_00_000000_000158,wellness is 100 in our control simply by thinking positive,is 100 in our control simply by thinking positive,0.8736162649260627,10.0,Y,is 100 in our control simply by thinking positive,0.818,10.0,Y,is 100 in our control simply by thinking positive,0.713,10.0,Y,is 100 in our control simply by thinking positive,0.716,10.0,Y
-xA5xgAqj1I_4__e500e5bc_00_000000_000176,a friend of mine was recently diagnosed with and died of stage 4 breast cancer and she described,friend of mine was recently diagnosed and died of stage four breast cancer and since she described,0.8775151477140539,22.2,Y,friend of mine was recently diagnosed and died of stage four breast cancer and as she described,0.788,22.2,Y,friend of mine was recently diagnosed and died of stage four breast cancer and as she described,0.714,22.2,Y,friend of mine was recently diagnosed and died of stage four breast cancer and as she described,0.716,22.2,Y
-xcETtGjLZU_3__111246a8_00_000000_000245,okay so we've got a cool little drum fill what i'm gonna do is we're gonna stick it just on the snare drum to start off with i'll play it at 16th notes and i'll start doubling up what the hands are doing and turn those into 32nd notes so we,through all we'll drop through and what i'm going to do is when i get close to the stage i'll start off with a paced 60 beats per minute and then as i start to come up with that adrenaline it'll go to 130 so,0.6300060798724493,82.4,N,through all we'll drop through and what i'm going to do is when i get close to the stage i'll start off with a paced 60 beats per minute and then as i start to come up with that adrenaline it'll go to 130 so,0.585,82.4,N,through all we'll drop through and what i'm going to do is when i get close to the stage i'll start off with a paced 60 beats per minute and then as i start to come up with that adrenaline it'll go to 130 so,0.729,82.4,N,through all we'll drop through and what i'm going to do is when i get close to the stage i'll start off with a paced 60 beats per minute and then as i start to come up with that adrenaline it'll go to 130 so,0.729,82.4,N
-zsS-SRsuxo_5__8f42a596_00_000000_000195,were saying and then certain examples in the support of that theory and if they have certain criticism,today and that certain examples in the support of that day if they have certain certainty,0.7417461331933737,33.3,P,today and that certain examples in the support of that day if they have certain certainty,0.65,33.3,P,today and that certain examples in the support of that day if they have certain certainty,0.65,33.3,P,today and that certain examples in the support of that day if they have certain certainty,0.659,33.3,P
00MUdHQ7GGY_8__b1480c7a_00_000000_000194,it doesn't have a carry strap but you can put it on your shoulder pretty easily or just carry it with your hand,this is david irving he's a holocaust denier and a computer hacker who broke into the nuremberg trials,0.46768511086702347,100.0,N,this is david irving he's a holocaust denier and a computer hacker who broke into the nuremberg trials,0.493,100.0,N,this is david irving he's a holocaust denier and a computer hacker who broke into the nuremberg trials,0.618,100.0,N,this is david irving he's a holocaust denier a computer hacker who into the for trials,0.637,100.0,N
024R53C7F8Y_6__12d15534_00_000000_000091,in the creation of these children or in the making,in the creation of these children's orders and then in the making of,0.7260559866061578,50.0,P,in the creation of these children's orders and then in the making of,0.665,50.0,P,in the creation of these children's orders and then in the making of,0.598,50.0,P,in the creation of these children's orders then in the making of,0.608,40.0,P
03pA-kxDy7U_10__355ca5db_00_000000_000163,he is now 7 years old my third one will also be a male he is 1 years old right now his name is michael,is now seven years old my third one will also be a boy a kid is one year old right now his name is,0.8593220350642999,32.0,P,is now seven years old my third one will also be a boy a kid is one year old right now his name is,0.752,32.0,P,is now seven years old my third one will also be a boy a kid is one year old right now his name is,0.681,32.0,P,is now seven years old my third one will also be a boy kid is one year old right now his name is,0.694,28.0,P
053zL8bRFHI_4__c85adac5_00_000000_000281,joking is that it oh my gosh i thought i had so many more books on here i do have a lot more books on here i just have ones i haven't even started reading yet so anyways that's all for here,so like saying oh my gosh i think i'm in love with someone personally i don't get to be in love like i used to have once again when i was a teenager and so anyone can say it all over again,0.6102690888302666,88.1,N,so like saying oh my gosh i think i'm in love with someone personally i don't get to be in love like i used to have once again when i was a teenager and so anyone can say it all over again,0.576,88.1,N,so like saying oh my gosh i think i'm in love with someone personally i don't get to be in love like i used to have once again when i was a teenager and so anyone can say it all over again,0.722,88.1,N,so like saying oh my gosh i think i'm in love with someone personally i don't get to be in love way i used to have once again when i was a teenager and so anyone can sing it all a again,0.723,88.1,N
06t1r1TSc2U_0__cfc2b8c0_00_000000_000131,usually after lunch i'll get kind of sleepy so i'll have some iced coffee,you just have to relax sit back and enjoy life have some coffee,0.524775491311,78.6,P,you just have to relax sit back and enjoy life and have some coffee,0.538,85.7,P,you just have to relax sit back and enjoy life have some coffee,0.692,78.6,P,you just have to relax sit back and enjoy life have some coffee,0.693,78.6,P
07d6oRMHbns_2__33e1cb7e_00_000000_000246,so there's different sizes of different boards and we wanna make sure that we have the standoffs in the right place because not every board's the same,i'm going to tell you,0.43245339058339594,100.0,N,i'm going to tell you,0.471,100.0,N,i'm going to tell you,0.573,100.0,N,i'm going to be you,0.567,100.0,N
08Sxwj1ubxw_19__8aa8b978_00_000000_000311,hello everybody welcome back to daily easy english expression ah boy today we have something very good fomo,everybody welcome back to tedx tehran today we have something very good vemo is,0.6455597983939307,50.0,P,everybody welcome back to tedxtehran today we have something very good vemo is,0.578,50.0,P,everybody welcome back to tehran today we have something very good vemo is,0.7,50.0,P,everybody welcome back to tehran today we have something very good vemo is,0.702,50.0,P
0FUlRjBcGGE_21__8fc418e2_00_000000_000104,so um,so i kind of,0.5947483628988266,150.0,N,so i kind of,0.577,150.0,N,so i kind of,0.528,150.0,N,so i kind of,0.529,150.0,N
0HTUgySq5ko_0__44a636c9_00_000000_000122,now is you have your vpn software here and it's encrypted,was like you have three months of way here and it's getting colder,0.6595401064707682,72.7,N,was like you have three months of way here and it's going to get colder,0.608,90.9,N,was like you have three months of way here and it's get colder,0.633,72.7,N,was like you have three months of way here and it's get colder,0.636,72.7,N
0JWDV8kPq4k_9__b01d87a8_00_000000_000091,let's see a half a cup of,i have to say thank you,0.4942903071641922,100.0,N,i have to say that,0.474,100.0,N,i have to say you,0.703,100.0,N,i have to say you,0.706,100.0,N
0JZ0u9eJzeQ_9__e522ce7a_00_000000_000183,and the security was sort of hovering around the side and i watched a nurse just gently go up and put a hand on this gentleman's arm,and she knew it was covering around the side and i wanted to gently go up and put a hand off on the gentleman's team,0.7315422469377517,48.1,P,and she knew it was a whale shark around the side and i wanted to gently go up and put a hand off on the shark's team,0.663,51.9,P,and she knew it was shark around the side and i wanted to gently go up and put a hand off on the shark's team,0.707,51.9,P,and she knew it was shark around the side and i wanted to gently go up and put a hand on the shark's team,0.717,48.1,P
0LUot0DBc2I_2__885108f7_00_000000_000105,i thought it was pretty fun and a great experience,i tried to speak english and look at the world,0.604535048455,90.0,N,i learned to speak english and look at the world,0.59,90.0,N,i learned to speak english and look at the world,0.588,90.0,N,i tried to speak english and look at the world,0.589,90.0,N
0PQonSiGkVE_0__746999dd_00_000000_000095,has now carried you home,i dare you to hear the new home,0.6560277249664068,140.0,P,i dare you to hear the new roar,0.587,160.0,N,i dare you to hear the new home,0.59,140.0,P,i dare you to hear the new home,0.597,140.0,N
0Rz-NOmqqG8_7__80cb2567_00_000000_000083,especially with trial students that may not want to interact with me,especially when children are concerned but i want to interact with,0.6906107366085052,58.3,P,especially when children are concerned but i want to interact with,0.601,58.3,P,especially when children are concerned but i want to interact with,0.611,58.3,P,especially when children are concerned but i want to interact with,0.616,58.3,P
0aTG09Jg2fY_0__2dd1b585_00_000000_000158,this video we're teaching you some vocabulary some common phrases,of this video i want to introduce you to tom vocabulary i also call him friend,0.7683099247515202,120.0,P,of this video i want to introduce you to tom vocabulary i also call my friend,0.655,120.0,P,of this video i want to introduce you to tom vocabulary i also call my friend,0.658,120.0,P,of this video i want to introduce you to tom vocabulary i also call him friends,0.66,120.0,P
0fmc81KXbB0_0__8be49586_00_000000_000099,i don't want to say mistakes but i will say like experiments and,i don't want to seem disrespectful,0.5928722967704138,69.2,N,i don't want to seem disrespectful,0.556,69.2,P,i don't want to seem disrespectful,0.68,69.2,N,i don't want to seem disrespectful,0.681,69.2,N
0frkZPC-c0s_0__92209c63_00_000000_000113,photographs we know that there's a psychological benefit to doing that,photographs and we know that there's a significant benefit to doing that,0.644979406769077,18.2,P,photographs and we know that there's just a lot of benefit to doing that,0.579,36.4,P,photographs and we know that there's a of benefit to doing that,0.642,18.2,P,photographs and we know that there's a of benefit to doing that,0.646,18.2,P
0gWOYEjgQxQ_5__1a22a383_00_000000_000360,written to me all the consultations and all of that i think that is a really important thing to do as well and i think it suits you know the first month of the year,the reason so many hold consultations in hawaii i think it's really important that they do as well and they choose the first month of the year,0.7008628425774751,57.1,P,the reason too many hold consultations in airports i think that's really important they do as well and i think it's used the first month of the year,0.643,51.4,P,the reason too many hold consultations in airports i think a really important thing they do as well and you choose the first month of the year,0.682,48.6,P,the reason too many hold consultations in airports i think that's really important thing they do as well and you know the first month of the year,0.684,48.6,P
0gWOYEjgQxQ_5__1a22a383_01_000300_000422,month of the year now i have made,month of the year now i have my role,0.8980593151516385,25.0,P,month of the year now i have my role,0.783,25.0,P,month of the year now i have my role,0.685,25.0,P,month of the year now i have my role,0.692,25.0,P
0h-TRyWggeI_11__85eb5edb_00_000000_000090,louder or quieter that doesn't get synchronized because every,out in the wilderness and i said you guys just leave me,0.41963532380759716,133.3,N,out in the wilderness and i said you guys just leave me,0.465,133.3,N,out in the wilderness and i said you guys just leave me,0.595,133.3,N,out in the wilderness and i like you guys just leave me,0.594,133.3,N
0kRnNot68TI_5__8d9329f9_00_000000_000087,another girl asked what happens when you're,another grade what happened was,0.8464434266090393,71.4,P,another grade what happened was,0.726,71.4,P,another grade what happened was,0.666,71.4,P,another grade what happened was,0.675,71.4,P
0kdyHxNTjpk_0__6c185e82_00_000000_000128,you can get electrocuted working on them that's one damn thing that's a big danger,much the year under water that's where shape gets a bit dangerous,0.4684038907289505,86.7,N,much the year under water that's where shape gets a bit dangerous,0.487,86.7,P,much the year under water that's where shape gets a bit dangerous,0.574,86.7,N,of the year under wetsuit that's where shape gets a bit dangerous,0.572,86.7,P
0tWV15GZsY0_2__0c2416ab_00_000000_000307,8gb of ram previous from 6gb of ram which we were saying looks like it will have 8gb of ram and also have ufs 2 1 storage,eight kickbacks to the rhyme previously from six kickerbacks a rhyme which we are saying looks like it will have eight kick backs to rhyme and also will have u f s 2 1 storage now,0.7532081455994759,77.8,P,eight kickbacks to the rhyme previously from six kickerbacks a rhyme which we are saying looks like it will have eight kick backs to rhyme and also will have ufos 2 1 storage now,0.677,70.4,P,eight kickbacks to the rhyme previously from six kickerbacks a rhyme which we are saying looks like it will have eight kick backs to rhyme and also will have s 2 1 storage now,0.717,70.4,P,eight kickbacks to the rhyme previously from six kickerbacks a rhyme which we are saying looks like it will have eight kick backs to rhyme and also will have s 2 1 storage now,0.721,70.4,P
0v2N6w4m46s_0__964e9355_00_000000_000359,on today's the doctor is in the topic is hypertension there is no ideal blood pressure reading but there is an accepted range of normal readings and today we're going to see where ours specifically mine falls and whether or not you need to make some life decisions,today as the doctor says the topic is hypertension there is no ideal blood pressure reading but there is an accepted range of normal readings and today we'll see where our specifically mine falls and whether or not you're going to make some life changes,0.8615331802103254,22.9,Y,today as the doctor is saying the topic is hypertension there is no ideal blood pressure reading but there is an accepted range of normal readings and today we'll see where our specifically mine falls and whether or not you're going to make some life changes,0.761,20.8,Y,today as the doctor saying the topic is hypertension there is no ideal blood pressure reading but there is an accepted range of normal readings and today we'll see where our specifically mine falls and whether or not you're going to make some life changes,0.735,22.9,Y,today as the doctor saying the topic is hypertension there is no ideal blood pressure reading but there is an accepted range of normal readings and today we'll see where our specifically mine falls and whether or not you're going to make some life changes,0.735,22.9,Y
0v2N6w4m46s_0__964e9355_01_000299_000395,and whether or not you need to make some lifestyle changes dr axel,and whether or not you're going to make some lifestyle changes not your hair,0.8737952475036893,38.5,P,and whether or not you're going to make some lifestyle changes not your hair,0.782,38.5,P,and whether or not you're going to make some lifestyle changes not your hair,0.685,38.5,P,and whether or not you're going to make some lifestyle changes your hair,0.703,30.8,P
0vaS51gXo6M_1__87d934d0_00_000000_000273,generally speaking is to achieve our result of restoring density with a single procedure occasionally there will be a patient who needs so many hair roots transplanted that will need to divide,simply speaking is to achieve our result of the student listening with a single procedure occasionally there will be a patient who needs so many corrections because they really need to divide,0.8093273966806009,28.1,P,simply speaking is to achieve our result of the student listening with a single procedure occasionally there will be a patient who needs so many error choices because they really need to divide,0.708,28.1,P,simply speaking is to achieve our result of the student listening with a single procedure occasionally there will be a patient who needs so many choices because they really need to divide,0.707,28.1,P,simply speaking is to achieve our result of the student listening with a single procedure occasionally there will be a patient who needs so many aids because they really need to divide,0.709,28.1,P
0yWsbNYM314_2__e848f5e0_00_000000_000259,looking to the front so we were in the shoulder stand again from this position a little distance between you and the pole,looking into the front so we were eating jokes and laughter from the audience the system which you name both,0.5619489345699549,65.2,P,looking into the front so we were eating jokes and laughter from the audience in the system which you name both,0.543,65.2,P,looking into the front so we were eating jokes and laughter from the audience the system which you name both,0.653,65.2,P,looking into the front so we were eating jokes and learned from the audience the system which you name both,0.653,65.2,P
0ziUE0XP1Nw_10__a4ef9395_00_000000_000226,this is the camera and this is it the adapter it's supposed to go on like this,it's like a hammer and that's the only way to fix the world,0.28879985800729346,82.4,N,it's like a hammer and that's the only way to fix the world,0.393,82.4,N,it's like a hammer and that's the only way to fix the world,0.526,82.4,N,like a hammer and that's the only way to fix the world,0.509,82.4,N
10xhJGx6-kc_0__425086d0_00_000000_000090,those arrays that we have not declared,those are realities that we have to deal with,0.736432272526953,71.4,P,those are realities that we have to deal with,0.662,71.4,P,those are realities that we have to the with,0.616,71.4,P,those are realities that we have to the with,0.622,71.4,P
14hw7NuQV1s_7__79db0455_00_000000_000121,this is the g0514x2b,the cheese into five one four eight two,0.6624829238280654,200.0,P,the cheese to five one four eight two,0.565,200.0,P,the cheese to five one four eight two,0.53,200.0,P,the cheese to five one four eight two,0.531,200.0,P
17Pk6nLuKI4_16__f4dbdf7c_00_000000_000360,and a leadership speaker and he's delivered more than 400 professional programs to corporate and private clients he is president of results based seminar,speaker and leadership speaker and it's given more than 400 professional programs in corporate and private clients and presidents of resorts and symposiums,0.7587334656197092,45.8,P,speaker and a leadership speaker and it's given more than 400 professional programs in corporate and private clients and presidents of resorts and symposiums,0.691,41.7,P,speaker and leadership speaker and it's given more than 400 professional programs in corporate and private clients and presidents of resorts and symposiums,0.693,45.8,P,speaker and leadership speaker and it's given more than 400 professional programs in corporate and private clients and presidents of resorts and we,0.693,45.8,P
17Pk6nLuKI4_16__f4dbdf7c_01_000300_000401,of results based seminars here in tampa,citizens of what's called space because the area is,0.38861727880107033,114.3,N,citizens of what's called space because the area is,0.439,114.3,N,citizens of what's called space because the area is,0.537,114.3,N,citizens of states called america because the area is,0.539,114.3,N
18taJ9P7nb8_4__b449d978_00_000000_000143,i'm gonna put it right here right here this stuff i love,going to put it right here right here this stuff i love,0.9145062863826752,16.7,Y,going to put it right here right here this stuff i love,0.795,16.7,Y,going to put it right here right here this stuff i love,0.617,16.7,Y,going to put it right here right here this stuff i love,0.623,16.7,Y
