utt_id,display_name,ref,hyp,hyp_tagged,wer_%,wwer_%,nea_recall_%,nea_precision_%,nea_f1_%,missed_entities,semantic_sim,phonetic_sim,phonetic_matches,phonetic_near_misses,length_ratio,intelligibility_score,intelligibility_tier,intelligibility_label,context_recoverable,context_reason,llm_context_prob,llm_context_reason,failure_mode,success_pattern,topic,ref_words
-OZgSDreob0_9__ce9166dc_00_000000_000148,-OZgSDreob0_9__ce9166dc,but that smiling is actually a universally correct expression of pleasure,but if you think about it it's actually two different things the,but:ok if:ins you:ins think:ins about:ins it:ins it's:ins actually:rep two:ins different:ins things:ins the:ins,100.0,82.4,16.7,20.0,18.2,"correct, expression, pleasure, smiling, universally",0.2160,0.2727,0,2,1.091,1.473,2,Poor,False,content_destroyed,0.150,unlikely_recoverable,High Error Rate,,Other,11
-POZpyVCN8k_9__c7b26ea8_00_000000_000085,-POZpyVCN8k_9__c7b26ea8,today i'm talking with admiral mcrae,today i'm talking with animal migratory,today:ok i'm:ok talking:ok with:ok animal:ins migratory:ins,33.3,53.3,50.0,100.0,66.7,mcrae,0.1568,0.8333,0,2,1.000,2.956,3,Fair,False,insufficient_signal,0.300,marginal,Phonetically Similar but Wrong Topic,,Other,6
-Q5v9TPr-I0_0__389f7bc8_00_000000_000101,-Q5v9TPr-I0_0__389f7bc8,always pads were the pads that,always pants were the pants that,always:ok pants:ins were:ok the:ok pants:ins that:ok,33.3,44.4,50.0,50.0,50.0,pads,0.5181,0.8333,0,2,1.000,3.429,4,Good,True,semantic_coherent,0.800,semantic_plus_phonetic,,Phonetically Preserved,Other,6
-Q5v9TPr-I0_18__f4d8e147_00_000000_000357,-Q5v9TPr-I0_18__f4d8e147,my period ended i'd say maybe a week ago so i'm coming to you with my opinion my experience with this line,period is not as they made me a week ago so i'm coming to you with my opinion my experience with this line,period:rep is:ins not:ins as:ins they:ins made:ins me:ins a:rep week:rep ago:rep so:rep i'm:rep coming:rep to:rep you:rep with:rep my:rep opinion:rep my:rep experience:rep with:rep this:rep line:rep,31.8,26.2,100.0,100.0,100.0,,0.7974,0.8409,0,3,1.045,4.334,5,Excellent,True,semantic_coherent,0.950,strong_structure_match,,Phonetically Preserved,Other,22
-TDEPVnDiM8_10__3bbf3c2d_00_000000_000359,-TDEPVnDiM8_10__3bbf3c2d - Part 1,yes if you inscribe coach shane i'm guessing what you did was you took something something metal like maybe a knife or something,in his defense he described ghosting i'm guessing what you did was you learned something something better like maybe a knife or something and you,in:ins his:ins defense:ins he:ins described:ins ghosting:ins i'm:ok guessing:ok what:ok you:ok did:ok was:ok you:ok learned:ins something:ok something:ok better:ins like:ok maybe:ok a:ok knife:ok or:ok something:ok and:ins you:rep,43.5,57.6,44.4,44.4,44.4,"coach, inscribe, metal, shane, took",0.3681,0.7174,0,3,1.087,2.839,3,Fair,False,insufficient_signal,0.750,good_overlap_coherent,Accumulated Small Errors,,Sports/Fitness,23
-TDEPVnDiM8_10__3bbf3c2d_01_000299_000441,-TDEPVnDiM8_10__3bbf3c2d - Part 2,like maybe a knife or something and on your forehead you wrote,maybe a knife or something and you cut your forehead and you're,maybe:rep a:rep knife:rep or:rep something:rep and:rep you:rep cut:ins your:ok forehead:ok and:rep you're:ins,41.7,31.2,75.0,75.0,75.0,wrote,0.7609,0.7917,0,3,1.000,3.979,4,Good,True,semantic_coherent,0.900,high_semantic_good_overlap,,Phonetically Preserved,Other,12
-U9zjwIiUsc_0__7bcd098c_00_000000_000359,-U9zjwIiUsc_0__7bcd098c - Part 1,these areas likely from mid to late afternoon through the evening hours and maybe even into the overnight hours these storms probably going to be spotty here and there supercell rotating thunderstorms with big hail,terrorists lately from the midday afternoon through the evening hours or maybe even into the overnight hours these rumors are probably going to be spot on here and there chimpanzees are rotating there so i'm sure they'll,terrorists:ins lately:ins from:rep the:rep midday:ins afternoon:rep through:rep the:rep evening:rep hours:rep or:ins maybe:rep even:rep into:rep the:rep overnight:rep hours:rep these:rep rumors:ins are:ins probably:rep going:rep to:rep be:rep spot:ins on:ins here:ok and:ok there:ok chimpanzees:ins are:ins rotating:rep there:rep so:ins i'm:ins sure:ins they'll:ins,51.4,38.0,62.5,83.3,71.4,"late, mid, to",0.4614,0.7000,1,5,1.057,3.276,4,Good,True,moderate_semantic_low_error,0.750,good_overlap_coherent,,Entities Preserved,Other,35
-U9zjwIiUsc_0__7bcd098c_01_000299_000360,-U9zjwIiUsc_0__7bcd098c - Part 2,rotating thunderstorms with big hail,ted turner's arms sold by hal,ted:ins turner's:ins arms:ins sold:ins by:ins hal:ins,120.0,100.0,0.0,0.0,0.0,"big, hail, rotating, thunderstorms",0.0477,0.1000,0,1,1.200,0.745,1,Failed,False,hallucination,0.050,hallucination,Hallucination,,Other,5
-VnLpiM14bo_11__5041e59b_00_000000_000194,-VnLpiM14bo_11__5041e59b,something that worries a bit of stress the stress is okay too but after this fight brings in separation,doesn't want to be distressed it's distress that you can't use what we have to is want based separation,doesn't:ins want:ins to:ins be:ins distressed:ins it's:ins distress:ins that:rep you:ins can't:ins use:ins what:ins we:ins have:ins to:ins is:rep want:ins based:ins separation:ok,94.7,85.7,12.5,14.3,13.3,"bit, brings, fight, okay, stress, too, worries",0.4929,0.3158,0,6,1.000,1.958,2,Poor,False,content_destroyed,0.300,marginal,High Error Rate,,Other,19
-WQZsfHcPDM_7__5210cac1_00_000000_000258,-WQZsfHcPDM_7__5210cac1,each bottle contains 1 billion cfus of probiotics and 2 tablespoons of apple cider vinegar only 80 calories per,each monitor has 1 million cfus of permafrost at two tablespoons per square foot only 80 gallons per,each:ok monitor:ins has:ins 1:ok million:ins cfus:ok of:ok permafrost:ins at:ins two:ins tablespoons:ok per:rep square:ins foot:ins only:rep 80:rep gallons:ins per:rep,57.9,58.5,50.0,50.0,50.0,"2, billion",0.3644,0.5526,0,5,0.947,2.663,3,Fair,False,insufficient_signal,0.400,partial_overlap,Content Word Errors,,Cooking/Food,19
-WqvFSuRYo0_12__41974034_00_000000_000122,-WqvFSuRYo0_12__41974034,of publishing a bad paper is not yet perceived as being such a big problem,cost of publishing a manuscript is not yet perceived as being such a big problem but,cost:ins of:rep publishing:rep a:rep manuscript:ins is:ok not:ok yet:ok perceived:ok as:ok being:ok such:ok a:ok big:ok problem:ok but:ins,26.7,36.4,71.4,71.4,71.4,"bad, paper",0.6298,0.8667,0,0,1.067,3.838,4,Good,True,semantic_coherent,0.950,strong_structure_match,,Phonetically Preserved,Other,15
-hxo-XRemCM_9__b16b9c69_00_000000_000271,-hxo-XRemCM_9__b16b9c69,no let's say i ask you to think about what you had for breakfast yesterday and if i were to say to you where do you sense it you'd probably sense it here to your left somewhere not everyone,now let's say i ask you to think about what you had for breakfast yesterday and if i were to say you ate a sandwich you probably said it you left it somewhere not everyone,now:ins let's:ok say:ok i:ok ask:ok you:ok to:ok think:ok about:ok what:ok you:ok had:ok for:ok breakfast:ok yesterday:ok and:ok if:ok i:ok were:ok to:ok say:ok you:rep ate:ins a:ins sandwich:ins you:ok probably:rep said:ins it:rep you:rep left:rep it:ok somewhere:rep not:rep everyone:rep,33.3,35.7,100.0,100.0,100.0,,0.6852,0.7564,1,3,0.897,3.980,4,Good,True,semantic_coherent,0.950,strong_structure_match,,Phonetically Preserved,Other,39
-ioPqewVHYw_8__02580a1f_00_000000_000119,-ioPqewVHYw_8__02580a1f,their oar was the same you know each was the same and he was in the middle and he didn't know whether to suicide left or right,ruled with an iron fist in a velvet glove my name is kim bowie and in the words of nikki giovanni,ruled:ins with:ins an:ins iron:ins fist:ins in:rep a:ins velvet:ins glove:ins my:ins name:ins is:ins kim:ins bowie:ins and:rep in:rep the:rep words:ins of:ins nikki:ins giovanni:ins,96.3,91.9,0.0,0.0,0.0,"know, left, middle, oar, right, same, suicide",0.1346,0.2778,0,9,0.778,1.078,2,Poor,False,content_destroyed,0.100,no_semantic_no_overlap,Total Topic Drift,,Other,27
-jVtbjStyYg_0__f6b586f9_00_000000_000109,-jVtbjStyYg_0__f6b586f9,a chance that it might not be fantastic samsung sort of has a reputation of just taking a million ideas throwing them at you,it might take us 10 years to sort out these patents you just take a million ideas and throw them into the,it:rep might:rep take:ins us:ins 10:ins years:ins to:ins sort:rep out:ins these:ins patents:ins you:rep just:rep take:ins a:rep million:rep ideas:rep and:ins throw:ins them:rep into:ins the:ins,75.0,61.0,33.3,33.3,33.3,"samsung, sort",0.4163,0.4792,0,7,0.917,2.389,3,Fair,False,insufficient_signal,0.400,partial_overlap,High Error Rate,,Technology,24
-kYY8puZHWQ_1__dc46ccee_00_000000_000075,-kYY8puZHWQ_1__dc46ccee,i can redirect the power from the zones that are turned off,and recreate the power of those that are turned off,and:ins recreate:ins the:rep power:rep of:ins those:ins that:rep are:rep turned:rep off:rep,50.0,50.0,50.0,66.7,57.1,"redirect, zones",0.5080,0.5833,0,2,0.833,2.988,3,Fair,True,semantic_coherent,0.800,semantic_plus_phonetic,Accumulated Small Errors,,Other,12
-n1y0QwPq1I_1__d2eebee8_00_000000_000322,-n1y0QwPq1I_1__d2eebee8,it's a picture of marilyn monroe if you have a suggestion for wallpaper leave it as a comment below and i may use it in next week's show so we're going to get started right with the news i'm sorry i don't have any comments to feature,picture of marilyn monroe if you have a suggestion for wallpaper leave it in the comments below and i'll make you 16 next week so we're going to start right with the news i'm sorry i don't have any comics to finish today,picture:rep of:rep marilyn:rep monroe:rep if:rep you:rep have:rep a:rep suggestion:rep for:rep wallpaper:rep leave:rep it:rep in:rep the:rep comments:rep below:rep and:rep i'll:ins make:ins you:rep 16:ins next:rep week:ins so:rep we're:rep going:rep to:rep start:ins right:rep with:rep the:rep news:rep i'm:rep sorry:rep i:rep don't:rep have:rep any:rep comics:ins to:rep finish:ins today:ins,36.2,38.1,80.0,66.7,72.7,'s,0.8151,0.7553,0,9,0.915,3.939,4,Good,True,semantic_coherent,0.900,high_semantic_good_overlap,,Phonetically Preserved,Cooking/Food,47
-oaJP6OkT3E_10__b1c86d52_00_000000_000099,-oaJP6OkT3E_10__b1c86d52,and in france my favorite drink was orangina,favorite song was oregon trail,favorite:rep song:ins was:rep oregon:ins trail:ins,87.5,78.6,0.0,0.0,0.0,france,0.2567,0.3750,0,2,0.625,1.382,2,Poor,False,content_destroyed,0.300,marginal,Entity Destruction,,Other,8
-r0CnHLAm2k_0__70eb4d5d_00_000000_000093,-r0CnHLAm2k_0__70eb4d5d,there forever and i want it to be a five star review,forever and i wanted to be around for you,forever:rep and:rep i:rep wanted:ins to:rep be:rep around:ins for:ins you:ins,58.3,68.4,0.0,100.0,0.0,five,0.2689,0.5000,0,2,0.750,1.883,2,Poor,False,insufficient_signal,0.300,marginal,Accumulated Small Errors,,Entertainment,12
-tf0uqDyoTw_17__b0aa8c5b_00_000000_000093,-tf0uqDyoTw_17__b0aa8c5b,uniq all makes four,30 or by its floor the,30:ins or:ins by:ins its:ins floor:ins the:ins,150.0,100.0,0.0,0.0,0.0,four,0.1550,0.1250,0,1,1.500,0.697,1,Failed,False,hallucination,0.050,hallucination,Hallucination,,Other,4
-uF--hO7H9E_3__002aea09_00_000000_000125,-uF--hO7H9E_3__002aea09,of the video the lego minifig uh we have,video a little bit of fun we have,video:rep a:ins little:ins bit:ins of:rep fun:ins we:rep have:rep,77.8,126.7,0.0,100.0,0.0,lego,0.4512,0.3889,0,1,0.889,1.788,2,Poor,False,content_destroyed,0.400,partial_overlap,Entity Destruction,,Other,9
-xA5xgAqj1I_1__ef5633d6_00_000000_000158,-xA5xgAqj1I_1__ef5633d6,wellness is 100 in our control simply by thinking positive,is 100 in our control simply by thinking positive,is:rep 100:rep in:rep our:rep control:rep simply:rep by:rep thinking:rep positive:rep,10.0,11.1,100.0,100.0,100.0,,0.8092,0.9000,0,0,0.900,4.632,5,Excellent,True,low_wer,1.000,near_perfect,,Near-Perfect Output,Other,10
-xA5xgAqj1I_4__e500e5bc_00_000000_000176,-xA5xgAqj1I_4__e500e5bc,a friend of mine was recently diagnosed with and died of stage 4 breast cancer and she described,friend of mine was recently diagnosed and died of stage four breast cancer and since she described,friend:rep of:rep mine:rep was:rep recently:rep diagnosed:rep and:rep died:rep of:rep stage:rep four:ins breast:rep cancer:rep and:rep since:ins she:rep described:rep,22.2,26.7,0.0,0.0,0.0,4,0.9750,0.8333,0,0,0.944,3.717,4,Good,True,semantic_coherent,0.950,strong_structure_match,,"Minor Errors, High Semantic Match",Medical/Health,18
-xcETtGjLZU_3__111246a8_00_000000_000245,-xcETtGjLZU_3__111246a8,okay so we've got a cool little drum fill what i'm gonna do is we're gonna stick it just on the snare drum to start off with i'll play it at 16th notes and i'll start doubling up what the hands are doing and turn those into 32nd notes so we,through all we'll drop through and what i'm going to do is when i get close to the stage i'll start off with a paced 60 beats per minute and then as i start to come up with that adrenaline it'll go to 130 so,through:ins all:ins we'll:ins drop:ins through:ins and:rep what:rep i'm:rep going:ins to:rep do:rep is:rep when:ins i:ins get:ins close:ins to:rep the:rep stage:ins i'll:rep start:rep off:rep with:rep a:rep paced:ins 60:ins beats:ins per:ins minute:ins and:rep then:ins as:ins i:ins start:rep to:rep come:ins up:rep with:rep that:ins adrenaline:ins it'll:ins go:ins to:rep 130:ins so:rep,82.4,104.9,15.0,17.6,16.2,"16th, 32nd, cool, doing, doubling, drum, fill, gon, got, hands, just, little, notes, play, snare, stick, turn",0.4218,0.4216,0,19,0.882,1.852,2,Poor,False,content_destroyed,0.400,partial_overlap,High Error Rate,,Entertainment,51
-zsS-SRsuxo_5__8f42a596_00_000000_000195,-zsS-SRsuxo_5__8f42a596,were saying and then certain examples in the support of that theory and if they have certain criticism,today and that certain examples in the support of that day if they have certain certainty,today:ins and:rep that:rep certain:rep examples:rep in:rep the:rep support:rep of:rep that:rep day:ins if:rep they:rep have:rep certain:rep certainty:ins,33.3,37.0,50.0,50.0,50.0,"criticism, saying, then, theory",0.4650,0.7500,0,3,0.889,3.261,4,Good,True,moderate_semantic_low_error,0.950,strong_structure_match,,Phonetically Preserved,Education/Academic,18
00MUdHQ7GGY_8__b1480c7a_00_000000_000194,00MUdHQ7GGY_8__b1480c7a,it doesn't have a carry strap but you can put it on your shoulder pretty easily or just carry it with your hand,this is david irving he's a holocaust denier and a computer hacker who broke into the nuremberg trials,this:ins is:ins david:ins irving:ins he's:ins a:rep holocaust:ins denier:ins and:ins a:rep computer:ins hacker:ins who:ins broke:ins into:ins the:ins nuremberg:ins trials:ins,100.0,97.1,0.0,0.0,0.0,"carry, easily, hand, have, just, pretty, put, shoulder, strap",0.0390,0.1957,1,5,0.783,0.813,1,Failed,False,content_destroyed,0.100,no_semantic_no_overlap,Total Topic Drift,,Other,23
024R53C7F8Y_6__12d15534_00_000000_000091,024R53C7F8Y_6__12d15534,in the creation of these children or in the making,in the creation of these children's orders and then in the making of,in:ok the:ok creation:ok of:ok these:ok children's:ins orders:ins and:ins then:ins in:rep the:rep making:rep of:rep,50.0,38.5,100.0,60.0,75.0,,0.8030,0.8500,0,1,1.300,3.742,4,Good,True,semantic_coherent,0.900,high_semantic_good_overlap,,Phonetically Preserved,Cooking/Food,10
03pA-kxDy7U_10__355ca5db_00_000000_000163,03pA-kxDy7U_10__355ca5db,he is now 7 years old my third one will also be a male he is 1 years old right now his name is michael,is now seven years old my third one will also be a boy a kid is one year old right now his name is,is:rep now:rep seven:ins years:rep old:rep my:rep third:rep one:rep will:rep also:rep be:rep a:rep boy:ins a:rep kid:ins is:ok one:rep year:ins old:ok right:ok now:ok his:ok name:ok is:ok,32.0,37.0,40.0,40.0,40.0,"1, 7, michael",0.8117,0.7800,0,3,0.960,3.781,4,Good,True,semantic_coherent,0.950,strong_structure_match,,Phonetically Preserved,Other,25
053zL8bRFHI_4__c85adac5_00_000000_000281,053zL8bRFHI_4__c85adac5,joking is that it oh my gosh i thought i had so many more books on here i do have a lot more books on here i just have ones i haven't even started reading yet so anyways that's all for here,so like saying oh my gosh i think i'm in love with someone personally i don't get to be in love like i used to have once again when i was a teenager and so anyone can say it all over again,so:rep like:ins saying:ins oh:rep my:rep gosh:rep i:rep think:ins i'm:ins in:ins love:ins with:ins someone:ins personally:ins i:rep don't:ins get:ins to:ins be:ins in:ins love:ins like:ins i:rep used:ins to:ins have:rep once:ins again:ins when:ins i:rep was:ins a:rep teenager:ins and:ins so:rep anyone:ins can:ins say:ins it:rep all:ok over:ins again:ins,88.1,87.9,12.5,14.3,13.3,"books, even, had, here, joking, just, lot, many, more, ones, reading, started, thought, yet",0.1204,0.2500,0,7,1.000,1.394,2,Poor,False,content_destroyed,0.300,marginal,Total Topic Drift,,Entertainment,42
06t1r1TSc2U_0__cfc2b8c0_00_000000_000131,06t1r1TSc2U_0__cfc2b8c0,usually after lunch i'll get kind of sleepy so i'll have some iced coffee,you just have to relax sit back and enjoy life have some coffee,you:ins just:ins have:rep to:ins relax:ins sit:ins back:ins and:ins enjoy:ins life:ins have:ok some:ok coffee:rep,78.6,80.0,22.2,25.0,23.5,"get, iced, kind, lunch, of, sleepy, usually",0.4870,0.3214,0,3,0.929,2.140,3,Fair,False,content_destroyed,0.300,marginal,High Error Rate,,Other,14
07d6oRMHbns_2__33e1cb7e_00_000000_000246,07d6oRMHbns_2__33e1cb7e,so there's different sizes of different boards and we wanna make sure that we have the standoffs in the right place because not every board's the same,i'm going to tell you,i'm:ins going:ins to:ins tell:ins you:ins,100.0,100.0,0.0,0.0,0.0,"'s, board, boards, different, have, make, place, right, same, sizes, so, standoffs, sure, wanna",0.0117,0.0185,0,1,0.185,0.170,1,Failed,False,length_mismatch,0.100,length_mismatch,Truncation,,Other,27
08Sxwj1ubxw_19__8aa8b978_00_000000_000311,08Sxwj1ubxw_19__8aa8b978,hello everybody welcome back to daily easy english expression ah boy today we have something very good fomo,everybody welcome back to tedx tehran today we have something very good vemo is,everybody:rep welcome:rep back:rep to:rep tedx:ins tehran:ins today:rep we:rep have:rep something:rep very:rep good:rep vemo:ins is:ins,50.0,51.4,33.3,50.0,40.0,"daily, english",0.2727,0.6111,1,0,0.778,2.482,3,Fair,False,insufficient_signal,0.300,marginal,Accumulated Small Errors,,Other,18
0FUlRjBcGGE_21__8fc418e2_00_000000_000104,0FUlRjBcGGE_21__8fc418e2,so um,so i kind of,so:ok i:ins kind:ins of:ins,150.0,33.3,100.0,33.3,50.0,,0.4225,0.7500,0,1,2.000,2.059,3,Fair,False,hallucination,0.650,moderate_semantic_preserved_content,Hallucination,,Other,2
0HTUgySq5ko_0__44a636c9_00_000000_000122,0HTUgySq5ko_0__44a636c9,now is you have your vpn software here and it's encrypted,was like you have three months of way here and it's getting colder,was:ins like:ins you:ok have:ok three:ins months:ins of:ins way:ins here:rep and:rep it's:rep getting:ins colder:ins,72.7,66.7,33.3,28.6,30.8,"encrypted, now, software, vpn",0.1783,0.5909,0,3,1.182,2.005,3,Fair,False,high_wer_low_semantic,0.300,marginal,Phonetically Similar but Wrong Topic,,Technology,11
0JWDV8kPq4k_9__b01d87a8_00_000000_000091,0JWDV8kPq4k_9__b01d87a8,let's see a half a cup of,i have to say thank you,i:ins have:ins to:ins say:ins thank:ins you:ins,100.0,100.0,0.0,0.0,0.0,"cup, let, see",0.1821,0.2143,0,3,0.857,1.071,2,Poor,False,content_destroyed,0.100,no_semantic_no_overlap,Total Topic Drift,,Cooking/Food,7
0JZ0u9eJzeQ_9__e522ce7a_00_000000_000183,0JZ0u9eJzeQ_9__e522ce7a,and the security was sort of hovering around the side and i watched a nurse just gently go up and put a hand on this gentleman's arm,and she knew it was covering around the side and i wanted to gently go up and put a hand off on the gentleman's team,and:ok she:ins knew:ins it:ins was:rep covering:ins around:rep the:rep side:rep and:rep i:rep wanted:ins to:ins gently:rep go:rep up:rep and:rep put:rep a:rep hand:rep off:ins on:rep the:rep gentleman's:rep team:ins,48.1,57.1,42.9,60.0,50.0,"arm, hovering, just, nurse, of, security, sort, watched",0.6464,0.6852,0,5,0.926,3.245,4,Good,True,semantic_coherent,0.900,high_semantic_good_overlap,,Good Semantic + Correct Length,Other,27
0LUot0DBc2I_2__885108f7_00_000000_000105,0LUot0DBc2I_2__885108f7,i thought it was pretty fun and a great experience,i tried to speak english and look at the world,i:ok tried:ins to:ins speak:ins english:ins and:rep look:ins at:ins the:ins world:ins,90.0,86.7,0.0,0.0,0.0,"experience, fun, great, pretty, thought",0.1258,0.4000,0,4,1.000,1.410,2,Poor,False,content_destroyed,0.150,unlikely_recoverable,Phonetically Similar but Wrong Topic,,Cooking/Food,10
0PQonSiGkVE_0__746999dd_00_000000_000095,0PQonSiGkVE_0__746999dd,has now carried you home,i dare you to hear the new home,i:ins dare:ins you:rep to:ins hear:ins the:ins new:ins home:rep,140.0,162.5,33.3,25.0,28.6,"carried, now",0.3395,0.6000,0,2,1.600,1.464,2,Poor,False,hallucination,0.400,partial_overlap,Hallucination,,Other,5
0Rz-NOmqqG8_7__80cb2567_00_000000_000083,0Rz-NOmqqG8_7__80cb2567,especially with trial students that may not want to interact with me,especially when children are concerned but i want to interact with,especially:ok when:ins children:ins are:ins concerned:ins but:ins i:ins want:ok to:ok interact:ok with:ok,58.3,52.9,60.0,60.0,60.0,"students, trial",0.4611,0.5417,0,3,0.917,2.888,3,Fair,True,marginal_recoverable,0.650,moderate_semantic_preserved_content,Content Word Errors,,Education/Academic,12
0aTG09Jg2fY_0__2dd1b585_00_000000_000158,0aTG09Jg2fY_0__2dd1b585,this video we're teaching you some vocabulary some common phrases,of this video i want to introduce you to tom vocabulary i also call him friend,of:ins this:rep video:rep i:ins want:ins to:ins introduce:ins you:rep to:ins tom:ins vocabulary:rep i:ins also:ins call:ins him:ins friend:ins,120.0,75.0,40.0,25.0,30.8,"common, phrases, teaching",0.5333,0.5500,0,3,1.600,1.915,2,Poor,False,hallucination,0.800,semantic_plus_phonetic,Hallucination,,Other,10
