HYP_VOTE_SCORE | BATCH 11/15 | 100 pairs | format: NNN|ref|hyp|conf | Y=meaning conveyed, P=partial (annotate: P:preserved/-lost), N=meaning lost | `conf` is the method's own sentence-level confidence in [0,1] (n/a if missing) — use as a soft cue, NOT as a verdict shortcut
---
001|seconds earlier and once i'm cutting out the parts i don't want|second year and one day i decided to take a walk|0.61
063|if it's my brother's|can say about it with one big breath|0.61
064|to her new home but it was too late|to grow but it was too late|0.66
065|and i'm just like this is me you know i'm real|i am just like this is me you know i am real|0.61
066|more fabulous queens from around the globe first the lebanese comedian|more fabulous tweets from around the globe first lebanese media|0.68
067|for the sweetest and most all encompassing celebration of this great holiday of purim|for the swedish and most norwegian campus in celebration of this great holiday of jul|0.67
068|i think one of the things that's really interesting about this is that it gives us a new window into the water story on mars the whole mars program has been following the water|so i think one of the things that's really interesting about this is that it gives us a new window into the waters or the maine so the whole marine program has been following the water and|0.70
069|selling these again this is attack of the puppet people village of the giants midnight movie double feature disc only from 2005 sold us for 12 24|the attack of the poppy people village of the giants my name is victor fernandez released in 2005 so this is 12 hours and 24 seconds|0.71
070|and like the guys that help us out you know with|like the guys i can help this guy|0.57
071|tk object which is the main object for tkinter i'm going to go ahead and extend that and so i need to create my initializer|cake object which is the main object for dissection i'm going to cut it in half into two equal halves|0.65
072|because i can't tell i look at my children they're growing|that i had done i looked at my soul and the souls of|0.64
073|by a combination of temporarily low adjustable rate mortgage payments by a|i've come to the conclusion that i'm going to run for president of the united states|0.60
074|well my friend this is actually a really easy answer money samsung went all out with the marketing of their galaxy line of phones so when the|my friend and this is actually a really easy answer money as amanda said went all out with the marketing of their talent like phones with the|0.69
075|first things first when you buy a new gpu you need to say to yourself what job do i want the gpu to do i'm going to go through a few|first things first when you're putting on a uniform you need to say to yourself what job do i do and what do i be to i'm going to go through a few|0.62
076|and i felt very strong like i started to believe in my own decisions like my own thoughts became so|i felt very strong and i started to believe in my own decisions and my own thoughts became so|0.68
077|but sometimes i send girls a hotline bling and they ignore it|sometimes i get calls like me and they acknowledge|0.68
078|the basic idea is to make a cage or a basket that protects a fragile or toxic or precious payload and only releases a few drops of oxygen|basic idea is to make a case that the persecution of fragile toxic was prejudiced by and only related to|0.65
079|which brings me to my next point this will not only be extended for iphone users but also for android users|me to my next point this will not only be seen for iphone users but also for android users|0.70
080|anymore even though i'm standing here and jumping|more in the world of technology than|0.59
081|backwards yay thank you i'm good thank you jackie okay good so i can't see it so i'm going to turn the light on hold on|power shake thank you i'm good lady shake ok good so i can't see it so we'll do the light on you|0.69
082|just for reference it took facebook|search engines for references and on facebook|0.62
083|naturalistic is the newest intelligence|national geographic is the explorer|0.51
084|one is as you're moving conceptual surface data over to engineering solutions and tools you want to make sure that you have good clean|has actually moved the conceptual rules over to engineering tools so what i want you to have good at is|0.64
085|we all live in our yellow submarine|we want to live in our own protected|0.62
086|very important|policies that keep us out of the|0.56
087|if you're expecting that moving from snapdragon 821 to the exynos 8890|if you were expecting that moving from snapchat 2016 to tiktok|0.71
088|these areas likely from mid to late afternoon through the evening hours and maybe even into the overnight hours these storms probably going to be spotty here and there supercell rotating thunderstorms with big hail|terrorists lately from the midday afternoon through the evening hours or maybe even into the overnight hours these rumors are probably going to be spot on here and there chimpanzees are rotating there so i'm sure they'll|0.72
089|things that are going on in the company right now are there big changes or big challenges|the things that are going on in the company right now in your pj's in your beach chairs|0.68
090|guitar the kick drum was very very punchy|are they get trouble with it's very very pushy|0.62
091|and all of those things that have existed for 20 years and in fact i've been out there either as an attendee|all of those cases have events over 20 years in fact some are out there 100 years etc|0.68
092|help them or to maybe|i'm so happy to be here with you all|0.50
093|but before we tell you more about the redmi 5 if you do love the fact that we bring to you guys the hottest leaks out there as soon as we can then toss a like and subscribe to our channel we will see you in the next video|if we can tell you more about dorothy mfi if you don't love the fact that we bring to you guys the honest needs out there as soon as we can then it costs|0.70
094|that determines the shape and form of the vessel we live in|this is all just the shape form of the vessel we live in|0.65
095|to this wave of artificial intelligence that is slowly taking place|to this wave of artificial intelligence that is slowly taking place|0.65
096|what's called the rst driver or the option rom that's part of the searle t and the pch so all the way around you've got pretty much all the connections that you could ask for|what's called the airline seat traveler's nightmare where you get stuck in the middle seat so all the rows of aisle seats are taken stuck|0.74
097|psychologist and they're a private psychologist then it may be that they're not going to be|psychologist there are private psychologists that are made|0.64
098|it looks very pretty i must say that|in history books maybe not yet but|0.54
099|it includes almost everything we saw in the dslr kit but adds a couple of items for run and gun style booming|lose almost everything we saw in the next stage of learning but as a couple of items for running and style boomerang|0.66
100|you might be familiar with some of our products so as you can see on the left hand side here|you might be familiar with some of our products that are eyes on the left hand side|0.70
