HYP_VOTE_CONF | BATCH 02/15 | 104 pairs | format: NNN|ref|hyp|conf | Y=meaning conveyed, P=partial (annotate: P:preserved/-lost), N=meaning lost | `conf` is the method's own sentence-level confidence in [0,1] (n/a if missing) — use as a soft cue, NOT as a verdict shortcut
---
001|i normally do keep this thing in my pocket just for such a situation|me to keep it in my mind just for such a situation|0.67
066|or selling never ending wars you can probably find them hyping potential pandemic outbreaks of the newest disease|see if they get any rewards you can probably find them by googling textual academic outbreaks of the word|0.67
067|what that meant is that we need a radically different approach we basically need to find a way how we can take existing routers existing switches existing links and enable them for research|their masses and we need a radically different approach we must find a way we can design existing roads to exist existing cities and enable them for reuse so|0.70
068|examples so that you can practice along with me|couples sitting and practice yoga with me|0.57
069|i bought a custom well not a custom this is off the shelf but it's much more expensive router bit meant to do this exact operation|putting on a costume well our costumes of the show but it's much more expansive are being meant to do this exact operation|0.69
070|but despite his status and his achievements okonkwo|despite his status and his achievements what will|0.66
071|and hopefully that doesn't happen but i wanted to talk about in this video the fact that it's not just diet ladies and gentlemen|never seen this example but i want to tell you about it in this video the fact that it doesn't exist is just as significant as|0.67
072|the house that we built is called a remote wall|house that would be in the hollywood of fame|0.58
073|and here's one of the key points it doesn't matter what the tradu|here's one of the key points it doesn't matter what the tradition|0.65
074|now the reason this isn't so obvious is because there's some things that just seem like they're correct|the reason this is so obvious is because there are some things that just seem like they're correct|0.70
075|i should have it at the patriot nurses website the patriot nurses supply stash the bragg's liquid aminos is organic soy sauce basically|and i should have another petition start our website that petition to ban plastic be because it's an organic toxin based|0.62
076|or sub q so if it's ordered any other way we know it has to be a mistake|skip you so if we're doing it any other way we don't ask the way we say it|0.70
077|absolutely 100 yes i am happy if you've been watching my videos for a while you've seen some transformations maybe get my editor here|100 but then yes i am happy and you know guys if you have been watching my videos for while you've seen some transformations maybe you only get my head under|0.73
078|it will catalog what i'm doing here for delayed pressure urticaria today's appointment|will catalog what i'm doing for delaying breast cancer here's today's appointment|0.68
079|calcium is made up of galactomyloids a substance similar to the carbohydrate starch or to cellulose|is made up of collected overstock substances that are similar to the carbohydrates starch cellulose the chemical|0.71
080|the front foot the heel is supposed to line up with the inner arch of the foot|turning your head from the front line and bring your arms over the freedom|0.60
081|a little bit of a shift or a nudge in the interpretation or communication that climate scientists have engaged in vis a vis|there will be a shift to greenhouse gases such as methane nitrous oxide and co2 if are happens|0.73
082|just asking if anybody is taking your class and would like to share a book|asking if anybody is taking our class we'd like to share input or|0.65
083|and now we're on to beat two so this is half of a half of a|when i was a little girl my grandmother take me to|0.58
084|this video we're teaching you some vocabulary some common phrases|of this video i want to introduce you to tom vocabulary i also call him friends|0.66
085|you can use the isoflo memory control to correct or accommodate a pelvic deformity|use the flow memory control to correct or accommodate above its default|0.72
086|8gb of ram previous from 6gb of ram which we were saying looks like it will have 8gb of ram and also have ufs 2 1 storage|eight kickbacks to the rhyme previously from six kickerbacks a rhyme which we are saying looks like it will have eight kick backs to rhyme and also will have s 2 1 storage now|0.72
087|delighted to have him starting his faculty position in april and then i'm delighted to announce|delighted to have them joining the faculty at and then i'm delighted today to|0.68
088|i wonder what his face looks like|and wonder what feels like to|0.52
089|least watched videos on my channel q a videos oh yeah|least watch videos in my channel youtube videos oh yeah|0.65
090|and her everything we were in a teepee out in the|on everything we realize how important it is to|0.59
091|i think my fondest memory is actually how i started in the music department five years ago mr borna asked me to go to the st patrick's day parade and i told him no and while i was on the bus|and think my fondest memory is actually how i started in the music department five years ago mr martinez asked me to go to the samurai temple and i told him no and while i was on the bus|0.72
092|i can't wait to read a whole book about them only to discover that|books i can't wait to read the whole book about them only to discover that|0.69
093|i will let you guys know i am a very lazy natural which i'm trying|will thank you guys know i am a very lazy astronaut with i'm trying|0.65
094|he looked at me like i was a village idiot|same injury last year and so|0.53
095|one of the complications of this disruption of breathing is that you get lower oxygen levels in your healthy tissues this is known as hypoxia|complications of this disruption one is that you get lower arterial levels in your healthy tissues this is always high pressure and|0.71
096|certain men to fight against the whole|so when to be out|0.51
097|when was the last time you used a vga cable|when was the last time you used a vga cable|0.67
098|you can find me at one of my shows in some dark corner you're in the green room or something doing you know stretching my arms out|me at one of my shows in some dark corner you know in the green room or something you know i need to my arms|0.69
099|of a boy who is going to bat|the boy who was going to beat|0.68
100|premise which i will then draw out to be untrue the thing that i'm going to pick out which is wrong is well let's just say it's not|which i will get to actually in a few two the thing that i want to be out with all of you is|0.72
101|we need those rural farmers and we need to make those urban rural connections you know|we did coastal rainforest so we did mangrove restoration in 1960s|0.69
102|but if you're here for the parent teacher conferences why don't you come up to our art hallway and check out the art show|if you're giving presents to your officemates where else are you going to come up to a co worker and say|0.74
103|the lord as to why and the lord shows him that saul|orchestra and the orchestra shows them this song|0.59
104|they do however on again they do however hold the festival|they don't know how awful it is to tell you how awful schools are|0.64
