HYP_VOTE_CONF | BATCH 14/15 | 102 pairs | format: NNN|ref|hyp|conf | Y=meaning conveyed, P=partial (annotate: P:preserved/-lost), N=meaning lost | `conf` is the method's own sentence-level confidence in [0,1] (n/a if missing) — use as a soft cue, NOT as a verdict shortcut
---
001|25 times smaller moreover jacob had to contend with the influence of the most|five times more murders vehicle capita than with the influence of the most|0.63
024|good to help people mission accomplished|to help people but she got impatient|0.69
025|system creates antibodies to fight back crash course explains here|see some gray hair about it and fight back you'll gradually see my hair|0.61
026|it's more interesting if you get more people involved and um|more to see more people involved and|0.63
027|they made a deal to buy so you know how much power it takes and then you can look at the ratios of those numbers and figure out for a data center where you don't have that information you can figure out but maybe you only have one of those|a deal to post how much power it takes and then you can look at the ratios of those numbers and figure out for a tesla where you don't have that information you can figure out but maybe you only have one of those|0.73
028|for example wellness programs are very popular among employers|example these programs are very popular among employers|0.67
029|it could crash to the floor other loud sounds boom go fireworks|crash into the floor other clouds sounds boom go fireworks|0.69
030|the less you move the knee the less|the less you move the less|0.59
031|and in the last i don't know if you pay attention to the last thing the code is actually from benjamin|i on the runway from bangalore to leg the cockpit of the aircraft filled|0.61
032|can be more valuable than two years of unfocused work|work can be more valuable than two years of unfulfilling work|0.66
033|is that they try to use the carrier systems to take consumer data|that's trying to use systems that are designed to be|0.65
034|and see lo a|as year look ha|0.52
035|donald trump is not going to be president of the united states i would respect for the fact that the people have not voted he's not going to be president of the united states|donald trump is not going to be president of the united states awful respectful of the fact that people have gone forward and he's not president|0.71
036|sheet stock then you need to try and make sure that you get a 32 teeth per inch blade|sheet song and you get to try to make sure that you're getting through it too quickly|0.67
037|all of us to have abundance in our life to have prosperity in our life very very important|all of us have a past and i have have very very important|0.69
038|the nsa spies on its own citizens does data mining|specialty shows that just just add up|0.58
039|and while it's good to have practice in school another great thing about adulthood is that it's not high school and you don't have to be interested in only the things you were interested in when you were young|while it does at practice in school another great thing about taekwondo is that it's not high school and you don't have to be interested in only the things you're interested in what you are not|0.69
040|piece of software for anybody who's just getting started is a student a small business person on a budget or is a new youtuber that this software is perfect for you it has all the features|piece of software for anybody who's just getting started is a student a small business person on a budget or a digital youtuber that this software is perfect for you it has all the features|0.70
041|if it's from the microphone i think it's from the camera itself where there's a bumping noise|from the monkey forest i think it's from the camera itself where there's like a bumping noise that|0.70
042|my yi fu action|my actions|0.62
043|ideas i have two words for you predator drones|if she was for it or against it|0.64
044|probably seized kate and said because of the message that|because of the message that|0.72
045|you've got to be aware of this math and it can get you in trouble in a hurry especially if you start averaging down and averaging down|this path any trouble occurred especially if you start averaging down he had averaged down and|0.69
046|i think that's maybe why i liked it so much it was just very it very much held onto the story|think it's funny i like to tell people that we're just very very very|0.67
047|depending on the language the beginning ones known as|to any other language the beginning was told|0.64
048|english especially but not i mean there are lots of different languages|i mean there are lots of different languages|0.76
049|you feeling how are you feeling|you feeling how are you feeling|0.68
050|understand and unfortunately people don't have or they're not taught financial trading at any point in their school careers or|in the state and unfortunately people don't have a pool within their schools financial training at any point in their two degrees or|0.70
051|the old and new testament together the 66 books are like a symphony with melody and with harmonies that just match up wonderfully there are also|the only two chromosomes that i use is the y chromosome and the mitochondrial dna because this magic wonder thing there are also|0.66
052|a group channel track was a bit different than|texas a a biggest disaster in their|0.49
053|so lately derek has been bugging me about going|school continue to be bringing me about|0.63
054|until the 1970s because of the bank of canada canada's national debt was held at a constant manageable rate|until the 1970s because of the might of kenia kenya's national debt was held at a constant manageable level|0.68
055|so i just want to spend a minute talking about the relationship between haydn and ludwig because it was it had its it had its|so i just wanted to spend a bit of time on the relationship between light and darkness|0.72
056|the amplitude is different depending on whether your eyes are open or closed|to considerably better when you your open your surgery|0.60
057|want to point out is it doesn't matter if it's somebody just off the street if he's doing their makeup or if it's selena gomez cindy crockett it doesn't matter|want to point out is that it doesn't matter if somebody shovels the street if it's going to made it or if it isn't to go back to the ground|0.56
058|mixolydium mode is related to the dominant 7 chord and like i said|maintaining a distance relationship is difficult and i to|0.58
059|they treated her like she was that ain't shit|years old and i said what what did you say at that|0.62
060|that doesn't that's lost or doesn't understand it or is trying to figure something out|that gets lost or disoriented or trying to figure something out|0.67
061|i'm competitive really with myself|competitive really with myself and|0.60
062|i was under a great deal of pain and stress in my right foot on the bottom of my foot and i had no idea what the|i was under great deal of pain and distress and my right foot and the bottom of my foot and i had no idea what|0.67
063|of calls on when are you going to notify my creditors that i filed that's not really the function of the role|focus on where you going to go and fight by the way you're going to fight that's not really the function of the role|0.67
064|i'm just curious because nathan we talked before about another very specific topic to va claims and that was the compensation and pension exams does this in any way relate to that|i'm just curious to say that we talked before about another specific topic of gay clubs and that was the competition in pension exams does this in any way relate to that or|0.69
065|creative unruly energized campaign|creative unruly energized campy new are|0.57
066|there's something i haven't bought in too much recently but refried pinto beans|something i don't laugh about too much recently but define places openings|0.67
067|first and foremost is i don't know if i hate to do this or not anymore but i'm definitely still gonna be going ahead and talk some more about the karma as i predicted when it first came out i was like i don't trust it because it's the first generation|most is i don't know if i hate you or you hate me more but i'm definitely still in the middle and talk to more about the harm but as i persisted when it first came out i was like i don t trust anyone because this is the first generation to|0.71
068|and she loves the acting on it to me csi miami is excretable|my auntie and she loves the idea of it me because she's a yam mean is is edible|0.67
069|i want to hear you play billy's bounce and or little|how to play billie's blues or or to|0.53
070|we're doing a lot with cash as a test for the year and so far it's failing but i want to talk about how you can get to be in the ballpark of about 20 minutes per month|all your doubles cash has to last for the year and so far it's failed but what type of cash can you get to be in the mall of about 20 minutes per month|0.70
071|and put all my body weight on it and my heel snaps off my boot completely and i go|and put all my body weight on it and my knees snap off my boot completely and i go|0.67
072|because i can't tell i look at my children they're growing|that i had done i looked at my soul and the is of|0.64
073|or more of their diet is that they've gotten this really good control over what they eat every day and they've managed to keep weight off for years|more their diet is that they've gotten this really good control over what they eat every day and yet they managed to keep weight off for decades|0.73
074|i'm sorry i've forgotten your name|i'm sorry i've forgotten your name|0.58
075|so there's this magic castle right you guys have no problem with that magic castle no problem|so magic has to do with something that doesn't exist and about illusion it|0.56
076|technology in there to really feel all surround sound it's a very nice headset it fits on your head well it is adjustable|technology there to really feel our surround sounds it's very nice it has side effects on your rate it is adjustable|0.69
077|us and couples us to light cycles in our environment tells us when to sleep tells us when to make cortisol tells us when to make testosterone basically switches on|job prescription takes into account our environment tells us what to eat tells us where to make turns tells us when to make stops basically switches on|0.73
078|what happened to them disaster here's an instance of it|you is disaster it goes like this|0.52
079|thus was born the idea of positive ticketing each year police in richmond issue a|that's what's born the idea of positive thinking each year buddies enrichment a|0.66
080|they have something like this for the viola|some english for you and|0.63
081|hooping is a little bit more complicated because for most of its history the most common use for hoops was bowling|it's a little bit more complicated because for most of history the most common form of birth control was bowling|0.66
082|i'm right now plans every single one of them has said and you know what now that i'm here i've realized what the hell was i waiting for and there's a massive misconception with|we're running up against every single one of them at the same time so you walk out there and meet them and realize what they're looking for and there was some massive misconception with|0.72
083|interchangeable lens it's difficult to get different looks from this camera|judicial judgement is difficult to difficult from this the start|0.54
084|to the funeral though i would dress in b minor which would be turquoise|few even though i was dressed in pink which means turning right|0.64
085|assalamu alaikum wa alaikum assalam says somebody from sorbonne in paris|i understand why i do what i do it's because somebody from s o o in paris|0.62
086|is perfect for you it has all the features you need and it has|perfect for you it has all the features you need and|0.72
087|canada was founded with four provinces in 1867 canada now has ten provinces|canada we found out we were the fourth province to legalize it and now all the time provinces|0.70
088|watching the way words develop and change does suggest that wittgenstein was on to something|the way words develop and change suggest that philistine was on to something|0.61
089|work on stretching everything out with yoga there's gonna be some great yoga coming up in the fall i also have a video i can link that has some great hip flex|we're concentrating on the cloud with yoga there's so much yoga coming up on the fall i also have a video i can link that has more information|0.71
090|i love my experience i thought it was really fun and it's a nice job|funny words i thought it was really fun and it's charming|0.66
091|when i was first diagnosed i wanted to learn as much as i possibly could about my condition so i joined a lot of support groups|i was first diagnosed i wanted to learn as much as i could about my condition so i joined a lot of support groups|0.67
092|to buy it from the bank as an individual because they do turn it over to their|when i was years old i was|0.63
093|going to be talking a lot about abrasion and then also a lot about frost wedging and so here we see a cliff|when i was a little girl i always wanted to be a princess i with my dolls and a they were real princesses|0.65
094|or that person that's on your top 20 list or the 100 people on your list and send something like this|that person takes your time ruining this or the hundred people can do this and it says something like this called|0.71
095|always sort of alluring to me heath he was always somebody who i admired in a way he was way beyond his|always sort of glorious to me he was always somebody who i admired in a way he was way beyond his|0.71
096|what do i keep telling you roman empire unfunded liabilities|a new frontier where one day beings will wake up on a funny land called planet earth|0.58
097|my period ended i'd say maybe a week ago so i'm coming to you with my opinion my experience with this line|period is not as they made me a week ago so i'm coming to you with my opinion my experience with this line|0.71
098|bring to you these quick little five minute training videos to help all of you as you grow your business|because you know 5 minutes is a lot of years when you're our own old|0.63
099|let's go look at this population we know that they are being underserved by local|is to look at this population and we know that they are being underserved by local|0.68
100|inside and that's the surface of the eye it's a very interesting chemical interface|that's the service of the defendant to keep it all and|0.68
101|while now through various means including telling whether|three very important things|0.54
102|something if you're down soft you definitely want to check out|instead of focusing on the should focus on the|0.63
