BASELINE | BATCH 09/15 | 100 pairs | format: NNN|ref|hyp|conf | Y=meaning conveyed, P=partial (annotate: P:preserved/-lost), N=meaning lost | `conf` is the method's own sentence-level confidence in [0,1] (n/a if missing) — use as a soft cue, NOT as a verdict shortcut
---
001|500 companies so he's been doing this for years|hundred companies so he's been doing this for years and|0.87
029|taking themselves to the point of muscle failure but these are also the same people that have been known to herniate their anuses|taking themselves to the point of mental failure but these are also the same people that have been known to eradicate their ants|0.93
030|let's get started crime and punishment written by fyodorovsh|harsh corporal punishment written by fuels|0.65
031|really pulling all that content in from the most recently used document list or mru|book here titled from the most recently issued document because they're amnesty they've been working|0.60
032|i understand why you would go down south|i don't know why we go down the stairs|0.52
033|so inflammatory or irritable bowel syndrome those are other candidates what we find a lot is that copper|pharmaceuticals on the organ donor and transplantation system those are other categories where we find content that they operate|0.58
034|something that ken talks about specifically something i wanted to bring up when we were talking about vipassana and something that i wanted to you know|that he talked about that he talks about specifically something that i wanted to bring up i want to talk about from his talk it's something|0.76
035|yeah well with amlid we have individual pixels being lit versus one big black light which|i'm like i don't even know if it's appropriate for me to be wearing this i think i|0.39
036|and most do not cause symptoms at all|most do not know the symptoms at all|0.86
037|you can find me at one of my shows in some dark corner you're in the green room or something doing you know stretching my arms out|me at one of my shows in some dark corner you know in the green room or something you know i need to stretch my arms out|0.68
038|like your breath will be so bad it'll clear chat room|your breath would be so bad in a chat room|0.82
039|i'm just curious because nathan we talked before about another very specific topic to va claims and that was the compensation and pension exams does this in any way relate to that|i'm just curious to say that we talked before about another very specific topic of gay clubs and that was the competition in pension exams does this in any way relate to that or|0.85
040|anything about the new administration but i'm pretty sure they're working behind|anything about the new administration but i'm pretty sure you won't mind|0.81
041|and his most recent film loveless|in his most recent film lovely about|0.64
042|and how we can kind of turbocharge this whole thing|and how he got into the urban church so|0.65
043|if you're not even anxious about your own death and demise and it gets into some philosophical and religious concepts it becomes very difficult to talk about because some people say well i'm going to heaven i don't care what happens now|very anxious about her own death and i think this is a philosophical religious concept that became very difficult to talk about because some people didn't want me going down that road what happened to that|0.72
044|for that you will use preter because that's what happened what people did|for that you will lose what has happened or people that will|0.69
045|more insulin equals more fat storage|italian equals more fat storage|0.72
046|non event and so it's important for the operators to know that|of it and so it's important that you not because you know you|0.74
047|the front foot the heel is supposed to line up with the inner arch of the foot|turn your head from the front line and bring your arms over the freedom|0.64
048|because i was gonna be i was gonna be the next joe morgan|because i was going to be a lawyer someday|0.59
049|use all those controls for any one system you use them|i was just looking for relief where can i get some relief from this pain|0.46
050|you say well i can do all these yes you can but what will it do|can do all this yes she can but what will it do|0.88
051|now we're talking about the packaging itself is really starting to change in this digital environment and when we need to go to the store|kind of back into itself so it's not just changing the individual but we really need to look at the whole|0.46
052|between 30 and 66 on mine and there's|the movement authority and a citizen's arrest permit already and there's still|0.59
053|so it's taken me a couple of attempts i've managed to get it on however|which has taken me a couple of attempts i've managed to get all the way up to level|0.68
054|you can learn the skills and the abilities|you can learn the skills and the abilities to|0.88
055|and then we usually keep an eye on things and observe|that we used to keep it out of sight and out of|0.65
056|but because of the nazi party it was very suppressed|killers want to hunt but because of the gatsby party it was very surprising|0.70
057|goes on to say frank sachs lead author on the report said he has no idea why people think coconut oil is healthy it's almost 100 fat he says|goes on to say france as the lead author on the report said he has no idea why people think going north is south it's almost 100 percent fat kills us|0.78
058|on your phone whatever you just you hold it up if you can use voice technology you know like voice dictation you should be utilizing that as much as possible i do all the time|on your phone whatever you're holding it up if you can use voice technology like voice recognition you should be utilizing that as much as possible i do all the time yeah i get|0.88
059|for best for highest probability of success in the future okay how well do you know yourself how well do you know the programs okay in|for peace for i have probably left such things in the future i want to know this stuff i wanna start programs in|0.60
060|tetra on the other hand is designed for higher volumes of radio traffic but over much smaller coverage areas|central atlantic as a sign of our environment right now you have any money for much smaller areas|0.67
061|but that asylum was denied in 2010|that science and religion can coexist|0.36
062|welcome to lesson number two what are we going to be doing in this lesson we are going to be reading the introductory section paragraph one and two we're going to look at the purpose of anecdotes|welcome to lesson number two what are we going to be doing in this lesson we are going to read in the introduction section of what you do we're going to look at the purpose of adding tones|0.82
063|month to run the aircon if i was to be living there and working in the condo full time so on average you're probably looking at about 120 per month in the philippines|month to run the yacht if i was to live there and work in the country full time so on average you're probably looking at about 120 us dollars per month in the philippines|0.80
064|the key is to acknowledge that you're stressed and to find out how stress affects you|is to acknowledge that you're stressed and to find out how stress affects you so|0.92
065|because i have tried to use it that is more on that in another video soon|because i have tried to use and that is more than any other video so|0.74
066|i normally do keep this thing in my pocket just for such a situation|me to keep it in my mind just for such a situation|0.88
067|that is something special and unique to summertech|that is something special and unique to summer|0.94
068|i did not have to major in acting there were some|did not have to measure a hacking that was|0.80
069|community so there's a lot of people that need|when i was in high school i was|0.38
070|nice pyramids|that is ostracized and|0.49
071|what does this chord sound like to you|what does this court sound like to you|0.92
072|he goes how can you point out the speck of dust in your brother's eye when you have a plank in your own eye|how can you point out the speck of dust in your brother's eye when you have a plank in your own eye|0.96
073|available so you can edit your documents in the mobile web browser that includes android 2 2 froyo or later|vimeo or youtube and talk about these things people want money for that too so there's a whole bunch of photo or video|0.59
074|how much strain there is in this direction and how much strain there is that way on|so i'm sure you're sitting there wondering|0.41
075|is the first time i ever heard an ad for bariatric surgery i mean they even had a|first time i ever learned i had to memorize the periodic table i mean they even had a|0.70
076|especially with trial students that may not want to interact with me|especially when children are concerned but i want to interact with|0.69
077|it's a picture of marilyn monroe if you have a suggestion for wallpaper leave it as a comment below and i may use it in next week's show so we're going to get started right with the news i'm sorry i don't have any comments to feature|picture of marilyn monroe if you have a suggestion for wallpaper leave it in the comments below and i'll make you 16 next week so we're going to start right with the news i'm sorry i don't have any comics to finish today|0.75
078|pouches they come with too so these are my speed lights these are the yn562s that i use here|pounds and i'm with you so these are my speaking cases on the why in 562 little kids|0.49
079|like you know it would be stable you know with the camera down with my black rapid strap my flash down and gravity kind of pulling things forward that this would stay on the flash but actually this right here this um|like we're going to be stable with the camera down with my black garment strap my flash down and gravity kind of pulling things forward this was taken all on the flash so naturally this right here this out|0.68
080|which is why we always trade steady state markets|which is why we always trade in the same markets|0.92
081|youtube is your girl baby d coming with you with a video review update on gerrit hall|so make sure you're able to see the number with the green video logo on it or that stuff is|0.62
082|g'day i'm all3nz welcome back to my youtube channel|and i'd probably say why spend some money on a tube now|0.49
083|the problem is that faith has multiple definitions and we've all seen thea swap between them when it's convenient|the problem is that fitness has multiple definitions and we've all done this swapped between them when it's convenient|0.80
084|i want you to remember all these i want you to memorize them|i want you to remember all the things that i wanted you to memorize in my|0.79
085|this is probably the biggest difference between the two countries the closest thing that i can compare it to would probably be|is probably the biggest difference between those two countries to be honest is that lighting up a cigarette would probably be like|0.75
086|this thing lies as far as collectability here we have a 1985 teddy ruxpin in the box this one|this still lies as far as accountability we have an 1855 state constitution in the|0.56
087|but whereas bessel had been looking at astrometric deviations of order of a few arc seconds jacob was looking at something much much smaller just 80 milli arc seconds that's 25 times smaller moreover|where it's best to look at astronomical detections of gamma rays and x rays because something much much smaller just 80 millionths of a second that's 25 times smaller than even a chicken|0.68
088|so let me give you a stunning example of how nasa lies and why it is important why it's more than an academic exercise this is the current mission patch for sts 120 discovery|so let me give you a second example of how this ties in and why it's important why is it more than an academic exercise this is our vision path for a city which we can never|0.70
089|when life itself doesn't have essential worth our opinions about reason and logic and all these other concepts don't have any more value than we give them|a lot of these things haven't existed in our world until our opinion is about reasoning and logic and all these other concepts you don't have any more faith than you want to give up|0.70
090|their moon phase parts of their books pretty fast i just haven't really had the|they move fast parts of the number are pretty fast they just haven't really had the key|0.75
091|that you should know is really diazepam for your medication but flurazepam is used|you should know is will it take a pill up for your medication but few has become a serious|0.61
092|of the pelvis as well as trunk flexion and rotation|is of the middle east as well as drug inflection and rotation|0.81
093|so how you say things are more important than what you're actually saying as most of us have heard growing up communication is 90 body language and that is more important|how you say things are more important than what you're actually saying as most of us have heard growing up communication is 90 percent body language and that's more|0.96
094|james and will talk about street photography and other|i'm here to talk about street photography and all the|0.60
095|certain men to fight against the whole|so when i found out|0.32
096|get our hands dirty we had to be separate and when you separate from the culture when the godly people get out|our hands we had to be separate and when you separate from the culture when the godly people get out|0.76
097|as this new home video market matured in the 1980s a number of film companies decided they could bypass the theatrical distribution system altogether and market their|in the 1980s when film companies decided they could bypass the theatrical distribution system altogether among other|0.75
098|to the same name so first off is the quick flip case this goes on your iphone 5 or 5s or your ipod 2|into this camera so for yourself it's kind of like flipping a hatch and you go start your ignition five four three two one go ahead|0.53
099|what the how much is my doctor making bastard|there raising my hand master right|0.45
100|out how he's going to get to school is he going to ride a car is he going to ride a bike what is he going to do|out how did he get to school did he take a red car did he ride a bike what did he|0.72
