HYP_VOTE_SCORE | BATCH 01/15 | 103 pairs | format: NNN|ref|hyp|conf | Y=meaning conveyed, P=partial (annotate: P:preserved/-lost), N=meaning lost | `conf` is the method's own sentence-level confidence in [0,1] (n/a if missing) — use as a soft cue, NOT as a verdict shortcut
---
001|we will give up some of our individual choice for the sake of the community decision|will give up some of our individual sovereignty for the sake of the community and|0.68
086|i should have it at the patriot nurses website the patriot nurses supply stash the bragg's liquid aminos is organic soy sauce basically|and i should have another petition on our website that petition to ban plastic wrap because it's an organic toxin and|0.62
087|i just learned something recently because i'm a lover of|i just learned something recently because i'm not a lover of|0.62
088|a noise with without even having to move your other hand so if you watch when i'm playing|you know because we didn't even have a movie theater in town so we rented|0.71
089|trail make it a little bit wider|writer i am a writer|0.62
090|the concepts will be explained from two perspectives using real life experiences reflecting my living in mexico as well as visits to other spanish and french speaking countries|to explain from two perspectives using great life experiences reflecting my living in mexico as well as visits to other spanish and french speaking countries|0.73
091|website about 50 common spelling errors make sure go through|about 15 armed guards by the airlines to make sure that no one|0.65
092|that supported the idea that the|that support the idea that the earth|0.67
093|you've got the rain outside i don't|when i was 18 years old i|0.63
094|that we were we were reactive|i going know tell to a story|0.48
095|let's talk about the two most accurate tests|about to do most accurate test|0.60
096|what you mean this the lapel mic i don't understand what's distracting about it|what do you mean this is the libelous i don't understand what she's ranting about it|0.65
097|like people just come up to me and be like literally it feels so good if you guys wanna like|people just come up to me and be like hey little girl if you guys want to like come|0.69
098|i don't want to say mistakes but i will say like experiments and|i don't want to seem disrespectful|0.68
099|week isn't going to be ready for a while but don't worry it's going to be a good one|it hasn't been right for a while but somewhere else is going to be so|0.62
100|and building out the future of the site and laying out the future of the site you really need to know what your structure is going to look like|building out you know the future of a site like out the future site you really need to know what your structure is going to|0.71
101|six and breathe out to a count of six or seven or eight|seeds and breathe out 300 seeds every day|0.60
102|mean balance the front end should be a little higher or as high as the rear end|balancing the free issue but as high as we are not|0.59
103|true blood series can be|through blood series limb|0.52
