HYP_VOTE_CONF | BATCH 12/15 | 102 pairs | format: NNN|ref|hyp | Y=meaning conveyed, P=partial (annotate: P:preserved/-lost), N=meaning lost
---
001|is a very very common side effect so do not worry if muscle tension is a part of your|very common state of effect so don't worry if muscle tension is a part of your
051|month to run the aircon if i was to be living there and working in the condo full time so on average you're probably looking at about 120 per month in the philippines|month to run the yacht if i was to live there and working in the country full time so on average you're probably looking at about 120 us dollars per month in the philippines
052|that all the world leaders are expecting something to happen|they all for expecting something to happen
053|see a little mix in on the backside you can see on the backside of our system we're going to see a little wintery weather so tuesday is an all day downpour cold rain actually maybe enough to even cause flood|a little mixed on the back side it's like the bad side versus the good side one zero one two zero three zero four zero five zero six zero seven zero eight zero nine zero ten zero eleven zero twelve
054|the 25 most important people to the growth of your business|the this that me tell proud of is point one
055|wrong you're not really losing a big amount of money but it's good to learn all the things which you can't|wrong you don't need to lose something about money but it's usually know know that's what just happened
056|they are fairly big and especially if you look in a mirror|they are fairly male especially if you think about
057|with the same technician so all of a sudden|with the same technique so all of a sudden
058|to see advanced jesus and talk to them about it|i'm going to you a story
059|being used to murder palestinians every day so we in the west|used to mock palestinians every day to wave the west
060|there was a picture of a young girl on it sitting all alone in the photo she seemed so sad and helpless|was a picture of a young girl like she didn't look at the photo she seemed so sad and helpless
061|i know you're studying with john parakos and core energetics and probably many of our viewers have not heard of core energetics what is the basis of|what you see is not parallelograms and quadrilaterals and cubes and pyramids of various sizes of cubes what the of device
062|all in all quick reminder that calcium is an alkalinizing mineral so what that means is that it helps to|you that calcium is in our dairy milk so what that means is that it helps
063|this is why i am so excited to share with you all today that we will begin the 2016 ted talks|is why i am so excited to share with you all today that we will begin the 2016 tedbreaks
064|the course so the school has sheep farm|so this whole house just a room
065|they're still using manure now one of the nice byproducts of this is that if you have more food coming out and more food being produced you can use more of that food not for your own fam|still used to be one of the last byproducts of this is that if you have more food coming out more food being produced you can use more of that food not for your own family
066|wellness is 100 in our control simply by thinking positive|is 100 in our control simply by thinking positive
067|101 harper street|one o one arm twist
068|hello from germany good to see you we are getting a solar storm|from germany to see you we are to so
069|and hopefully that's not a subconscious indication of its pyrotechnical potential|hopefully this some us to the edge of spinal technical potential like
070|tab and you're gonna hit show develop in minibar just click that|like i want to know what's on with the world i just love that
071|is that really the only thing stopping you how fucking sociopathic do you have to be if a god you can't even prove is real is the only inhibition keeping you from wantonly destroying the li|really the only thing stopping you how fucking sociopathic you have to be if a god you can't even prove this real alone hold it only be keeping you from wanting to destroy the life
072|that they're worried about i don't know if you guys have any requests for them on like advice or whatever just let me know and i'll try to get them|worried i don't know if you guys have any requests for them any advice or whatever just let me know what i'll try to get them in
073|so we've got what looks like a walking dead or zombies button so that's pretty cool it can go with the other ones on my backpack|so we've got a walking stick or a zombie spike so that's pretty cool hanging here with the ones on my backpack
074|i surrendered good quite i surrendered to the low security|years ago when i was
075|control the light on the flash okay so first things first why is it bad that this flash pops up and ruins most people's photos|control the light on the flash so first of all why is it bad that this flash pops up and ruins most people's photos so
076|you need to start this out extremely slowly|on each shot the sound extremely slowly
077|from but i really loved the grainy quality of the ribbon mic|is from but i really love in a way that doesn't require me to
078|charge it every night just to keep it going through the day but i think that's a pretty good battery for a nice slim phone like this|it every night just to keep it going through the day but i think that's pretty good about it for her and i see some feel like this
079|to the band aid after a few days but there's actually one interface on the surface of the body that can literally provide us with a window of what happens inside and that's the surface of the eye|bandage after a few days but it's actually working in the face on the surface of the body that can literally provide the wound of what happened to this guy and that's the service of the dog at the very
080|i knew it all looked real good on the outside|what all us were looking on the outside but
081|you know oh this is the good stuff and people od|don't always the stuff that people write
082|but as you were saying before we were offline on air there's a lot going on yeah that's a big thing|listen to us say before we throw off a lot of data there's a lot going on in the
083|of the mixed multitude there and he only tells them two things and this entire portion there's only two things|for 30 years or so and he told us two things that this told us to
084|today we will focus on you alright in the future lesson we will talk about hishi|day we will all it at each other right in the future lesson we will talk about
085|and so what are the arguments that the individual mandate|and so what are the arguments that the individual take
086|well and step four is what many people do it's study|you an the of what many people do is they
087|also a very interesting common intellectual experience we've added in the last few years is the common reading program called wire wingate reading experience|a very interesting comment that's one of the experiments we've had in the last few years it's a common reading program called wild wednesdays we invite speakers in the
088|congratulations that said though|a education it's not that
089|be that vegans feminists environmentalists or anyone else who is fighting against the tide|that vegan feminist environmentalist or anyone else who is fighting against the sky and
090|and there you go i just wanted to let you all know the other thing that scientology does when anybody pitches something that they want they have a chance to win|i just want to say all go the other thing that scientologists do is when anybody pitches something that they want they have
091|let's try these bread crisps cheers|all these blood crimes right trunks now
092|from an early age up through even college and there's not a whole lot for adults in here but it does give some good general guidelines|of computer geek jumped through leave the netherlands and to stay in kong for another year but this is if some good shenanigans
093|that you have a of course i mean to an audience like the one here i can't even begin to get into the fact that the|to have of course i'm an indian so like the weather i kind of blend into the fact that
094|alrighty guys you guys start our 3d video at the field today and now we're back at your studio|guys so that's the video of the first kick they were back in the studio
095|the donning process is a step by step process that ensures good infection control and safety|processing is a step by step process that ensures good infection control and safety
096|so we started working on get around in year 2009 it's been about 18 months so far working really hard but basically the reason we all|we started working on that ground in 2009 it's been about 18 months so far working really hard but basically the reason we it
097|and 10 megabits per second is so today so slow that we would never have a new card in fact i don't think you could buy a brand new card that didn't support 100 megabits per second|the next time i get people saying it's so easy so so that we don't even have to go to court in fact i think you can buy a new car that the work for you
098|of a method so if you have this unprecedented hack which 1 2 billion is certainly unprecedented you expect them to be using unprecedented methods|for methods so if you have this unprecedented hacker which is 1 2 million certainly dented you expect him to be using unpremeditated methods
099|and he says we're interrupting a defense mechanism|so to to the the
100|my name is brandon noel i'm an assistant professor in the department of public administration|quite news time and as a professor at the department of public administration i
101|drop my gun out of my mouth like bleh|come out of my mouth that
102|and they're nice to their employees because that's the kind of thing that i want to be supporting|no that's good important to me because that is not the thing that i want to be supporting
