BASELINE | BATCH 02/15 | 102 pairs | format: NNN|ref|hyp|conf | Y=meaning conveyed, P=partial (annotate: P:preserved/-lost), N=meaning lost | `conf` is the method's own sentence-level confidence in [0,1] (n/a if missing) — use as a soft cue, NOT as a verdict shortcut
---
001|on the front of the torso i mounted on so the whole thing just lifts off|first of the stories came out and so the whole thing just lifted off|0.77
017|i have a tablet a smart phone i can take my pictures and videos directly off my tablet|if i stop playing football all together anytime i make a shift or anything like that it stops me|0.47
018|and i will give this file the name of the component the name my component shall have that's just a naming convention which is kind of used in the vue js world|david irving is a holocaust denier a neo nazi a member of the british national front which is a fascist organization in the united kingdom|0.54
019|but i just really got into it lately and this game is such a time killer like you cannot believe it you will just i don't know|there but as you can see from the audience we are here and this time we are such a time killer like you cannot have been living in new york i don't know|0.70
020|terminal window if we type that again and the shortcut for doing that by the way is up arrow will repeat the last command|i'm going to quote david attenborough the naturalist and broadcaster from the british television channel|0.39
021|nuts right well i tried it and to my surprise and|connect to it well i tried it and to my surprise it|0.61
022|the course so the school has sheep farm|so this whole house is just a room|0.71
023|baseball of course i wrote about baseball and she said there's one caveat to this assignment and that is that you need a source|part of course i wrote my bestseller just like this one caviat to this assignment and that is that you need a source|0.81
024|of hidden sectors and since a floppy disk can't be formatted there aren't going to be any sectors that come before the boot sector|of india and the states that constitute it is described as the tenth largest economy in the world and the third largest in asia behind china and japan|0.61
025|is singularly important in the history of american architecture if not the|is singularly important in the history of american architecture if not the|0.88
026|i need to have realness around me to kind of break through all the i don't know smoking mirrors if you will|need to have a real realness environment to kind of break through all the i don't know smoking bears if you will and|0.85
027|one of the complications of this disruption of breathing is that you get lower oxygen levels in your healthy tissues this is known as hypoxia|complications of this disruption one is that you get lower hgh levels in your healthy tissues this is always high risk and|0.82
028|we just add a prefix and it makes it|which has had a pretty significant impact on the bus|0.57
029|thank you for coming by torimagu44 today is the 18th of november 2011|year by the norman armstrong 4 4 today is the 18th of november 2000|0.66
030|and when you're aware and you're sensitive you can tell when you're about to go over that edge and you can stop you can slow down you can breathe|your record is sensitive you can tell when you're about to go over that edge and you can stop you can slow down you can breathe|0.92
031|and we have permission to share this video to the world right now thursdays and wednesdays|we're one of the few places in the world where you can find two world class museums|0.50
032|we have an epidemic of vitamin d deficiency|we have an empathy deficiency|0.42
033|work on stretching everything out with yoga there's gonna be some great yoga coming up in the fall i also have a video i can link that has some great hip flex|we're concentrating on the cloud with yoga there's so much yoga coming up on the fall i also have a video i can link that has more information|0.76
034|i would like to repeat the list and then we'll play a little game together here we go|would like to remind you that we are playing a game here together here we go|0.75
035|an inquiry into how to improve children's education in france and he was intrigued by what the british were doing|ignoring his admonitions to improve his diction and pronunciation he was intrigued by what the british were doing|0.67
036|to the word spelling yeah you have to learn spelling i know that english spelling is very difficult i have a resource about that too on our engvid website about 50 comm|so worried about smelling that you have to know the smell and i know that the genie smell is very difficult and i have to warn you about that too on our website about 15 carbon|0.69
037|educational neuroscience if you want to learn more about it one way is|international courts and if you learn more about it in one way|0.74
038|us anything it's that exploring for energy has safety risks|right now i'd like to take a moment to reflect and as david foster wallace|0.47
039|all right i'm gonna read you|great i'm going to do this|0.86
040|i want to hear you play billy's bounce and or little|how to play billie's blues or how to|0.55
041|i had my trainer was filipino my follow up trainer was filipino i didn't have an american as a companion until|i had my trainer was philippe petit my floor trader was phillippe pettit i didn't have an american as a competitor until|0.77
042|on today's the doctor is in the topic is hypertension there is no ideal blood pressure reading but there is an accepted range of normal readings and today we're going to see where ours specifically mine falls and whether or not you need to make some life decisions|today as the doctor says the topic is hypertension there is no ideal blood pressure reading but there is an accepted range of normal readings and today we'll see where our specifically mine falls and whether or not you're going to make some life changes|0.86
043|i got dropped off when i came to cobleskill when i was a freshman right here|i dropped out when i had the name almost did when i was a freshman before i got into|0.67
044|one really nice thing about this is|what a brilliant idea this is|0.66
045|but maybe you only have one of those|but maybe you only have one of those you know|0.90
046|text take for example a paragraph here this is a paragraph from the middle of a scientific toefl text|action take for example a pair of eyeglasses it takes a pair ever from the middle of a scientific novel|0.72
047|huge huge rise in popularity for something called the headless cms so the headless cms essentially takes this monolithic system and gets rid of the view layer instead it replaces it with generally|who creates a popularity for somebody called antisemite so antisemitism is an idea that models the system and gets rid of the view like a society that replaces it with generally|0.69
048|it's a good point and most of my rhythmic growth is evolutionary he's a canadian american musician and author|it's a good point and most of my retirement growth is invested in canadian american mutual funds and author|0.67
049|and she was from the kind of village where if a little of her hair showed through her scarf or her eye caught the eye of a man not in her family|she was from the kind of villages where he felt it good for her hair to grow to her star for her height on a man and not in her family's|0.71
050|hi everyone it's mr sinti and today i'd like to invite you to a conversation|i'm going to tell you|0.43
051|that means the fear of allah is completely gone the only fear you have is that of the seen there's no more fear of the unseen what a horrible spiritual|is the fear of the loss complete the only fear you have outside of death is no more fear of loss what a horrible spiritual|0.72
052|still sent me home i went home and i felt like i was on my deathbed i was going to die i don't know why they sent me home|sending me home i went home and i felt like i was on my deathbed i was going to die i don't know why they sent me home|0.95
053|text on her arm which happens to be simplified chinese|cancer's arm which happens to be the deep vein thrombosis arm|0.67
054|really highlighted the enormous problems facing that army now we've looked at|really highlighted that's an enormous problem we're fixing the economy now we've got|0.81
055|by percentage or the raw score you put in the|i have one last thing that i want to share with you|0.49
056|this lets the astrocyte monitor the neuron's signaling and help keep things functioning by releasing different proteins that can influence receptors at the synapse|lets the androgen receptor monitor the neuronal signaling and help keep things functioning by releasing different proteins that can influence receptors in the synapses|0.81
057|there are two types of teeth the first type is the anus|those two times i've seen the first time is in kenya|0.70
058|according to the manual that comes with the device the roku uses such a small amount of power that there's really no reason to turn it off|the manual that comes with the device the rotozoa uses such a small amount of power that there's really no reason to turn it on|0.89
059|i realized that he was saying everything that i wanted to say that i wanted to say to my mother that i wanted to say to the people in all of my classes in high school about how hard it was to be a certain way|i realized that he was saying everything that i wanted to say to my mother and to the people who took all of my classes in high school about how hard it was to be in a certain way and how|0.85
060|it's based on an article from the journal of abnormal and social psychology and you may remember a version of it from my|it's based on an article from the journal of abnormal and social psychology and you may remember our first quote from mum|0.86
061|yes they can perform very complex computations very fast|2000 miles across the united states|0.38
062|of the possibility of a choking episode in an older child|kind of the possibility of showing an episode in an older|0.78
063|a group channel track was a bit different than|chernobyl once the biggest disaster in history|0.46
064|were saying and then certain examples in the support of that theory and if they have certain criticism|today and that certain examples in the support of that day if they have certain certainty|0.74
065|this is my second time repeating the course obviously|is my second time being in new york obviously and|0.75
066|this must plug into this and not into the base at all|this was written in 1999 so it's a little dated but|0.41
067|examples so that you can practice along with me|couples sitting and practicing yoga with me|0.57
068|i bought a custom well not a custom this is off the shelf but it's much more expensive router bit meant to do this exact operation|putting on a costume well our costumes of the show but it's much more expansive around being meant to do this exact operation|0.71
069|but despite his status and his achievements okonkwo|despite his status and his achievements arrogance will|0.73
070|and hopefully that doesn't happen but i wanted to talk about in this video the fact that it's not just diet ladies and gentlemen|never seen this example but i wanted to tell you about it in this video the fact that it doesn't exist is just as significant as|0.68
071|these are just a few examples that show the value of sap product lifecycle management solutions we have many many|these are just a few examples that show the value of sbp brought to lifestyle medicine world solutions we have many many|0.83
072|and here's one of the key points it doesn't matter what the tradu|here's one of the key points it doesn't matter what the tradition|0.87
073|and where is jeff|he wore his jeans|0.64
074|the banker and say hey i need that money now i've been given you extra payments can i get that and you lost your job he's going to say no way because it's too much risk on him|panic and say hey god i need that money now i've been given an eviction notice i'm going to get that and you lost your job it's going to say no way because there's too much stress on him and|0.78
075|it will catalog what i'm doing here for delayed pressure urticaria today's appointment|will catalog what i'm doing for delaying breast cancer here's today's appointment|0.70
076|calcium is made up of galactomyloids a substance similar to the carbohydrate starch or to cellulose|is made up of collected waste substances that are similar to the carbohydrates starch and cellulose the chemical|0.61
077|absolutely 100 yes i am happy if you've been watching my videos for a while you've seen some transformations maybe get my editor here|100 but then yes i am happy and you know guys if you have been watching my videos for while you've seen some transformations maybe you wouldn't get my hair under|0.77
078|the less you move the knee the less|the less you move the less|0.90
079|we have earned this moment so no matter how exhausted|heard this moment so no matter how exhausted|0.91
080|but that can be useful if you want to have some if else check in your loop checking if you're near the end|the gap between some of the fastest growing economies in the world like china and india and the slowest declining economies|0.48
081|how much better they feel when they make these lifestyle changes it's very easy to keep|is how much better they feel when they make these lifestyle changes it's very easy to keep|0.91
082|this video we're teaching you some vocabulary some common phrases|of this video i want to introduce you to tom vocabulary i also call him friend|0.77
083|of a method so if you have this unprecedented hack which 1 2 billion is certainly unprecedented you expect them to be using unprecedented methods|for methods so if you have this unprecedented hacker which is 1 2 million certainly unpresidented you expect him to be using unpresented methods|0.79
084|8gb of ram previous from 6gb of ram which we were saying looks like it will have 8gb of ram and also have ufs 2 1 storage|eight kickbacks to the rhyme previously from six kickerbacks a rhyme which we are saying looks like it will have eight kick backs to rhyme and also will have u f s 2 1 storage now|0.75
085|delighted to have him starting his faculty position in april and then i'm delighted to announce|delighted to have him joining the faculty at penn state and then i'm delighted today to|0.71
086|i wonder what his face looks like|and wonder what it feels like to be|0.51
087|hello world i'm shannon morse and this is threatwire for october 2nd 2015 your summary of the threats to our security privacy and internet freedom our apologies for not having an episode to you earlier this week|world i'm shannon boyle and this is why we're here for october 2nd 2015 truth summer gives a threat to our security privacy and internet freedom our apologies for not having an episode to you earlier this week i|0.80
088|and her everything we were in a teepee out in the|our everything we realize how important it is to|0.69
089|simpler and practical enough for anyone to do and if not how could that be changed in the future i think the future is in the hands of the future|i'm so happy to be here|0.34
090|the constitution after the constitution has been written|i think it's important to remember that|0.28
091|over five we're doing all of these|over five we were shooting all of it|0.79
092|depending on the language the beginning ones known as|to any other language the beginning was storytelling|0.74
093|through i'm at about 144 degrees i really want to get up closer to the|there was about 144 forests that i really wanted to get up close to|0.71
094|i had been an engineer and i enjoyed what i was doing but i really wanted to have a company that i could do|p h d and i enjoyed what i was doing but i really wanted to have time to think|0.72
095|when was the last time you used a vga cable|when was the last time you used a vga cable|0.94
096|you never have been anything but that|you never have begun until you've been there|0.39
097|at the end of the story is the same across all cultures so i hope you guys enjoy it and i can't wait to read your comments so a long time ago there was this indian king he somehow came across a group of blind men|end of the story is this came across all older so i hope you guys enjoy it and i can't wait to hear your comments so a long time ago there was an indian king somehow came across a group of blind men|0.84
098|and i have a tablespoon of jalapeno fresh jalapeno|and i have a dietary smoothie i've got the banana called fresh banana|0.64
099|we need those rural farmers and we need to make those urban rural connections you know|we did coastal wetlands so we did mangrove restoration in 1960s|0.68
100|but if you're here for the parent teacher conferences why don't you come up to our art hallway and check out the art show|if you're giving presents to your officemates where else are you going to come up to a co worker and say|0.62
101|the lord as to why and the lord shows him that saul|orchestra and the orchestra shows them this song|0.71
102|growth going before you put them in a sunnier location to push vegetative|that i've been working on for the last 10 years and i'm going to show you|0.45
