utt_id,pos,n_hyp_words,word,ref_word,prob,band,correct,seg_mean_prob,seg_mean_word_prob,seg_is,seg_wer,seg_niv,ref_is_numeric,hyp_is_numeric,both_numeric
IX59lXMx8mw_11__5e33012f_00_000000_000359,14,34,seconds,32,0.9448104500770569,green,0,0.8164485851967973,0.7540891206795898,3.44,52.9,P,True,False,False
-xcETtGjLZU_3__111246a8_00_000000_000245,27,45,per,16th,0.9436048865318298,green,0,0.7107609205302738,0.6300060798724493,1.85,82.4,N,True,False,False
4MCGXRJKA84_3__af6bff4f_00_000000_000213,18,21,to,1,0.940532386302948,green,0,0.5585871843993664,0.5111115764649141,1.35,91.7,N,True,False,False
IX59lXMx8mw_11__5e33012f_00_000000_000359,2,34,millimeters,3mm,0.9386290907859802,green,0,0.8164485851967973,0.7540891206795898,3.44,52.9,P,True,False,False
6OvM5ZDA-TQ_0__b6c1e4a1_00_000000_000231,23,33,if,1155,0.936332106590271,green,0,0.6367026996822693,0.5937383122403513,1.11,93.9,N,True,False,False
d6g581tJ7bM_2__106bbe5f_00_000000_000359,10,40,the,one,0.9332482218742371,green,0,0.7503334472471095,0.723821216635406,3.26,57.9,P,True,False,False
rcLS6J9QT0E_0__f1d2346e_00_000000_000097,3,9,express,i02xpress,0.9303261637687683,green,0,0.5750581432472576,0.5670097238487668,1.06,140.0,N,True,False,False
vTlV5MoRZ7s_0__d05a1352_00_000000_000193,7,16,of,three,0.9268448948860168,green,0,0.593032305962161,0.5175155168399215,1.38,85.0,N,True,False,False
3KfgI8ATgtI_0__a3d2fe02_01_000300_000427,2,12,authority,30,0.9104844331741333,green,0,0.6760488301515579,0.5867278637985388,0.85,112.5,N,True,False,False
PyKTYROSy2E_0__58f43672_00_000000_000158,8,10,washington,one,0.908123791217804,green,0,0.6235486646848065,0.5720605760812759,0.69,100.0,N,True,False,False
hZZCD0xhWds_1__2a88900c_00_000000_000142,16,19,to,3,0.8991579413414001,green,0,0.6362787327170372,0.5861082449555397,1.06,100.0,N,True,False,False
3rMBdSM6TPk_12__295e6cec_00_000000_000091,8,9,time,90s,0.8955417275428772,green,0,0.6709495261311531,0.6349415613545312,1.28,82.4,N,True,False,False
