deck,slide_num,slide_title,hidden,location_in_slide,surrounding_text,number_mention,normalized,suggested_status
AFTER_AMOSI_Mar2026,4,Executive Summary,yes,shape[3]/para[4],• Clear roadmap to IS 3.5–4.0 (from 2.52) through data scaling + LLM upgrade,4.0,4.0,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,4,Executive Summary,yes,shape[3]/para[4],• Clear roadmap to IS 3.5–4.0 (from 2.52) through data scaling + LLM upgrade,2.52,2.52,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,4,Executive Summary,yes,shape[3]/para[6],• Produced 8 comprehensive research reports,8,8,UNCLASSIFIED
AFTER_AMOSI_Mar2026,4,Executive Summary,yes,shape[5]/para[0],4,4,4,UNCLASSIFIED
AFTER_AMOSI_Mar2026,4,Executive Summary,yes,notes/para[0],"Executive summary. Three months of work on visual speech processing. Key finding: WER dramatically overstates failure. Our Intelligibility Score shows 61.6% of output is useful (NIV Y+P), not the 25.5% WER suggests. Complete production system delivered. Clear roadmap to improve further.",61.6%,61.6%,METADATA
AFTER_AMOSI_Mar2026,4,Executive Summary,yes,notes/para[0],"Executive summary. Three months of work on visual speech processing. Key finding: WER dramatically overstates failure. Our Intelligibility Score shows 61.6% of output is useful (NIV Y+P), not the 25.5% WER suggests. Complete production system delivered. Clear roadmap to improve further.",25.5%,25.5%,METADATA
AFTER_AMOSI_Mar2026,5,WER: The Metric That Lies,yes,shape[3]/para[0],46.2%,46.2%,46.2%,UNCLASSIFIED
AFTER_AMOSI_Mar2026,5,WER: The Metric That Lies,yes,shape[6]/para[0],"6 insertions, 1 deletion= nearly half the words are ""wrong""",6,6,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,5,WER: The Metric That Lies,yes,shape[6]/para[0],"6 insertions, 1 deletion= nearly half the words are ""wrong""",1,1,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,5,WER: The Metric That Lies,yes,shape[8]/para[0],4.03,4.03,4.03,UNCLASSIFIED
AFTER_AMOSI_Mar2026,5,WER: The Metric That Lies,yes,shape[11]/para[0],Semantic similarity: 0.90Meaning fully preserved,0.90,0.90,UNCLASSIFIED
AFTER_AMOSI_Mar2026,5,WER: The Metric That Lies,yes,shape[16]/para[0],5,5,5,UNCLASSIFIED
AFTER_AMOSI_Mar2026,5,WER: The Metric That Lies,yes,notes/para[0],Side-by-side: same segment scores 46.2% WER (failure) but IS 4.03 (excellent). The prediction preserves the complete meaning.,46.2%,46.2%,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,5,WER: The Metric That Lies,yes,notes/para[0],Side-by-side: same segment scores 46.2% WER (failure) but IS 4.03 (excellent). The prediction preserves the complete meaning.,4.03,4.03,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,6,Presentation Overview,no,shape[3]/para[0],1. Context,1,1,UNCLASSIFIED
AFTER_AMOSI_Mar2026,6,Presentation Overview,no,shape[6]/para[0],2. Research Findings,2,2,UNCLASSIFIED
AFTER_AMOSI_Mar2026,6,Presentation Overview,no,shape[9]/para[0],3. Engineering,3,3,UNCLASSIFIED
AFTER_AMOSI_Mar2026,6,Presentation Overview,no,shape[10]/para[0],8-stage pipeline • Modular refactoring • Standalone container • Evaluation infrastructure,8,8,UNCLASSIFIED
AFTER_AMOSI_Mar2026,6,Presentation Overview,no,shape[12]/para[0],4. Future Directions,4,4,UNCLASSIFIED
AFTER_AMOSI_Mar2026,6,Presentation Overview,no,shape[13]/para[0],Improvement roadmap • Data scaling • LLM upgrade • Arabic pipeline • Target: IS 3.5–4.0,3.5,3.5,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,6,Presentation Overview,no,shape[13]/para[0],Improvement roadmap • Data scaling • LLM upgrade • Arabic pipeline • Target: IS 3.5–4.0,4.0,4.0,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,6,Presentation Overview,no,shape[15]/para[0],6,6,6,UNCLASSIFIED
AFTER_AMOSI_Mar2026,7,What is Visual Speech Processing?,no,shape[3]/para[0],"System + human reader outperforms expert lip readers: 55–70% vs 45–52% word accuracy, with near-zero hallucination risk",55,55,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,7,What is Visual Speech Processing?,no,shape[3]/para[0],"System + human reader outperforms expert lip readers: 55–70% vs 45–52% word accuracy, with near-zero hallucination risk",70%,70%,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,7,What is Visual Speech Processing?,no,shape[3]/para[0],"System + human reader outperforms expert lip readers: 55–70% vs 45–52% word accuracy, with near-zero hallucination risk",45,45,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,7,What is Visual Speech Processing?,no,shape[3]/para[0],"System + human reader outperforms expert lip readers: 55–70% vs 45–52% word accuracy, with near-zero hallucination risk",52%,52%,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,7,What is Visual Speech Processing?,no,shape[5]/para[0],7,7,7,UNCLASSIFIED
AFTER_AMOSI_Mar2026,7,What is Visual Speech Processing?,no,notes/para[0],"PLAY VIDEO: IEa7qEkMvfQ_3__c5447488_with_hyp.mp4 — 33 words about health insurance, WER 0%. Play the video first, then explain: this is the best case. The system perfectly reads 33 consecutive words from lip movement alone. Now let's see how it works.",447488,447488,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,7,What is Visual Speech Processing?,no,notes/para[0],"PLAY VIDEO: IEa7qEkMvfQ_3__c5447488_with_hyp.mp4 — 33 words about health insurance, WER 0%. Play the video first, then explain: this is the best case. The system perfectly reads 33 consecutive words from lip movement alone. Now let's see how it works.",33,33,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,7,What is Visual Speech Processing?,no,notes/para[0],"PLAY VIDEO: IEa7qEkMvfQ_3__c5447488_with_hyp.mp4 — 33 words about health insurance, WER 0%. Play the video first, then explain: this is the best case. The system perfectly reads 33 consecutive words from lip movement alone. Now let's see how it works.",0%,0%,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,7,What is Visual Speech Processing?,no,notes/para[0],"PLAY VIDEO: IEa7qEkMvfQ_3__c5447488_with_hyp.mp4 — 33 words about health insurance, WER 0%. Play the video first, then explain: this is the best case. The system perfectly reads 33 consecutive words from lip movement alone. Now let's see how it works.",33,33,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,7,What is Visual Speech Processing?,no,notes/para[2],"AFTER VIDEO: System + human reader outperforms expert lip readers. Expert lip readers achieve ~45-52% word accuracy on unconstrained speech (Auer & Bernstein 2007). Model + context-aware human: estimated 55-70% word accuracy, 75-85% meaning capture. Key insight: the model provides candidate text (the hardest part of lip reading). The human's job becomes verification, not generation — dramatically ",45,45,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,7,What is Visual Speech Processing?,no,notes/para[2],"AFTER VIDEO: System + human reader outperforms expert lip readers. Expert lip readers achieve ~45-52% word accuracy on unconstrained speech (Auer & Bernstein 2007). Model + context-aware human: estimated 55-70% word accuracy, 75-85% meaning capture. Key insight: the model provides candidate text (the hardest part of lip reading). The human's job becomes verification, not generation — dramatically ",52%,52%,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,7,What is Visual Speech Processing?,no,notes/para[2],"AFTER VIDEO: System + human reader outperforms expert lip readers. Expert lip readers achieve ~45-52% word accuracy on unconstrained speech (Auer & Bernstein 2007). Model + context-aware human: estimated 55-70% word accuracy, 75-85% meaning capture. Key insight: the model provides candidate text (the hardest part of lip reading). The human's job becomes verification, not generation — dramatically ",2007,2007,METADATA
AFTER_AMOSI_Mar2026,7,What is Visual Speech Processing?,no,notes/para[2],"AFTER VIDEO: System + human reader outperforms expert lip readers. Expert lip readers achieve ~45-52% word accuracy on unconstrained speech (Auer & Bernstein 2007). Model + context-aware human: estimated 55-70% word accuracy, 75-85% meaning capture. Key insight: the model provides candidate text (the hardest part of lip reading). The human's job becomes verification, not generation — dramatically ",55,55,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,7,What is Visual Speech Processing?,no,notes/para[2],"AFTER VIDEO: System + human reader outperforms expert lip readers. Expert lip readers achieve ~45-52% word accuracy on unconstrained speech (Auer & Bernstein 2007). Model + context-aware human: estimated 55-70% word accuracy, 75-85% meaning capture. Key insight: the model provides candidate text (the hardest part of lip reading). The human's job becomes verification, not generation — dramatically ",70%,70%,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,7,What is Visual Speech Processing?,no,notes/para[2],"AFTER VIDEO: System + human reader outperforms expert lip readers. Expert lip readers achieve ~45-52% word accuracy on unconstrained speech (Auer & Bernstein 2007). Model + context-aware human: estimated 55-70% word accuracy, 75-85% meaning capture. Key insight: the model provides candidate text (the hardest part of lip reading). The human's job becomes verification, not generation — dramatically ",75,75,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,7,What is Visual Speech Processing?,no,notes/para[2],"AFTER VIDEO: System + human reader outperforms expert lip readers. Expert lip readers achieve ~45-52% word accuracy on unconstrained speech (Auer & Bernstein 2007). Model + context-aware human: estimated 55-70% word accuracy, 75-85% meaning capture. Key insight: the model provides candidate text (the hardest part of lip reading). The human's job becomes verification, not generation — dramatically ",85%,85%,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,7,What is Visual Speech Processing?,no,notes/para[2],"AFTER VIDEO: System + human reader outperforms expert lip readers. Expert lip readers achieve ~45-52% word accuracy on unconstrained speech (Auer & Bernstein 2007). Model + context-aware human: estimated 55-70% word accuracy, 75-85% meaning capture. Key insight: the model provides candidate text (the hardest part of lip reading). The human's job becomes verification, not generation — dramatically ",20.5%,20.5%,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,7,What is Visual Speech Processing?,no,notes/para[2],"AFTER VIDEO: System + human reader outperforms expert lip readers. Expert lip readers achieve ~45-52% word accuracy on unconstrained speech (Auer & Bernstein 2007). Model + context-aware human: estimated 55-70% word accuracy, 75-85% meaning capture. Key insight: the model provides candidate text (the hardest part of lip reading). The human's job becomes verification, not generation — dramatically ",5%,5%,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,8,The Invisible Problem: Visemes,no,shape[3]/para[0],• 50–70% of English sounds are invisible on lips,50,50,UNCLASSIFIED
AFTER_AMOSI_Mar2026,8,The Invisible Problem: Visemes,no,shape[3]/para[0],• 50–70% of English sounds are invisible on lips,70%,70%,UNCLASSIFIED
AFTER_AMOSI_Mar2026,8,The Invisible Problem: Visemes,no,shape[11]/para[0],8,8,8,UNCLASSIFIED
AFTER_AMOSI_Mar2026,8,The Invisible Problem: Visemes,no,notes/para[0],"50-70% of English sounds are invisible on lips. Multiple sounds produce identical mouth shapes called visemes. The poster frames show two different speakers — their mouth shapes look nearly identical despite saying completely different words. Context is the only disambiguation signal, which is why the LLM component is critical.",50,50,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,8,The Invisible Problem: Visemes,no,notes/para[0],"50-70% of English sounds are invisible on lips. Multiple sounds produce identical mouth shapes called visemes. The poster frames show two different speakers — their mouth shapes look nearly identical despite saying completely different words. Context is the only disambiguation signal, which is why the LLM component is critical.",70%,70%,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,9,How It Works: Three Components,no,shape[4]/para[0],"AV-HuBERTVisual Encoder, frozen, 1024-dim",1024,1024,UNCLASSIFIED
AFTER_AMOSI_Mar2026,9,How It Works: Three Components,no,shape[6]/para[0],Linear Projection1024 → 4096,024,024,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,9,How It Works: Three Components,no,shape[6]/para[0],Linear Projection1024 → 4096,4096,4096,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,9,How It Works: Three Components,no,shape[8]/para[0],"LLaMA-2-7B4-bit QLoRA, r=16",2,2,UNCLASSIFIED
AFTER_AMOSI_Mar2026,9,How It Works: Three Components,no,shape[8]/para[0],"LLaMA-2-7B4-bit QLoRA, r=16",7,7,UNCLASSIFIED
AFTER_AMOSI_Mar2026,9,How It Works: Three Components,no,shape[8]/para[0],"LLaMA-2-7B4-bit QLoRA, r=16",16,16,LIKELY_HOLD
AFTER_AMOSI_Mar2026,9,How It Works: Three Components,no,shape[11]/para[0],Only 12.6M trainable params (0.19%). LLM is architecture-compatible — Llama 3.1 8B is a drop-in replacement (same 4096 hidden size).,12.6,12.6,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,9,How It Works: Three Components,no,shape[11]/para[0],Only 12.6M trainable params (0.19%). LLM is architecture-compatible — Llama 3.1 8B is a drop-in replacement (same 4096 hidden size).,0.19%,0.19%,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,9,How It Works: Three Components,no,shape[11]/para[0],Only 12.6M trainable params (0.19%). LLM is architecture-compatible — Llama 3.1 8B is a drop-in replacement (same 4096 hidden size).,3.1,3.1,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,9,How It Works: Three Components,no,shape[11]/para[0],Only 12.6M trainable params (0.19%). LLM is architecture-compatible — Llama 3.1 8B is a drop-in replacement (same 4096 hidden size).,8,8,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,9,How It Works: Three Components,no,shape[11]/para[0],Only 12.6M trainable params (0.19%). LLM is architecture-compatible — Llama 3.1 8B is a drop-in replacement (same 4096 hidden size).,4096,4096,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,9,How It Works: Three Components,no,shape[13]/para[0],9,9,9,UNCLASSIFIED
AFTER_AMOSI_Mar2026,9,How It Works: Three Components,no,notes/para[0],Three components. Visual encoder (AV-HuBERT) is frozen — pre-trained on LRS3 lip-reading data. It outputs 1024-dim features per frame. A linear projection maps to 4096-dim (LLM input space). Then LLaMA-2-7B generates text. Key: only the LoRA adapters and projection layer are trained — 12.6M of 7B parameters. The LLM is upgradeable: Llama 3.1 8B has the same hidden dimension (requires adapter retra,1024,1024,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,9,How It Works: Three Components,no,notes/para[0],Three components. Visual encoder (AV-HuBERT) is frozen — pre-trained on LRS3 lip-reading data. It outputs 1024-dim features per frame. A linear projection maps to 4096-dim (LLM input space). Then LLaMA-2-7B generates text. Key: only the LoRA adapters and projection layer are trained — 12.6M of 7B parameters. The LLM is upgradeable: Llama 3.1 8B has the same hidden dimension (requires adapter retra,4096,4096,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,9,How It Works: Three Components,no,notes/para[0],Three components. Visual encoder (AV-HuBERT) is frozen — pre-trained on LRS3 lip-reading data. It outputs 1024-dim features per frame. A linear projection maps to 4096-dim (LLM input space). Then LLaMA-2-7B generates text. Key: only the LoRA adapters and projection layer are trained — 12.6M of 7B parameters. The LLM is upgradeable: Llama 3.1 8B has the same hidden dimension (requires adapter retra,2,2,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,9,How It Works: Three Components,no,notes/para[0],Three components. Visual encoder (AV-HuBERT) is frozen — pre-trained on LRS3 lip-reading data. It outputs 1024-dim features per frame. A linear projection maps to 4096-dim (LLM input space). Then LLaMA-2-7B generates text. Key: only the LoRA adapters and projection layer are trained — 12.6M of 7B parameters. The LLM is upgradeable: Llama 3.1 8B has the same hidden dimension (requires adapter retra,7,7,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,9,How It Works: Three Components,no,notes/para[0],Three components. Visual encoder (AV-HuBERT) is frozen — pre-trained on LRS3 lip-reading data. It outputs 1024-dim features per frame. A linear projection maps to 4096-dim (LLM input space). Then LLaMA-2-7B generates text. Key: only the LoRA adapters and projection layer are trained — 12.6M of 7B parameters. The LLM is upgradeable: Llama 3.1 8B has the same hidden dimension (requires adapter retra,12.6,12.6,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,9,How It Works: Three Components,no,notes/para[0],Three components. Visual encoder (AV-HuBERT) is frozen — pre-trained on LRS3 lip-reading data. It outputs 1024-dim features per frame. A linear projection maps to 4096-dim (LLM input space). Then LLaMA-2-7B generates text. Key: only the LoRA adapters and projection layer are trained — 12.6M of 7B parameters. The LLM is upgradeable: Llama 3.1 8B has the same hidden dimension (requires adapter retra,7,7,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,9,How It Works: Three Components,no,notes/para[0],Three components. Visual encoder (AV-HuBERT) is frozen — pre-trained on LRS3 lip-reading data. It outputs 1024-dim features per frame. A linear projection maps to 4096-dim (LLM input space). Then LLaMA-2-7B generates text. Key: only the LoRA adapters and projection layer are trained — 12.6M of 7B parameters. The LLM is upgradeable: Llama 3.1 8B has the same hidden dimension (requires adapter retra,3.1,3.1,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,9,How It Works: Three Components,no,notes/para[0],Three components. Visual encoder (AV-HuBERT) is frozen — pre-trained on LRS3 lip-reading data. It outputs 1024-dim features per frame. A linear projection maps to 4096-dim (LLM input space). Then LLaMA-2-7B generates text. Key: only the LoRA adapters and projection layer are trained — 12.6M of 7B parameters. The LLM is upgradeable: Llama 3.1 8B has the same hidden dimension (requires adapter retra,8,8,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,10,How It Works: Data Flow,no,shape[4]/para[0],1,1,1,UNCLASSIFIED
AFTER_AMOSI_Mar2026,10,How It Works: Data Flow,no,shape[5]/para[0],Video Frames  —  25 fps raw video input,25,25,UNCLASSIFIED
AFTER_AMOSI_Mar2026,10,How It Works: Data Flow,no,shape[9]/para[0],2,2,2,UNCLASSIFIED
AFTER_AMOSI_Mar2026,10,How It Works: Data Flow,no,shape[10]/para[0],Mouth Crop  —  96×96 pixel region around lips,96,96,UNCLASSIFIED
AFTER_AMOSI_Mar2026,10,How It Works: Data Flow,no,shape[10]/para[0],Mouth Crop  —  96×96 pixel region around lips,96,96,UNCLASSIFIED
AFTER_AMOSI_Mar2026,10,How It Works: Data Flow,no,shape[14]/para[0],3,3,3,UNCLASSIFIED
AFTER_AMOSI_Mar2026,10,How It Works: Data Flow,no,shape[15]/para[0],Visual Features  —  AV-HuBERT encoder → 1024-dim vectors,1024,1024,UNCLASSIFIED
AFTER_AMOSI_Mar2026,10,How It Works: Data Flow,no,shape[19]/para[0],4,4,4,UNCLASSIFIED
AFTER_AMOSI_Mar2026,10,How It Works: Data Flow,no,shape[20]/para[0],Projection  —  Linear layer: 1024 → 4096-dim (LLM input space),1024,1024,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,10,How It Works: Data Flow,no,shape[20]/para[0],Projection  —  Linear layer: 1024 → 4096-dim (LLM input space),4096,4096,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,10,How It Works: Data Flow,no,shape[24]/para[0],5,5,5,UNCLASSIFIED
AFTER_AMOSI_Mar2026,10,How It Works: Data Flow,no,shape[25]/para[0],LLM Generates Text  —  LLaMA-2-7B decodes features into words,2,2,METADATA
AFTER_AMOSI_Mar2026,10,How It Works: Data Flow,no,shape[25]/para[0],LLM Generates Text  —  LLaMA-2-7B decodes features into words,7,7,METADATA
AFTER_AMOSI_Mar2026,10,How It Works: Data Flow,no,shape[28]/para[0],10,10,10,UNCLASSIFIED
AFTER_AMOSI_Mar2026,10,How It Works: Data Flow,no,notes/para[0],Five-step data flow. Raw video at 25fps is cropped to 96x96 mouth region. AV-HuBERT extracts 1024-dim visual features. Linear projection maps to 4096-dim LLM input space. LLaMA-2-7B generates text. The visual encoder is frozen — only the projection layer and LoRA adapters are trained.,25,25,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,10,How It Works: Data Flow,no,notes/para[0],Five-step data flow. Raw video at 25fps is cropped to 96x96 mouth region. AV-HuBERT extracts 1024-dim visual features. Linear projection maps to 4096-dim LLM input space. LLaMA-2-7B generates text. The visual encoder is frozen — only the projection layer and LoRA adapters are trained.,96,96,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,10,How It Works: Data Flow,no,notes/para[0],Five-step data flow. Raw video at 25fps is cropped to 96x96 mouth region. AV-HuBERT extracts 1024-dim visual features. Linear projection maps to 4096-dim LLM input space. LLaMA-2-7B generates text. The visual encoder is frozen — only the projection layer and LoRA adapters are trained.,6,6,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,10,How It Works: Data Flow,no,notes/para[0],Five-step data flow. Raw video at 25fps is cropped to 96x96 mouth region. AV-HuBERT extracts 1024-dim visual features. Linear projection maps to 4096-dim LLM input space. LLaMA-2-7B generates text. The visual encoder is frozen — only the projection layer and LoRA adapters are trained.,1024,1024,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,10,How It Works: Data Flow,no,notes/para[0],Five-step data flow. Raw video at 25fps is cropped to 96x96 mouth region. AV-HuBERT extracts 1024-dim visual features. Linear projection maps to 4096-dim LLM input space. LLaMA-2-7B generates text. The visual encoder is frozen — only the projection layer and LoRA adapters are trained.,4096,4096,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,10,How It Works: Data Flow,no,notes/para[0],Five-step data flow. Raw video at 25fps is cropped to 96x96 mouth region. AV-HuBERT extracts 1024-dim visual features. Linear projection maps to 4096-dim LLM input space. LLaMA-2-7B generates text. The visual encoder is frozen — only the projection layer and LoRA adapters are trained.,2,2,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,10,How It Works: Data Flow,no,notes/para[0],Five-step data flow. Raw video at 25fps is cropped to 96x96 mouth region. AV-HuBERT extracts 1024-dim visual features. Linear projection maps to 4096-dim LLM input space. LLaMA-2-7B generates text. The visual encoder is frozen — only the projection layer and LoRA adapters are trained.,7,7,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,11,The Benchmark: Paper vs Reality,no,shape[2]/para[0],25.4%,25.4%,25.4%,UNCLASSIFIED
AFTER_AMOSI_Mar2026,11,The Benchmark: Paper vs Reality,no,shape[4]/para[1],"• Our dataset: 1,497 real YouTube segments — nothing is controlled","1,497",1497,LIKELY_HOLD
AFTER_AMOSI_Mar2026,11,The Benchmark: Paper vs Reality,no,shape[4]/para[2],• Result: 64.1% WER — 2.5× worse,64.1%,64.1%,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,11,The Benchmark: Paper vs Reality,no,shape[4]/para[2],• Result: 64.1% WER — 2.5× worse,2.5,2.5,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,11,The Benchmark: Paper vs Reality,no,shape[8]/para[0],11,11,11,UNCLASSIFIED
AFTER_AMOSI_Mar2026,11,The Benchmark: Paper vs Reality,no,shape[9]/para[0],Note: Our best LRS3 reproduction achieved 32% WER — gap likely due to pretrain/test split differences.,32%,32%,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,11,The Benchmark: Paper vs Reality,no,notes/para[0],"The paper reports 25.4% WER on LRS3 — a curated TED talks dataset with ideal conditions. Our 1,497 YouTube segments are fundamentally harder: diverse speakers, topics, lighting, angles. Result: 64.1% WER, 2.5x worse. The dataset is different, and that explains the gap.",25.4%,25.4%,NEEDS_VERIFICATION
AFTER_AMOSI_Mar2026,11,The Benchmark: Paper vs Reality,no,notes/para[0],"The paper reports 25.4% WER on LRS3 — a curated TED talks dataset with ideal conditions. Our 1,497 YouTube segments are fundamentally harder: diverse speakers, topics, lighting, angles. Result: 64.1% WER, 2.5x worse. The dataset is different, and that explains the gap.","1,497",1497,LIKELY_HOLD
AFTER_AMOSI_Mar2026,11,The Benchmark: Paper vs Reality,no,notes/para[0],"The paper reports 25.4% WER on LRS3 — a curated TED talks dataset with ideal conditions. Our 1,497 YouTube segments are fundamentally harder: diverse speakers, topics, lighting, angles. Result: 64.1% WER, 2.5x worse. The dataset is different, and that explains the gap.",64.1%,64.1%,NEEDS_VERIFICATION
