deck,slide_num,slide_title,hidden,location_in_slide,surrounding_text,number_mention,normalized,suggested_status,audit_category,audit_reason
AFTER_AMOSI_May2026,4,Presentation Overview,no,notes/para[0],"Five sections, mapping to the May 2026 academic-deck narrative. (1) The Problem: visemes, WER vs meaning. (2) How Do You Evaluate Lip-Reading?: the IS metric and the LLM-as-a-Judge gold standard. (3) Where the System Works: oracle vs realistic capture under MBR (default since May 2 2026), failure modes. (4) Confidence Without Ground Truth: agreement-aware bands, trust-gate operating points. (5) De",2,2,METADATA,METADATA,slide-meta / date / page
AFTER_AMOSI_May2026,4,Presentation Overview,no,notes/para[0],"Five sections, mapping to the May 2026 academic-deck narrative. (1) The Problem: visemes, WER vs meaning. (2) How Do You Evaluate Lip-Reading?: the IS metric and the LLM-as-a-Judge gold standard. (3) Where the System Works: oracle vs realistic capture under MBR (default since May 2 2026), failure modes. (4) Confidence Without Ground Truth: agreement-aware bands, trust-gate operating points. (5) De",3,3,METADATA,METADATA,slide-meta / date / page
AFTER_AMOSI_May2026,4,Presentation Overview,no,notes/para[0],"Five sections, mapping to the May 2026 academic-deck narrative. (1) The Problem: visemes, WER vs meaning. (2) How Do You Evaluate Lip-Reading?: the IS metric and the LLM-as-a-Judge gold standard. (3) Where the System Works: oracle vs realistic capture under MBR (default since May 2 2026), failure modes. (4) Confidence Without Ground Truth: agreement-aware bands, trust-gate operating points. (5) De",2,2,METADATA,METADATA,slide-meta / date / page
AFTER_AMOSI_May2026,4,Presentation Overview,no,notes/para[0],"Five sections, mapping to the May 2026 academic-deck narrative. (1) The Problem: visemes, WER vs meaning. (2) How Do You Evaluate Lip-Reading?: the IS metric and the LLM-as-a-Judge gold standard. (3) Where the System Works: oracle vs realistic capture under MBR (default since May 2 2026), failure modes. (4) Confidence Without Ground Truth: agreement-aware bands, trust-gate operating points. (5) De",2026,2026,METADATA,METADATA,slide-meta / date / page
AFTER_AMOSI_May2026,4,Presentation Overview,no,notes/para[0],"Five sections, mapping to the May 2026 academic-deck narrative. (1) The Problem: visemes, WER vs meaning. (2) How Do You Evaluate Lip-Reading?: the IS metric and the LLM-as-a-Judge gold standard. (3) Where the System Works: oracle vs realistic capture under MBR (default since May 2 2026), failure modes. (4) Confidence Without Ground Truth: agreement-aware bands, trust-gate operating points. (5) De",4,4,METADATA,METADATA,slide-meta / date / page
AFTER_AMOSI_May2026,4,Presentation Overview,no,notes/para[0],"Five sections, mapping to the May 2026 academic-deck narrative. (1) The Problem: visemes, WER vs meaning. (2) How Do You Evaluate Lip-Reading?: the IS metric and the LLM-as-a-Judge gold standard. (3) Where the System Works: oracle vs realistic capture under MBR (default since May 2 2026), failure modes. (4) Confidence Without Ground Truth: agreement-aware bands, trust-gate operating points. (5) De",5,5,METADATA,METADATA,slide-meta / date / page
AFTER_AMOSI_May2026,5,What is Visual Speech Processing?,no,shape[3]/para[0],"System + human reader outperforms expert lip readers: 55–70% vs 45–52% word accuracy, with near-zero hallucination risk",55,55,NEEDS_VERIFICATION,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,5,What is Visual Speech Processing?,no,shape[3]/para[0],"System + human reader outperforms expert lip readers: 55–70% vs 45–52% word accuracy, with near-zero hallucination risk",70%,70%,NEEDS_VERIFICATION,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,5,What is Visual Speech Processing?,no,shape[3]/para[0],"System + human reader outperforms expert lip readers: 55–70% vs 45–52% word accuracy, with near-zero hallucination risk",45,45,NEEDS_VERIFICATION,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,5,What is Visual Speech Processing?,no,shape[3]/para[0],"System + human reader outperforms expert lip readers: 55–70% vs 45–52% word accuracy, with near-zero hallucination risk",52%,52%,NEEDS_VERIFICATION,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,5,What is Visual Speech Processing?,no,shape[5]/para[0],5,5,5,UNCLASSIFIED,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,5,What is Visual Speech Processing?,no,notes/para[0],"PLAY VIDEO: IEa7qEkMvfQ_3__c5447488_with_hyp.mp4 — 33 words about health insurance, WER 0%. Play the video first, then explain: this is the best case. The system perfectly reads 33 consecutive words from lip movement alone. Now let's see how it works.",447488,447488,NEEDS_VERIFICATION,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,5,What is Visual Speech Processing?,no,notes/para[0],"PLAY VIDEO: IEa7qEkMvfQ_3__c5447488_with_hyp.mp4 — 33 words about health insurance, WER 0%. Play the video first, then explain: this is the best case. The system perfectly reads 33 consecutive words from lip movement alone. Now let's see how it works.",33,33,NEEDS_VERIFICATION,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,5,What is Visual Speech Processing?,no,notes/para[0],"PLAY VIDEO: IEa7qEkMvfQ_3__c5447488_with_hyp.mp4 — 33 words about health insurance, WER 0%. Play the video first, then explain: this is the best case. The system perfectly reads 33 consecutive words from lip movement alone. Now let's see how it works.",0%,0%,NEEDS_VERIFICATION,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,5,What is Visual Speech Processing?,no,notes/para[0],"PLAY VIDEO: IEa7qEkMvfQ_3__c5447488_with_hyp.mp4 — 33 words about health insurance, WER 0%. Play the video first, then explain: this is the best case. The system perfectly reads 33 consecutive words from lip movement alone. Now let's see how it works.",33,33,NEEDS_VERIFICATION,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,5,What is Visual Speech Processing?,no,notes/para[2],"AFTER VIDEO: System + human reader outperforms expert lip readers. Expert lip readers achieve ~45-52% word accuracy on unconstrained speech (Auer & Bernstein 2007). Model + context-aware human: estimated 55-70% word accuracy, 75-85% meaning capture. Key insight: the model provides candidate text (the hardest part of lip reading). The human's job becomes verification, not generation — dramatically ",45,45,NEEDS_VERIFICATION,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,5,What is Visual Speech Processing?,no,notes/para[2],"AFTER VIDEO: System + human reader outperforms expert lip readers. Expert lip readers achieve ~45-52% word accuracy on unconstrained speech (Auer & Bernstein 2007). Model + context-aware human: estimated 55-70% word accuracy, 75-85% meaning capture. Key insight: the model provides candidate text (the hardest part of lip reading). The human's job becomes verification, not generation — dramatically ",52%,52%,NEEDS_VERIFICATION,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,5,What is Visual Speech Processing?,no,notes/para[2],"AFTER VIDEO: System + human reader outperforms expert lip readers. Expert lip readers achieve ~45-52% word accuracy on unconstrained speech (Auer & Bernstein 2007). Model + context-aware human: estimated 55-70% word accuracy, 75-85% meaning capture. Key insight: the model provides candidate text (the hardest part of lip reading). The human's job becomes verification, not generation — dramatically ",2007,2007,METADATA,METADATA,slide-meta / date / page
AFTER_AMOSI_May2026,5,What is Visual Speech Processing?,no,notes/para[2],"AFTER VIDEO: System + human reader outperforms expert lip readers. Expert lip readers achieve ~45-52% word accuracy on unconstrained speech (Auer & Bernstein 2007). Model + context-aware human: estimated 55-70% word accuracy, 75-85% meaning capture. Key insight: the model provides candidate text (the hardest part of lip reading). The human's job becomes verification, not generation — dramatically ",55,55,NEEDS_VERIFICATION,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,5,What is Visual Speech Processing?,no,notes/para[2],"AFTER VIDEO: System + human reader outperforms expert lip readers. Expert lip readers achieve ~45-52% word accuracy on unconstrained speech (Auer & Bernstein 2007). Model + context-aware human: estimated 55-70% word accuracy, 75-85% meaning capture. Key insight: the model provides candidate text (the hardest part of lip reading). The human's job becomes verification, not generation — dramatically ",70%,70%,NEEDS_VERIFICATION,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,5,What is Visual Speech Processing?,no,notes/para[2],"AFTER VIDEO: System + human reader outperforms expert lip readers. Expert lip readers achieve ~45-52% word accuracy on unconstrained speech (Auer & Bernstein 2007). Model + context-aware human: estimated 55-70% word accuracy, 75-85% meaning capture. Key insight: the model provides candidate text (the hardest part of lip reading). The human's job becomes verification, not generation — dramatically ",75,75,NEEDS_VERIFICATION,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,5,What is Visual Speech Processing?,no,notes/para[2],"AFTER VIDEO: System + human reader outperforms expert lip readers. Expert lip readers achieve ~45-52% word accuracy on unconstrained speech (Auer & Bernstein 2007). Model + context-aware human: estimated 55-70% word accuracy, 75-85% meaning capture. Key insight: the model provides candidate text (the hardest part of lip reading). The human's job becomes verification, not generation — dramatically ",85%,85%,NEEDS_VERIFICATION,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,5,What is Visual Speech Processing?,no,notes/para[2],"AFTER VIDEO: System + human reader outperforms expert lip readers. Expert lip readers achieve ~45-52% word accuracy on unconstrained speech (Auer & Bernstein 2007). Model + context-aware human: estimated 55-70% word accuracy, 75-85% meaning capture. Key insight: the model provides candidate text (the hardest part of lip reading). The human's job becomes verification, not generation — dramatically ",20.5%,20.5%,NEEDS_VERIFICATION,STALE_LEAK,top-1 number cited as active claim (hallucination_pct_top1)
AFTER_AMOSI_May2026,5,What is Visual Speech Processing?,no,notes/para[2],"AFTER VIDEO: System + human reader outperforms expert lip readers. Expert lip readers achieve ~45-52% word accuracy on unconstrained speech (Auer & Bernstein 2007). Model + context-aware human: estimated 55-70% word accuracy, 75-85% meaning capture. Key insight: the model provides candidate text (the hardest part of lip reading). The human's job becomes verification, not generation — dramatically ",5%,5%,NEEDS_VERIFICATION,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,6,The Invisible Problem: Visemes,no,shape[3]/para[0],• 50–70% of English sounds are invisible on lips,50,50,UNCLASSIFIED,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,6,The Invisible Problem: Visemes,no,shape[3]/para[0],• 50–70% of English sounds are invisible on lips,70%,70%,UNCLASSIFIED,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,6,The Invisible Problem: Visemes,no,shape[11]/para[0],6,6,6,UNCLASSIFIED,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,6,The Invisible Problem: Visemes,no,notes/para[0],"50-70% of English sounds are invisible on lips. Multiple sounds produce identical mouth shapes called visemes. The poster frames show two different speakers — their mouth shapes look nearly identical despite saying completely different words. Context is the only disambiguation signal, which is why the LLM component is critical.",50,50,NEEDS_VERIFICATION,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,6,The Invisible Problem: Visemes,no,notes/para[0],"50-70% of English sounds are invisible on lips. Multiple sounds produce identical mouth shapes called visemes. The poster frames show two different speakers — their mouth shapes look nearly identical despite saying completely different words. Context is the only disambiguation signal, which is why the LLM component is critical.",70%,70%,NEEDS_VERIFICATION,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,7,How It Works: Three Components,no,shape[4]/para[0],"AV-HuBERTVisual Encoder, frozen, 1024-dim",1024,1024,UNCLASSIFIED,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,7,How It Works: Three Components,no,shape[6]/para[0],Linear Projection1024 → 4096,024,024,NEEDS_VERIFICATION,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,7,How It Works: Three Components,no,shape[6]/para[0],Linear Projection1024 → 4096,4096,4096,NEEDS_VERIFICATION,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,7,How It Works: Three Components,no,shape[8]/para[0],"LLaMA-2-7B4-bit QLoRA, r=16",2,2,UNCLASSIFIED,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,7,How It Works: Three Components,no,shape[8]/para[0],"LLaMA-2-7B4-bit QLoRA, r=16",7,7,UNCLASSIFIED,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,7,How It Works: Three Components,no,shape[8]/para[0],"LLaMA-2-7B4-bit QLoRA, r=16",16,16,LIKELY_HOLD,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,7,How It Works: Three Components,no,shape[11]/para[0],Only 12.6M trainable params (0.19%). LLM is architecture-compatible — Llama 3.1 8B is a drop-in replacement (same 4096 hidden size).,12.6,12.6,NEEDS_VERIFICATION,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,7,How It Works: Three Components,no,shape[11]/para[0],Only 12.6M trainable params (0.19%). LLM is architecture-compatible — Llama 3.1 8B is a drop-in replacement (same 4096 hidden size).,0.19%,0.19%,NEEDS_VERIFICATION,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,7,How It Works: Three Components,no,shape[11]/para[0],Only 12.6M trainable params (0.19%). LLM is architecture-compatible — Llama 3.1 8B is a drop-in replacement (same 4096 hidden size).,3.1,3.1,NEEDS_VERIFICATION,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,7,How It Works: Three Components,no,shape[11]/para[0],Only 12.6M trainable params (0.19%). LLM is architecture-compatible — Llama 3.1 8B is a drop-in replacement (same 4096 hidden size).,8,8,NEEDS_VERIFICATION,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,7,How It Works: Three Components,no,shape[11]/para[0],Only 12.6M trainable params (0.19%). LLM is architecture-compatible — Llama 3.1 8B is a drop-in replacement (same 4096 hidden size).,4096,4096,NEEDS_VERIFICATION,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,7,How It Works: Three Components,no,shape[13]/para[0],7,7,7,UNCLASSIFIED,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,7,How It Works: Three Components,no,notes/para[0],Three components. Visual encoder (AV-HuBERT) is frozen — pre-trained on LRS3 lip-reading data. It outputs 1024-dim features per frame. A linear projection maps to 4096-dim (LLM input space). Then LLaMA-2-7B generates text. Key: only the LoRA adapters and projection layer are trained — 12.6M of 7B parameters. The LLM is upgradeable: Llama 3.1 8B has the same hidden dimension (requires adapter retra,1024,1024,NEEDS_VERIFICATION,OUT_OF_AUDIT,not in audit canonical set
AFTER_AMOSI_May2026,7,How It Works: Three Components,no,notes/para[0],Three components. Visual encoder (AV-HuBERT) is frozen — pre-trained on LRS3 lip-reading data. It outputs 1024-dim features per frame. A linear projection maps to 4096-dim (LLM input space). Then LLaMA-2-7B generates text. Key: only the LoRA adapters and projection layer are trained — 12.6M of 7B parameters. The LLM is upgradeable: Llama 3.1 8B has the same hidden dimension (requires adapter retra,4096,4096,NEEDS_VERIFICATION,OUT_OF_AUDIT,not in audit canonical set
